"","strain","bio_rep","rep","life_span","status"
"1","CB4856","1",1,NA,0
"2","CB4856","1",2,NA,0
"3","CB4856","1",3,26.5,1
"4","CB4856","1",4,19,1
"5","CB4856","1",5,15,1
"6","CB4856","1",6,17,1
"7","CB4856","1",7,15,1
"8","CB4856","1",8,15,1
"9","CB4856","1",9,15,1
"10","CB4856","1",10,17,1
"11","CB4856","1",11,15,1
"12","CB4856","1",12,26.5,1
"13","CB4856","1",13,22,1
"14","CB4856","1",14,11.5,1
"15","CB4856","1",15,26.5,1
"16","CB4856","1",16,19,1
"17","CB4856","1",17,22,1
"18","CB4856","1",18,17,1
"19","CB4856","1",19,NA,0
"20","CB4856","1",20,15,1
"21","CX11314","1",1,NA,0
"22","CX11314","1",2,NA,0
"23","CX11314","1",3,11.5,1
"24","CX11314","1",4,11.5,1
"25","CX11314","1",5,22,1
"26","CX11314","1",6,19,1
"27","CX11314","1",7,26.5,1
"28","CX11314","1",8,19,1
"29","CX11314","1",9,11.5,1
"30","CX11314","1",10,22,1
"31","CX11314","1",11,17,1
"32","CX11314","1",12,22,1
"33","CX11314","1",13,22,1
"34","CX11314","1",14,NA,0
"35","CX11314","1",15,17,1
"36","CX11314","1",16,19,1
"37","CX11314","1",17,22,1
"38","CX11314","1",18,19,1
"39","CX11314","1",19,17,1
"40","CX11314","1",20,NA,0
"41","DL238","1",1,NA,0
"42","DL238","1",2,NA,0
"43","DL238","1",3,19,1
"44","DL238","1",4,19,1
"45","DL238","1",5,26.5,1
"46","DL238","1",6,15,1
"47","DL238","1",7,19,1
"48","DL238","1",8,15,1
"49","DL238","1",9,NA,0
"50","DL238","1",10,NA,0
"51","DL238","1",11,26.5,1
"52","DL238","1",12,17,1
"53","DL238","1",13,19,1
"54","DL238","1",14,22,1
"55","DL238","1",15,22,1
"56","DL238","1",16,NA,0
"57","DL238","1",17,NA,0
"58","DL238","1",18,NA,0
"59","DL238","1",19,19,1
"60","DL238","1",20,NA,0
"61","ED3017","1",1,19,1
"62","ED3017","1",2,13,1
"63","ED3017","1",3,11.5,1
"64","ED3017","1",4,22,1
"65","ED3017","1",5,19,1
"66","ED3017","1",6,15,1
"67","ED3017","1",7,NA,0
"68","ED3017","1",8,17,1
"69","ED3017","1",9,19,1
"70","ED3017","1",10,22,1
"71","ED3017","1",11,19,1
"72","ED3017","1",12,22,1
"73","ED3017","1",13,NA,0
"74","ED3017","1",14,22,1
"75","ED3017","1",15,22,1
"76","ED3017","1",16,17,1
"77","ED3017","1",17,22,1
"78","ED3017","1",18,17,1
"79","ED3017","1",19,15,1
"80","ED3017","1",20,17,1
"81","EG4725","1",1,26.5,1
"82","EG4725","1",2,22,1
"83","EG4725","1",3,11.5,1
"84","EG4725","1",4,19,1
"85","EG4725","1",5,15,1
"86","EG4725","1",6,19,1
"87","EG4725","1",7,NA,0
"88","EG4725","1",8,15,1
"89","EG4725","1",9,11.5,1
"90","EG4725","1",10,15,1
"91","EG4725","1",11,17,1
"92","EG4725","1",12,13,1
"93","EG4725","1",13,15,1
"94","EG4725","1",14,15,1
"95","EG4725","1",15,NA,0
"96","EG4725","1",16,17,1
"97","EG4725","1",17,26.5,1
"98","EG4725","1",18,17,1
"99","EG4725","1",19,15,1
"100","EG4725","1",20,17,1
"101","JT11398","1",1,15,1
"102","JT11398","1",2,22,1
"103","JT11398","1",3,NA,0
"104","JT11398","1",4,19,1
"105","JT11398","1",5,19,1
"106","JT11398","1",6,19,1
"107","JT11398","1",7,19,1
"108","JT11398","1",8,22,1
"109","JT11398","1",9,17,1
"110","JT11398","1",10,19,1
"111","JT11398","1",11,17,1
"112","JT11398","1",12,19,1
"113","JT11398","1",13,19,1
"114","JT11398","1",14,22,1
"115","JT11398","1",15,15,1
"116","JT11398","1",16,26.5,1
"117","JT11398","1",17,19,1
"118","JT11398","1",18,19,1
"119","JT11398","1",19,19,1
"120","JT11398","1",20,22,1
"121","JU258","1",1,17,1
"122","JU258","1",2,19,1
"123","JU258","1",3,17,1
"124","JU258","1",4,19,1
"125","JU258","1",5,15,1
"126","JU258","1",6,19,1
"127","JU258","1",7,NA,0
"128","JU258","1",8,19,1
"129","JU258","1",9,19,1
"130","JU258","1",10,NA,0
"131","JU258","1",11,13,1
"132","JU258","1",12,13,1
"133","JU258","1",13,15,1
"134","JU258","1",14,NA,0
"135","JU258","1",15,22,1
"136","JU258","1",16,13,1
"137","JU258","1",17,17,1
"138","JU258","1",18,17,1
"139","JU258","1",19,13,1
"140","JU258","1",20,NA,0
"141","JU775","1",1,30,1
"142","JU775","1",2,13,1
"143","JU775","1",3,13,1
"144","JU775","1",4,15,1
"145","JU775","1",5,26.5,1
"146","JU775","1",6,22,1
"147","JU775","1",7,15,1
"148","JU775","1",8,26.5,1
"149","JU775","1",9,NA,0
"150","JU775","1",10,26.5,1
"151","JU775","1",11,19,1
"152","JU775","1",12,26.5,1
"153","JU775","1",13,26.5,1
"154","JU775","1",14,26.5,1
"155","JU775","1",15,22,1
"156","JU775","1",16,19,1
"157","JU775","1",17,22,1
"158","JU775","1",18,13,1
"159","JU775","1",19,15,1
"160","JU775","1",20,NA,0
"161","LKC34","1",1,19,1
"162","LKC34","1",2,19,1
"163","LKC34","1",3,11.5,1
"164","LKC34","1",4,26.5,1
"165","LKC34","1",5,19,1
"166","LKC34","1",6,11.5,1
"167","LKC34","1",7,17,1
"168","LKC34","1",8,26.5,1
"169","LKC34","1",9,15,1
"170","LKC34","1",10,13,1
"171","LKC34","1",11,17,1
"172","LKC34","1",12,33.5,1
"173","LKC34","1",13,19,1
"174","LKC34","1",14,19,1
"175","LKC34","1",15,13,1
"176","LKC34","1",16,17,1
"177","LKC34","1",17,13,1
"178","LKC34","1",18,15,1
"179","LKC34","1",19,17,1
"180","LKC34","1",20,26.5,1
"181","MY16","1",1,15,1
"182","MY16","1",2,26.5,1
"183","MY16","1",3,15,1
"184","MY16","1",4,NA,0
"185","MY16","1",5,19,1
"186","MY16","1",6,19,1
"187","MY16","1",7,26.5,1
"188","MY16","1",8,26.5,1
"189","MY16","1",9,26.5,1
"190","MY16","1",10,19,1
"191","MY16","1",11,19,1
"192","MY16","1",12,26.5,1
"193","MY16","1",13,NA,0
"194","MY16","1",14,19,1
"195","MY16","1",15,19,1
"196","MY16","1",16,22,1
"197","MY16","1",17,NA,0
"198","MY16","1",18,NA,0
"199","MY16","1",19,15,1
"200","MY16","1",20,13,1
"201","MY23","1",1,NA,0
"202","MY23","1",2,22,1
"203","MY23","1",3,15,1
"204","MY23","1",4,26.5,1
"205","MY23","1",5,15,1
"206","MY23","1",6,15,1
"207","MY23","1",7,NA,0
"208","MY23","1",8,19,1
"209","MY23","1",9,15,1
"210","MY23","1",10,19,1
"211","MY23","1",11,19,1
"212","MY23","1",12,19,1
"213","MY23","1",13,15,1
"214","MY23","1",14,13,1
"215","MY23","1",15,NA,0
"216","MY23","1",16,15,1
"217","MY23","1",17,19,1
"218","MY23","1",18,13,1
"219","MY23","1",19,17,1
"220","MY23","1",20,13,1
"221","N2","1",1,NA,0
"222","N2","1",2,NA,0
"223","N2","1",3,19,1
"224","N2","1",4,26.5,1
"225","N2","1",5,26.5,1
"226","N2","1",6,26.5,1
"227","N2","1",7,15,1
"228","N2","1",8,13,1
"229","N2","1",9,19,1
"230","N2","1",10,22,1
"231","N2","1",11,26.5,1
"232","N2","1",12,13,1
"233","N2","1",13,15,1
"234","N2","1",14,17,1
"235","N2","1",15,17,1
"236","N2","1",16,22,1
"237","N2","1",17,15,1
"238","N2","1",18,15,1
"239","N2","1",19,15,1
"240","N2","1",20,15,1
"241","CB4856","2",1,21,1
"242","CB4856","2",2,18,1
"243","CB4856","2",3,18,1
"244","CB4856","2",4,18,1
"245","CB4856","2",5,21,1
"246","CB4856","2",6,18,1
"247","CB4856","2",7,24,1
"248","CB4856","2",8,18,1
"249","CB4856","2",9,18,1
"250","CB4856","2",10,18,1
"251","CB4856","2",11,16,1
"252","CB4856","2",12,15,1
"253","CB4856","2",13,16,1
"254","CB4856","2",14,16,1
"255","CB4856","2",15,24,1
"256","CB4856","2",16,15,1
"257","CB4856","2",17,18,1
"258","CB4856","2",18,18,1
"259","CB4856","2",19,NA,0
"260","CB4856","2",20,18,1
"261","CX11314","2",1,18,1
"262","CX11314","2",2,18,1
"263","CX11314","2",3,18,1
"264","CX11314","2",4,18,1
"265","CX11314","2",5,16,1
"266","CX11314","2",6,21,1
"267","CX11314","2",7,NA,0
"268","CX11314","2",8,16,1
"269","CX11314","2",9,16,1
"270","CX11314","2",10,16,1
"271","CX11314","2",11,18,1
"272","CX11314","2",12,18,1
"273","CX11314","2",13,21,1
"274","CX11314","2",14,NA,0
"275","CX11314","2",15,18,1
"276","CX11314","2",16,NA,0
"277","CX11314","2",17,18,1
"278","CX11314","2",18,18,1
"279","CX11314","2",19,24,1
"280","CX11314","2",20,15,1
"281","DL238","2",1,NA,0
"282","DL238","2",2,NA,0
"283","DL238","2",3,18,1
"284","DL238","2",4,18,1
"285","DL238","2",5,15,1
"286","DL238","2",6,18,1
"287","DL238","2",7,21,1
"288","DL238","2",8,NA,0
"289","DL238","2",9,16,1
"290","DL238","2",10,21,1
"291","DL238","2",11,NA,0
"292","DL238","2",12,16,1
"293","DL238","2",13,18,1
"294","DL238","2",14,14,1
"295","DL238","2",15,16,1
"296","DL238","2",16,18,1
"297","DL238","2",17,15,1
"298","DL238","2",18,15,1
"299","DL238","2",19,15,1
"300","DL238","2",20,16,1
"301","ED3017","2",1,21,1
"302","ED3017","2",2,18,1
"303","ED3017","2",3,NA,0
"304","ED3017","2",4,18,1
"305","ED3017","2",5,18,1
"306","ED3017","2",6,18,1
"307","ED3017","2",7,18,1
"308","ED3017","2",8,NA,0
"309","ED3017","2",9,18,1
"310","ED3017","2",10,18,1
"311","ED3017","2",11,24,1
"312","ED3017","2",12,18,1
"313","ED3017","2",13,18,1
"314","ED3017","2",14,18,1
"315","ED3017","2",15,14,1
"316","ED3017","2",16,18,1
"317","ED3017","2",17,NA,0
"318","ED3017","2",18,16,1
"319","ED3017","2",19,24,1
"320","ED3017","2",20,NA,0
"321","EG4725","2",1,18,1
"322","EG4725","2",2,18,1
"323","EG4725","2",3,14,1
"324","EG4725","2",4,15,1
"325","EG4725","2",5,21,1
"326","EG4725","2",6,18,1
"327","EG4725","2",7,26,1
"328","EG4725","2",8,21,1
"329","EG4725","2",9,18,1
"330","EG4725","2",10,18,1
"331","EG4725","2",11,21,1
"332","EG4725","2",12,15,1
"333","EG4725","2",13,16,1
