"","strain","bio_rep","rep","life_span","status"
"334","EG4725","2",14,18,1
"335","EG4725","2",15,24,1
"336","EG4725","2",16,16,1
"337","EG4725","2",17,16,1
"338","EG4725","2",18,18,1
"339","EG4725","2",19,24,1
"340","EG4725","2",20,18,1
"341","JT11398","2",1,NA,0
"342","JT11398","2",2,18,1
"343","JT11398","2",3,14,1
"344","JT11398","2",4,16,1
"345","JT11398","2",5,16,1
"346","JT11398","2",6,16,1
"347","JT11398","2",7,33,1
"348","JT11398","2",8,16,1
"349","JT11398","2",9,15,1
"350","JT11398","2",10,NA,0
"351","JT11398","2",11,15,1
"352","JT11398","2",12,14,1
"353","JT11398","2",13,14,1
"354","JT11398","2",14,18,1
"355","JT11398","2",15,24,1
"356","JT11398","2",16,18,1
"357","JT11398","2",17,18,1
"358","JT11398","2",18,18,1
"359","JT11398","2",19,33,1
"360","JT11398","2",20,16,1
"361","JU258","2",1,18,1
"362","JU258","2",2,NA,0
"363","JU258","2",3,16,1
"364","JU258","2",4,NA,0
"365","JU258","2",5,18,1
"366","JU258","2",6,18,1
"367","JU258","2",7,NA,0
"368","JU258","2",8,NA,0
"369","JU258","2",9,15,1
"370","JU258","2",10,14,1
"371","JU258","2",11,24,1
"372","JU258","2",12,NA,0
"373","JU258","2",13,NA,0
"374","JU258","2",14,15,1
"375","JU258","2",15,NA,0
"376","JU258","2",16,18,1
"377","JU258","2",17,NA,0
"378","JU258","2",18,NA,0
"379","JU258","2",19,NA,0
"380","JU258","2",20,NA,0
"381","JU775","2",1,16,1
"382","JU775","2",2,33,1
"383","JU775","2",3,21,1
"384","JU775","2",4,18,1
"385","JU775","2",5,NA,0
"386","JU775","2",6,NA,0
"387","JU775","2",7,16,1
"388","JU775","2",8,NA,0
"389","JU775","2",9,21,1
"390","JU775","2",10,15,1
"391","JU775","2",11,24,1
"392","JU775","2",12,29.5,1
"393","JU775","2",13,NA,0
"394","JU775","2",14,NA,0
"395","JU775","2",15,18,1
"396","JU775","2",16,18,1
"397","JU775","2",17,21,1
"398","JU775","2",18,NA,0
"399","JU775","2",19,NA,0
"400","JU775","2",20,NA,0
"401","LKC34","2",1,16,1
"402","LKC34","2",2,15,1
"403","LKC34","2",3,NA,0
"404","LKC34","2",4,12,1
"405","LKC34","2",5,24,1
"406","LKC34","2",6,18,1
"407","LKC34","2",7,21,1
"408","LKC34","2",8,18,1
"409","LKC34","2",9,18,1
"410","LKC34","2",10,24,1
"411","LKC34","2",11,15,1
"412","LKC34","2",12,16,1
"413","LKC34","2",13,NA,0
"414","LKC34","2",14,15,1
"415","LKC34","2",15,24,1
"416","LKC34","2",16,16,1
"417","LKC34","2",17,18,1
"418","LKC34","2",18,21,1
"419","LKC34","2",19,16,1
"420","LKC34","2",20,16,1
"421","MY16","2",1,24,1
"422","MY16","2",2,21,1
"423","MY16","2",3,21,1
"424","MY16","2",4,18,1
"425","MY16","2",5,NA,0
"426","MY16","2",6,NA,0
"427","MY16","2",7,18,1
"428","MY16","2",8,24,1
"429","MY16","2",9,21,1
"430","MY16","2",10,21,1
"431","MY16","2",11,NA,0
"432","MY16","2",12,NA,0
"433","MY16","2",13,NA,0
"434","MY16","2",14,16,1
"435","MY16","2",15,NA,0
"436","MY16","2",16,24,1
"437","MY16","2",17,NA,0
"438","MY16","2",18,16,1
"439","MY16","2",19,18,1
"440","MY16","2",20,14,1
"441","MY23","2",1,24,1
"442","MY23","2",2,21,1
"443","MY23","2",3,12,1
"444","MY23","2",4,14,1
"445","MY23","2",5,15,1
"446","MY23","2",6,15,1
"447","MY23","2",7,15,1
"448","MY23","2",8,15,1
"449","MY23","2",9,18,1
"450","MY23","2",10,18,1
"451","MY23","2",11,18,1
"452","MY23","2",12,21,1
"453","MY23","2",13,29.5,1
"454","MY23","2",14,16,1
"455","MY23","2",15,15,1
"456","MY23","2",16,24,1
"457","MY23","2",17,14,1
"458","MY23","2",18,14,1
"459","MY23","2",19,16,1
"460","MY23","2",20,16,1
"461","N2","2",1,NA,0
"462","N2","2",2,16,1
"463","N2","2",3,NA,0
"464","N2","2",4,18,1
"465","N2","2",5,21,1
"466","N2","2",6,NA,0
"467","N2","2",7,16,1
"468","N2","2",8,NA,0
"469","N2","2",9,21,1
"470","N2","2",10,NA,0
"471","N2","2",11,NA,0
"472","N2","2",12,18,1
"473","N2","2",13,18,1
"474","N2","2",14,NA,0
"475","N2","2",15,NA,0
"476","N2","2",16,NA,0
"477","N2","2",17,NA,0
"478","N2","2",18,NA,0
"479","N2","2",19,NA,0
"480","N2","2",20,NA,0
"481","CB4856","3",1,NA,0
"482","CB4856","3",2,23.5,1
"483","CB4856","3",3,12.5,1
"484","CB4856","3",4,15.5,1
"485","CB4856","3",5,12.5,1
"486","CB4856","3",6,NA,0
"487","CB4856","3",7,12.5,1
"488","CB4856","3",8,NA,0
"489","CB4856","3",9,20.5,1
"490","CB4856","3",10,NA,0
"491","CB4856","3",11,NA,0
"492","CB4856","3",12,12.5,1
"493","CB4856","3",13,20.5,1
"494","CB4856","3",14,23.5,1
"495","CB4856","3",15,12.5,1
"496","CB4856","3",16,23.5,1
"497","CB4856","3",17,9,1
"498","CB4856","3",18,12.5,1
"499","CB4856","3",19,NA,0
"500","CB4856","3",20,NA,0
"501","CX11314","3",1,23.5,1
"502","CX11314","3",2,20.5,1
"503","CX11314","3",3,12.5,1
"504","CX11314","3",4,NA,0
"505","CX11314","3",5,20.5,1
"506","CX11314","3",6,23.5,1
"507","CX11314","3",7,23.5,1
"508","CX11314","3",8,9,1
"509","CX11314","3",9,9,1
"510","CX11314","3",10,20.5,1
"511","CX11314","3",11,15.5,1
"512","CX11314","3",12,20.5,1
"513","CX11314","3",13,20.5,1
"514","CX11314","3",14,NA,0
"515","CX11314","3",15,15.5,1
"516","CX11314","3",16,20.5,1
"517","CX11314","3",17,23.5,1
"518","CX11314","3",18,NA,0
"519","CX11314","3",19,NA,0
"520","CX11314","3",20,NA,0
"521","DL238","3",1,12.5,1
"522","DL238","3",2,12.5,1
"523","DL238","3",3,NA,0
"524","DL238","3",4,23.5,1
"525","DL238","3",5,15.5,1
"526","DL238","3",6,NA,0
"527","DL238","3",7,23.5,1
"528","DL238","3",8,NA,0
"529","DL238","3",9,NA,0
"530","DL238","3",10,NA,0
"531","DL238","3",11,NA,0
"532","DL238","3",12,15.5,1
"533","DL238","3",13,NA,0
"534","DL238","3",14,15.5,1
"535","DL238","3",15,5,1
"536","DL238","3",16,NA,0
"537","DL238","3",17,NA,0
"538","DL238","3",18,NA,0
"539","DL238","3",19,9,1
"540","DL238","3",20,NA,0
"541","ED3017","3",1,20.5,1
"542","ED3017","3",2,23.5,1
"543","ED3017","3",3,23.5,1
"544","ED3017","3",4,23.5,1
"545","ED3017","3",5,23.5,1
"546","ED3017","3",6,23.5,1
"547","ED3017","3",7,23.5,1
"548","ED3017","3",8,9,1
"549","ED3017","3",9,12.5,1
"550","ED3017","3",10,NA,0
"551","ED3017","3",11,NA,0
"552","ED3017","3",12,20.5,1
"553","ED3017","3",13,NA,0
"554","ED3017","3",14,15.5,1
"555","ED3017","3",15,20.5,1
"556","ED3017","3",16,15.5,1
"557","ED3017","3",17,23.5,1
"558","ED3017","3",18,23.5,1
"559","ED3017","3",19,15.5,1
"560","ED3017","3",20,20.5,1
"561","EG4725","3",1,23.5,1
"562","EG4725","3",2,20.5,1
"563","EG4725","3",3,NA,0
"564","EG4725","3",4,23.5,1
"565","EG4725","3",5,15.5,1
"566","EG4725","3",6,15.5,1
"567","EG4725","3",7,23.5,1
"568","EG4725","3",8,NA,0
"569","EG4725","3",9,NA,0
"570","EG4725","3",10,9,1
"571","EG4725","3",11,15.5,1
"572","EG4725","3",12,20.5,1
"573","EG4725","3",13,NA,0
"574","EG4725","3",14,12.5,1
"575","EG4725","3",15,NA,0
"576","EG4725","3",16,NA,0
"577","EG4725","3",17,NA,0
"578","EG4725","3",18,NA,0
"579","EG4725","3",19,NA,0
"580","EG4725","3",20,NA,0
"581","JT11398","3",1,23.5,1
"582","JT11398","3",2,20.5,1
"583","JT11398","3",3,9,1
"584","JT11398","3",4,9,1
"585","JT11398","3",5,12.5,1
"586","JT11398","3",6,23.5,1
"587","JT11398","3",7,NA,0
"588","JT11398","3",8,23.5,1
"589","JT11398","3",9,12.5,1
"590","JT11398","3",10,12.5,1
"591","JT11398","3",11,23.5,1
"592","JT11398","3",12,23.5,1
"593","JT11398","3",13,20.5,1
"594","JT11398","3",14,12.5,1
"595","JT11398","3",15,12.5,1
"596","JT11398","3",16,23.5,1
"597","JT11398","3",17,NA,0
"598","JT11398","3",18,23.5,1
"599","JT11398","3",19,NA,0
"600","JT11398","3",20,15.5,1
"601","JU258","3",1,9,1
"602","JU258","3",2,5,1
"603","JU258","3",3,5,1
"604","JU258","3",4,12.5,1
"605","JU258","3",5,9,1
"606","JU258","3",6,NA,0
"607","JU258","3",7,NA,0
"608","JU258","3",8,NA,0
"609","JU258","3",9,NA,0
"610","JU258","3",10,15.5,1
"611","JU258","3",11,9,1
"612","JU258","3",12,NA,0
"613","JU258","3",13,23.5,1
"614","JU258","3",14,NA,0
"615","JU258","3",15,12.5,1
"616","JU258","3",16,NA,0
"617","JU258","3",17,NA,0
"618","JU258","3",18,NA,0
"619","JU258","3",19,12.5,1
"620","JU258","3",20,9,1
"621","JU775","3",1,20.5,1
"622","JU775","3",2,12.5,1
"623","JU775","3",3,20.5,1
"624","JU775","3",4,15.5,1
"625","JU775","3",5,9,1
"626","JU775","3",6,23.5,1
"627","JU775","3",7,23.5,1
"628","JU775","3",8,20.5,1
"629","JU775","3",9,9,1
"630","JU775","3",10,12.5,1
"631","JU775","3",11,NA,0
"632","JU775","3",12,23.5,1
"633","JU775","3",13,NA,0
"634","JU775","3",14,15.5,1
"635","JU775","3",15,20.5,1
"636","JU775","3",16,23.5,1
"637","JU775","3",17,23.5,1
"638","JU775","3",18,NA,0
"639","JU775","3",19,NA,0
"640","JU775","3",20,NA,0
"641","LKC34","3",1,15.5,1
"642","LKC34","3",2,NA,0
"643","LKC34","3",3,23.5,1
"644","LKC34","3",4,15.5,1
"645","LKC34","3",5,NA,0
"646","LKC34","3",6,20.5,1
"647","LKC34","3",7,23.5,1
"648","LKC34","3",8,15.5,1
"649","LKC34","3",9,NA,0
"650","LKC34","3",10,20.5,1
"651","LKC34","3",11,NA,0
"652","LKC34","3",12,12.5,1
"653","LKC34","3",13,12.5,1
"654","LKC34","3",14,NA,0
"655","LKC34","3",15,NA,0
"656","LKC34","3",16,12.5,1
"657","LKC34","3",17,23.5,1
"658","LKC34","3",18,12.5,1
"659","LKC34","3",19,NA,0
"660","LKC34","3",20,12.5,1
"661","MY16","3",1,12.5,1
"662","MY16","3",2,23.5,1
"663","MY16","3",3,20.5,1
"664","MY16","3",4,15.5,1
"665","MY16","3",5,15.5,1
"666","MY16","3",6,NA,0
"667","MY16","3",7,20.5,1
"668","MY16","3",8,15.5,1
"669","MY16","3",9,15.5,1
"670","MY16","3",10,12.5,1
"671","MY16","3",11,12.5,1
"672","MY16","3",12,12.5,1
"673","MY16","3",13,12.5,1
"674","MY16","3",14,20.5,1
"675","MY16","3",15,NA,0
"676","MY16","3",16,12.5,1
"677","MY16","3",17,12.5,1
"678","MY16","3",18,9,1
"679","MY16","3",19,20.5,1
"680","MY16","3",20,20.5,1
"681","MY23","3",1,20.5,1
"682","MY23","3",2,NA,0
"683","MY23","3",3,23.5,1
"684","MY23","3",4,20.5,1
"685","MY23","3",5,23.5,1
"686","MY23","3",6,NA,0
"687","MY23","3",7,NA,0
"688","MY23","3",8,NA,0
"689","MY23","3",9,15.5,1
"690","MY23","3",10,15.5,1
"691","MY23","3",11,20.5,1
"692","MY23","3",12,20.5,1
"693","MY23","3",13,20.5,1
"694","MY23","3",14,23.5,1
"695","MY23","3",15,20.5,1
"696","MY23","3",16,23.5,1
"697","MY23","3",17,NA,0
"698","MY23","3",18,20.5,1
"699","MY23","3",19,15.5,1
"700","MY23","3",20,15.5,1
"701","N2","3",1,12.5,1
"702","N2","3",2,12.5,1
"703","N2","3",3,12.5,1
"704","N2","3",4,12.5,1
"705","N2","3",5,15.5,1
"706","N2","3",6,12.5,1
"707","N2","3",7,15.5,1
"708","N2","3",8,12.5,1
"709","N2","3",9,NA,0
"710","N2","3",10,12.5,1
"711","N2","3",11,NA,0
"712","N2","3",12,20.5,1
"713","N2","3",13,12.5,1
"714","N2","3",14,20.5,1
"715","N2","3",15,9,1
"716","N2","3",16,9,1
"717","N2","3",17,12.5,1
"718","N2","3",18,9,1
"719","N2","3",19,NA,0
"720","N2","3",20,12.5,1
"721","CB4856","4",1,9.5,1
"722","CB4856","4",2,NA,0
"723","CB4856","4",3,NA,0
"724","CB4856","4",4,7.5,1
"725","CB4856","4",5,12.5,1
"726","CB4856","4",6,NA,0
"727","CB4856","4",7,NA,0
"728","CB4856","4",8,10,1
"729","CB4856","4",9,14,1
"730","CB4856","4",10,10.5,1
"731","CB4856","4",11,9,1
"732","CB4856","4",12,10.5,1
"733","CB4856","4",13,11,1
"734","CB4856","4",14,9.5,1
"735","CB4856","4",15,9.5,1
"736","CB4856","4",16,9,1
"737","CB4856","4",17,NA,0
"738","CB4856","4",18,NA,0
"739","CB4856","4",19,NA,0
"740","CB4856","4",20,NA,0
"741","CX11314","4",1,10,1
"742","CX11314","4",2,NA,0
"743","CX11314","4",3,14,1
"744","CX11314","4",4,8,1
"745","CX11314","4",5,10.5,1
"746","CX11314","4",6,NA,0
"747","CX11314","4",7,NA,0
"748","CX11314","4",8,11,1
"749","CX11314","4",9,14,1
"750","CX11314","4",10,10,1
"751","CX11314","4",11,NA,0
"752","CX11314","4",12,12,1
"753","CX11314","4",13,9.5,1
"754","CX11314","4",14,9.5,1
"755","CX11314","4",15,9.5,1
"756","CX11314","4",16,NA,0
"757","CX11314","4",17,NA,0
"758","CX11314","4",18,18,1
"759","CX11314","4",19,NA,0
"760","CX11314","4",20,NA,0
"761","DL238","4",1,NA,0
"762","DL238","4",2,10.5,1
"763","DL238","4",3,10.5,1
"764","DL238","4",4,10.5,1
"765","DL238","4",5,13,1
"766","DL238","4",6,NA,0
"767","DL238","4",7,NA,0
"768","DL238","4",8,8,1
"769","DL238","4",9,10,1
"770","DL238","4",10,8,1
"771","DL238","4",11,NA,0
"772","DL238","4",12,12.5,1
"773","DL238","4",13,9.5,1
"774","DL238","4",14,8,1
"775","DL238","4",15,10,1
"776","DL238","4",16,NA,0
"777","DL238","4",17,NA,0
"778","DL238","4",18,10.5,1
"779","DL238","4",19,NA,0
"780","DL238","4",20,NA,0
"781","ED3017","4",1,11,1
"782","ED3017","4",2,10.5,1
"783","ED3017","4",3,11,1
"784","ED3017","4",4,12,1
"785","ED3017","4",5,11,1
"786","ED3017","4",6,10.5,1
"787","ED3017","4",7,10.5,1
"788","ED3017","4",8,NA,0
"789","ED3017","4",9,NA,0
"790","ED3017","4",10,14.5,1
"791","ED3017","4",11,10.5,1
"792","ED3017","4",12,10,1
"793","ED3017","4",13,12,1
"794","ED3017","4",14,12,1
"795","ED3017","4",15,10.5,1
"796","ED3017","4",16,12.5,1
"797","ED3017","4",17,NA,0
"798","ED3017","4",18,12,1
"799","ED3017","4",19,12.5,1
"800","ED3017","4",20,NA,0
"801","EG4725","4",1,NA,0
"802","EG4725","4",2,9.5,1
"803","EG4725","4",3,7.5,1
"804","EG4725","4",4,9.5,1
"805","EG4725","4",5,NA,0
"806","EG4725","4",6,11,1
"807","EG4725","4",7,13.5,1
"808","EG4725","4",8,9.5,1
"809","EG4725","4",9,9,1
"810","EG4725","4",10,12,1
"811","EG4725","4",11,NA,0
"812","EG4725","4",12,12.5,1
"813","EG4725","4",13,11,1
"814","EG4725","4",14,14.5,1
"815","EG4725","4",15,10.5,1
"816","EG4725","4",16,NA,0
"817","EG4725","4",17,8.5,1
"818","EG4725","4",18,14.5,1
"819","EG4725","4",19,NA,0
"820","EG4725","4",20,NA,0
"821","JT11398","4",1,9.5,1
"822","JT11398","4",2,NA,0
"823","JT11398","4",3,8.5,1
"824","JT11398","4",4,10.5,1
"825","JT11398","4",5,10,1
"826","JT11398","4",6,9.5,1
"827","JT11398","4",7,9,1
"828","JT11398","4",8,10.5,1
"829","JT11398","4",9,12.5,1
"830","JT11398","4",10,9,1
"831","JT11398","4",11,13,1
"832","JT11398","4",12,9.5,1
"833","JT11398","4",13,11,1
"834","JT11398","4",14,10.5,1
"835","JT11398","4",15,10.5,1
"836","JT11398","4",16,10.5,1
"837","JT11398","4",17,13.5,1
"838","JT11398","4",18,15.5,1
"839","JT11398","4",19,NA,0
"840","JT11398","4",20,NA,0
"841","JU258","4",1,11,1
"842","JU258","4",2,10,1
"843","JU258","4",3,10,1
"844","JU258","4",4,8,1
"845","JU258","4",5,11,1
"846","JU258","4",6,NA,0
"847","JU258","4",7,9.5,1
"848","JU258","4",8,9.5,1
"849","JU258","4",9,10,1
"850","JU258","4",10,NA,0
"851","JU258","4",11,13.5,1
"852","JU258","4",12,12,1
"853","JU258","4",13,15.5,1
"854","JU258","4",14,8.5,1
"855","JU258","4",15,11,1
"856","JU258","4",16,10,1
"857","JU258","4",17,10,1
"858","JU258","4",18,NA,0
