"strain","tech_rep","bio_rep","rep","life_span","activity_type","time_d","activity"
"CB4856",2,6,1,11.5,"stim","6.5",326
"CB4856",2,6,1,11.5,"stim","7",201
"CB4856",2,6,1,11.5,"stim","7.5",11
"CB4856",2,6,1,11.5,"stim","11.5",NA
"CB4856",2,6,1,11.5,"stim","12",NA
"CB4856",2,6,1,11.5,"stim","12.5",NA
"CB4856",2,6,1,11.5,"stim","13",NA
"CB4856",2,6,1,11.5,"stim","15",NA
"CB4856",2,6,1,11.5,"stim","17.5",NA
"CB4856",2,6,1,11.5,"stim","18",NA
"CB4856",2,6,1,11.5,"stim","18.5",NA
"CB4856",2,6,1,11.5,"stim","19",NA
"CB4856",2,6,1,11.5,"stim","19.5",NA
"CB4856",2,6,1,11.5,"stim","20",NA
"CB4856",2,6,1,11.5,"stim","20.5",NA
"CB4856",2,6,1,11.5,"stim","22",NA
"CB4856",2,6,1,11.5,"stim","22.5",NA
"CB4856",2,6,1,11.5,"stim","23",NA
"CB4856",2,6,1,11.5,"stim","23.5",NA
"CB4856",2,6,1,11.5,"stim","24",NA
"CB4856",2,6,1,11.5,"base","6.5",368
"CB4856",2,6,1,11.5,"base","7",337
"CB4856",2,6,1,11.5,"base","7.5",7
"CB4856",2,6,1,11.5,"base","11.5",NA
"CB4856",2,6,1,11.5,"base","12",NA
"CB4856",2,6,1,11.5,"base","12.5",NA
"CB4856",2,6,1,11.5,"base","13",NA
"CB4856",2,6,1,11.5,"base","15",NA
"CB4856",2,6,1,11.5,"base","17.5",NA
"CB4856",2,6,1,11.5,"base","18",NA
"CB4856",2,6,1,11.5,"base","18.5",NA
"CB4856",2,6,1,11.5,"base","19",NA
"CB4856",2,6,1,11.5,"base","19.5",NA
"CB4856",2,6,1,11.5,"base","20",NA
"CB4856",2,6,1,11.5,"base","20.5",NA
"CB4856",2,6,1,11.5,"base","22",NA
"CB4856",2,6,1,11.5,"base","22.5",NA
"CB4856",2,6,1,11.5,"base","23",NA
"CB4856",2,6,1,11.5,"base","23.5",NA
"CB4856",2,6,1,11.5,"base","24",NA
"CB4856",2,6,2,7,"stim","6.5",119
"CB4856",2,6,2,7,"stim","7",NA
"CB4856",2,6,2,7,"stim","7.5",NA
"CB4856",2,6,2,7,"stim","11.5",NA
"CB4856",2,6,2,7,"stim","12",NA
"CB4856",2,6,2,7,"stim","12.5",NA
"CB4856",2,6,2,7,"stim","13",NA
"CB4856",2,6,2,7,"stim","15",NA
"CB4856",2,6,2,7,"stim","17.5",NA
"CB4856",2,6,2,7,"stim","18",NA
"CB4856",2,6,2,7,"stim","18.5",NA
"CB4856",2,6,2,7,"stim","19",NA
"CB4856",2,6,2,7,"stim","19.5",NA
"CB4856",2,6,2,7,"stim","20",NA
"CB4856",2,6,2,7,"stim","20.5",NA
"CB4856",2,6,2,7,"stim","22",NA
"CB4856",2,6,2,7,"stim","22.5",NA
"CB4856",2,6,2,7,"stim","23",NA
"CB4856",2,6,2,7,"stim","23.5",NA
"CB4856",2,6,2,7,"stim","24",NA
"CB4856",2,6,2,7,"base","6.5",48
"CB4856",2,6,2,7,"base","7",NA
"CB4856",2,6,2,7,"base","7.5",NA
"CB4856",2,6,2,7,"base","11.5",NA
"CB4856",2,6,2,7,"base","12",NA
"CB4856",2,6,2,7,"base","12.5",NA
"CB4856",2,6,2,7,"base","13",NA
"CB4856",2,6,2,7,"base","15",NA
"CB4856",2,6,2,7,"base","17.5",NA
"CB4856",2,6,2,7,"base","18",NA
"CB4856",2,6,2,7,"base","18.5",NA
"CB4856",2,6,2,7,"base","19",NA
"CB4856",2,6,2,7,"base","19.5",NA
"CB4856",2,6,2,7,"base","20",NA
"CB4856",2,6,2,7,"base","20.5",NA
"CB4856",2,6,2,7,"base","22",NA
"CB4856",2,6,2,7,"base","22.5",NA
"CB4856",2,6,2,7,"base","23",NA
"CB4856",2,6,2,7,"base","23.5",NA
"CB4856",2,6,2,7,"base","24",NA
"CB4856",2,6,3,15,"stim","6.5",84
"CB4856",2,6,3,15,"stim","7",13
"CB4856",2,6,3,15,"stim","7.5",314
"CB4856",2,6,3,15,"stim","11.5",0
"CB4856",2,6,3,15,"stim","12",36
"CB4856",2,6,3,15,"stim","12.5",14
"CB4856",2,6,3,15,"stim","13",17
"CB4856",2,6,3,15,"stim","15",NA
"CB4856",2,6,3,15,"stim","17.5",NA
"CB4856",2,6,3,15,"stim","18",NA
