"strain","tech_rep","bio_rep","rep","life_span","activity_type","time_d","activity"
"CB4856",1,3,1,NA,"stim","1.5",0
"CB4856",1,3,1,NA,"stim","5",0
"CB4856",1,3,1,NA,"stim","9",0
"CB4856",1,3,1,NA,"stim","12.5",0
"CB4856",1,3,1,NA,"stim","15.5",0
"CB4856",1,3,1,NA,"stim","20.5",0
"CB4856",1,3,1,NA,"stim","23.5",0
"CB4856",1,3,1,NA,"base","1.5",0
"CB4856",1,3,1,NA,"base","5",0
"CB4856",1,3,1,NA,"base","9",0
"CB4856",1,3,1,NA,"base","12.5",0
"CB4856",1,3,1,NA,"base","15.5",0
"CB4856",1,3,1,NA,"base","20.5",0
"CB4856",1,3,1,NA,"base","23.5",0
"CB4856",1,3,2,23.5,"stim","1.5",107
"CB4856",1,3,2,23.5,"stim","5",65
"CB4856",1,3,2,23.5,"stim","9",47
"CB4856",1,3,2,23.5,"stim","12.5",0
"CB4856",1,3,2,23.5,"stim","15.5",102
"CB4856",1,3,2,23.5,"stim","20.5",28
"CB4856",1,3,2,23.5,"stim","23.5",NA
"CB4856",1,3,2,23.5,"base","1.5",149
"CB4856",1,3,2,23.5,"base","5",56
"CB4856",1,3,2,23.5,"base","9",10
"CB4856",1,3,2,23.5,"base","12.5",0
"CB4856",1,3,2,23.5,"base","15.5",84
"CB4856",1,3,2,23.5,"base","20.5",0
"CB4856",1,3,2,23.5,"base","23.5",NA
"CB4856",1,3,3,12.5,"stim","1.5",160
"CB4856",1,3,3,12.5,"stim","5",116
"CB4856",1,3,3,12.5,"stim","9",103
"CB4856",1,3,3,12.5,"stim","12.5",NA
"CB4856",1,3,3,12.5,"stim","15.5",NA
"CB4856",1,3,3,12.5,"stim","20.5",NA
"CB4856",1,3,3,12.5,"stim","23.5",NA
"CB4856",1,3,3,12.5,"base","1.5",6
"CB4856",1,3,3,12.5,"base","5",14
"CB4856",1,3,3,12.5,"base","9",16
"CB4856",1,3,3,12.5,"base","12.5",NA
"CB4856",1,3,3,12.5,"base","15.5",NA
"CB4856",1,3,3,12.5,"base","20.5",NA
"CB4856",1,3,3,12.5,"base","23.5",NA
"CB4856",1,3,4,15.5,"stim","1.5",161
"CB4856",1,3,4,15.5,"stim","5",61
"CB4856",1,3,4,15.5,"stim","9",13
"CB4856",1,3,4,15.5,"stim","12.5",0
"CB4856",1,3,4,15.5,"stim","15.5",NA
"CB4856",1,3,4,15.5,"stim","20.5",NA
"CB4856",1,3,4,15.5,"stim","23.5",NA
"CB4856",1,3,4,15.5,"base","1.5",192
"CB4856",1,3,4,15.5,"base","5",46
"CB4856",1,3,4,15.5,"base","9",0
"CB4856",1,3,4,15.5,"base","12.5",11
"CB4856",1,3,4,15.5,"base","15.5",NA
"CB4856",1,3,4,15.5,"base","20.5",NA
"CB4856",1,3,4,15.5,"base","23.5",NA
"CB4856",1,3,5,12.5,"stim","1.5",29
"CB4856",1,3,5,12.5,"stim","5",69
"CB4856",1,3,5,12.5,"stim","9",59
"CB4856",1,3,5,12.5,"stim","12.5",NA
"CB4856",1,3,5,12.5,"stim","15.5",NA
"CB4856",1,3,5,12.5,"stim","20.5",NA
"CB4856",1,3,5,12.5,"stim","23.5",NA
"CB4856",1,3,5,12.5,"base","1.5",14
"CB4856",1,3,5,12.5,"base","5",8
"CB4856",1,3,5,12.5,"base","9",6
"CB4856",1,3,5,12.5,"base","12.5",NA
"CB4856",1,3,5,12.5,"base","15.5",NA
"CB4856",1,3,5,12.5,"base","20.5",NA
"CB4856",1,3,5,12.5,"base","23.5",NA
"CB4856",1,3,6,NA,"stim","1.5",0
"CB4856",1,3,6,NA,"stim","5",0
"CB4856",1,3,6,NA,"stim","9",0
"CB4856",1,3,6,NA,"stim","12.5",0
"CB4856",1,3,6,NA,"stim","15.5",0
"CB4856",1,3,6,NA,"stim","20.5",0
"CB4856",1,3,6,NA,"stim","23.5",0
"CB4856",1,3,6,NA,"base","1.5",0
"CB4856",1,3,6,NA,"base","5",0
"CB4856",1,3,6,NA,"base","9",0
"CB4856",1,3,6,NA,"base","12.5",0
"CB4856",1,3,6,NA,"base","15.5",0
"CB4856",1,3,6,NA,"base","20.5",0
"CB4856",1,3,6,NA,"base","23.5",0
"CB4856",1,3,7,12.5,"stim","1.5",186
"CB4856",1,3,7,12.5,"stim","5",0
"CB4856",1,3,7,12.5,"stim","9",187
"CB4856",1,3,7,12.5,"stim","12.5",NA
"CB4856",1,3,7,12.5,"stim","15.5",NA
"CB4856",1,3,7,12.5,"stim","20.5",NA
"CB4856",1,3,7,12.5,"stim","23.5",NA
"CB4856",1,3,7,12.5,"base","1.5",124
"CB4856",1,3,7,12.5,"base","5",137
"CB4856",1,3,7,12.5,"base","9",7
"CB4856",1,3,7,12.5,"base","12.5",NA
"CB4856",1,3,7,12.5,"base","15.5",NA
"CB4856",1,3,7,12.5,"base","20.5",NA
"CB4856",1,3,7,12.5,"base","23.5",NA
"CB4856",1,3,8,NA,"stim","1.5",0
"CB4856",1,3,8,NA,"stim","5",0
"CB4856",1,3,8,NA,"stim","9",0
"CB4856",1,3,8,NA,"stim","12.5",0
"CB4856",1,3,8,NA,"stim","15.5",0
"CB4856",1,3,8,NA,"stim","20.5",0
"CB4856",1,3,8,NA,"stim","23.5",0
"CB4856",1,3,8,NA,"base","1.5",0
"CB4856",1,3,8,NA,"base","5",0
"CB4856",1,3,8,NA,"base","9",0
"CB4856",1,3,8,NA,"base","12.5",0
"CB4856",1,3,8,NA,"base","15.5",0
"CB4856",1,3,8,NA,"base","20.5",0
"CB4856",1,3,8,NA,"base","23.5",0
"CB4856",1,3,9,20.5,"stim","1.5",41
"CB4856",1,3,9,20.5,"stim","5",9
"CB4856",1,3,9,20.5,"stim","9",52
"CB4856",1,3,9,20.5,"stim","12.5",0
"CB4856",1,3,9,20.5,"stim","15.5",25
"CB4856",1,3,9,20.5,"stim","20.5",NA
"CB4856",1,3,9,20.5,"stim","23.5",NA
"CB4856",1,3,9,20.5,"base","1.5",215
"CB4856",1,3,9,20.5,"base","5",180
"CB4856",1,3,9,20.5,"base","9",0
"CB4856",1,3,9,20.5,"base","12.5",0
"CB4856",1,3,9,20.5,"base","15.5",0
"CB4856",1,3,9,20.5,"base","20.5",NA
"CB4856",1,3,9,20.5,"base","23.5",NA
"CB4856",1,3,10,NA,"stim","1.5",0
"CB4856",1,3,10,NA,"stim","5",0
"CB4856",1,3,10,NA,"stim","9",0
"CB4856",1,3,10,NA,"stim","12.5",0
"CB4856",1,3,10,NA,"stim","15.5",0
"CB4856",1,3,10,NA,"stim","20.5",0
"CB4856",1,3,10,NA,"stim","23.5",0
"CB4856",1,3,10,NA,"base","1.5",0
"CB4856",1,3,10,NA,"base","5",0
"CB4856",1,3,10,NA,"base","9",0
"CB4856",1,3,10,NA,"base","12.5",0
"CB4856",1,3,10,NA,"base","15.5",0
"CB4856",1,3,10,NA,"base","20.5",0
"CB4856",1,3,10,NA,"base","23.5",0
"CB4856",1,3,11,NA,"stim","1.5",0
"CB4856",1,3,11,NA,"stim","5",0
"CB4856",1,3,11,NA,"stim","9",0
"CB4856",1,3,11,NA,"stim","12.5",0
"CB4856",1,3,11,NA,"stim","15.5",0
"CB4856",1,3,11,NA,"stim","20.5",0
"CB4856",1,3,11,NA,"stim","23.5",0
"CB4856",1,3,11,NA,"base","1.5",0
"CB4856",1,3,11,NA,"base","5",0
"CB4856",1,3,11,NA,"base","9",0
"CB4856",1,3,11,NA,"base","12.5",0
"CB4856",1,3,11,NA,"base","15.5",0
"CB4856",1,3,11,NA,"base","20.5",0
"CB4856",1,3,11,NA,"base","23.5",0
"CB4856",1,3,12,12.5,"stim","1.5",246
"CB4856",1,3,12,12.5,"stim","5",167
"CB4856",1,3,12,12.5,"stim","9",56
"CB4856",1,3,12,12.5,"stim","12.5",NA
"CB4856",1,3,12,12.5,"stim","15.5",NA
"CB4856",1,3,12,12.5,"stim","20.5",NA
"CB4856",1,3,12,12.5,"stim","23.5",NA
"CB4856",1,3,12,12.5,"base","1.5",211
"CB4856",1,3,12,12.5,"base","5",102
"CB4856",1,3,12,12.5,"base","9",63
"CB4856",1,3,12,12.5,"base","12.5",NA
"CB4856",1,3,12,12.5,"base","15.5",NA
"CB4856",1,3,12,12.5,"base","20.5",NA
"CB4856",1,3,12,12.5,"base","23.5",NA
"CB4856",1,3,13,20.5,"stim","1.5",96
"CB4856",1,3,13,20.5,"stim","5",245
"CB4856",1,3,13,20.5,"stim","9",34
"CB4856",1,3,13,20.5,"stim","12.5",0
"CB4856",1,3,13,20.5,"stim","15.5",11
"CB4856",1,3,13,20.5,"stim","20.5",NA
"CB4856",1,3,13,20.5,"stim","23.5",NA
"CB4856",1,3,13,20.5,"base","1.5",2
"CB4856",1,3,13,20.5,"base","5",80
"CB4856",1,3,13,20.5,"base","9",25
"CB4856",1,3,13,20.5,"base","12.5",0
"CB4856",1,3,13,20.5,"base","15.5",0
"CB4856",1,3,13,20.5,"base","20.5",NA
"CB4856",1,3,13,20.5,"base","23.5",NA
"CB4856",1,3,14,23.5,"stim","1.5",49
"CB4856",1,3,14,23.5,"stim","5",35
"CB4856",1,3,14,23.5,"stim","9",188
"CB4856",1,3,14,23.5,"stim","12.5",0
"CB4856",1,3,14,23.5,"stim","15.5",0
"CB4856",1,3,14,23.5,"stim","20.5",10
"CB4856",1,3,14,23.5,"stim","23.5",NA
"CB4856",1,3,14,23.5,"base","1.5",64
"CB4856",1,3,14,23.5,"base","5",74
"CB4856",1,3,14,23.5,"base","9",91
"CB4856",1,3,14,23.5,"base","12.5",0
"CB4856",1,3,14,23.5,"base","15.5",0
"CB4856",1,3,14,23.5,"base","20.5",63
"CB4856",1,3,14,23.5,"base","23.5",NA
"CB4856",1,3,15,12.5,"stim","1.5",78
"CB4856",1,3,15,12.5,"stim","5",21
"CB4856",1,3,15,12.5,"stim","9",78
"CB4856",1,3,15,12.5,"stim","12.5",NA
"CB4856",1,3,15,12.5,"stim","15.5",NA
"CB4856",1,3,15,12.5,"stim","20.5",NA
"CB4856",1,3,15,12.5,"stim","23.5",NA
"CB4856",1,3,15,12.5,"base","1.5",249
"CB4856",1,3,15,12.5,"base","5",2
"CB4856",1,3,15,12.5,"base","9",16
"CB4856",1,3,15,12.5,"base","12.5",NA
"CB4856",1,3,15,12.5,"base","15.5",NA
"CB4856",1,3,15,12.5,"base","20.5",NA
"CB4856",1,3,15,12.5,"base","23.5",NA
"CB4856",1,3,16,23.5,"stim","1.5",0
"CB4856",1,3,16,23.5,"stim","5",7
"CB4856",1,3,16,23.5,"stim","9",43
"CB4856",1,3,16,23.5,"stim","12.5",0
"CB4856",1,3,16,23.5,"stim","15.5",0
"CB4856",1,3,16,23.5,"stim","20.5",36
"CB4856",1,3,16,23.5,"stim","23.5",NA
"CB4856",1,3,16,23.5,"base","1.5",106
"CB4856",1,3,16,23.5,"base","5",3
"CB4856",1,3,16,23.5,"base","9",20
"CB4856",1,3,16,23.5,"base","12.5",0
"CB4856",1,3,16,23.5,"base","15.5",0
"CB4856",1,3,16,23.5,"base","20.5",3
"CB4856",1,3,16,23.5,"base","23.5",NA
"CB4856",1,3,17,9,"stim","1.5",232
"CB4856",1,3,17,9,"stim","5",59
"CB4856",1,3,17,9,"stim","9",NA
"CB4856",1,3,17,9,"stim","12.5",NA
"CB4856",1,3,17,9,"stim","15.5",NA
"CB4856",1,3,17,9,"stim","20.5",NA
"CB4856",1,3,17,9,"stim","23.5",NA
"CB4856",1,3,17,9,"base","1.5",321
"CB4856",1,3,17,9,"base","5",61
"CB4856",1,3,17,9,"base","9",NA
"CB4856",1,3,17,9,"base","12.5",NA
"CB4856",1,3,17,9,"base","15.5",NA
"CB4856",1,3,17,9,"base","20.5",NA
"CB4856",1,3,17,9,"base","23.5",NA
"CB4856",1,3,18,12.5,"stim","1.5",25
"CB4856",1,3,18,12.5,"stim","5",96
"CB4856",1,3,18,12.5,"stim","9",65
"CB4856",1,3,18,12.5,"stim","12.5",NA
"CB4856",1,3,18,12.5,"stim","15.5",NA
"CB4856",1,3,18,12.5,"stim","20.5",NA
"CB4856",1,3,18,12.5,"stim","23.5",NA
"CB4856",1,3,18,12.5,"base","1.5",57
