,Lifespan,Stimulated_Activity,,,,,,,Baseline_Activity,,,,,,
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,12.5,231,78,15,NaN,NaN,NaN,NaN,150,14,0,NaN,NaN,NaN,NaN
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,15.5,306,0,97,10,NaN,NaN,NaN,252,2,78,39,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,23.5,99,333,288,292,66,21,NaN,277,193,222,151,26,2,NaN
LKC34,15.5,115,62,267,0,NaN,NaN,NaN,139,65,58,17,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,20.5,45,97,6,0,95,NaN,NaN,5,269,0,0,129,NaN,NaN
LKC34,23.5,64,34,0,0,0,0,NaN,102,47,0,0,0,9,NaN
LKC34,15.5,222,46,50,32,NaN,NaN,NaN,251,43,0,0,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,20.5,92,299,0,31,112,NaN,NaN,145,152,0,138,0,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,12.5,359,128,65,NaN,NaN,NaN,NaN,110,29,9,NaN,NaN,NaN,NaN
LKC34,12.5,240,230,41,NaN,NaN,NaN,NaN,263,120,93,NaN,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,12.5,180,49,8,NaN,NaN,NaN,NaN,238,189,0,NaN,NaN,NaN,NaN
LKC34,23.5,131,19,148,3,0,0,NaN,261,11,70,0,2,8,NaN
LKC34,12.5,103,20,50,NaN,NaN,NaN,NaN,13,31,54,NaN,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,12.5,17,38,9,NaN,NaN,NaN,NaN,110,2,11,NaN,NaN,NaN,NaN
CX11314,23.5,0,0,21,0,0,9,NaN,95,23,0,0,0,0,NaN
CX11314,20.5,10,61,88,48,56,NaN,NaN,5,49,101,50,47,NaN,NaN
CX11314,12.5,2,167,228,NaN,NaN,NaN,NaN,48,43,178,NaN,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,20.5,35,246,271,16,34,NaN,NaN,58,284,66,14,35,NaN,NaN
CX11314,23.5,139,224,206,3,0,0,NaN,101,246,169,0,0,7,NaN
CX11314,23.5,0,59,63,0,0,0,NaN,108,2,185,0,0,15,NaN
CX11314,9,29,56,NaN,NaN,NaN,NaN,NaN,0,58,NaN,NaN,NaN,NaN,NaN
CX11314,9,46,2,NaN,NaN,NaN,NaN,NaN,22,113,NaN,NaN,NaN,NaN,NaN
CX11314,20.5,72,418,80,0,57,NaN,NaN,166,402,186,0,0,NaN,NaN
CX11314,15.5,299,232,68,163,NaN,NaN,NaN,6,192,141,0,NaN,NaN,NaN
CX11314,20.5,26,93,82,30,135,NaN,NaN,20,125,37,47,132,NaN,NaN
CX11314,20.5,25,124,16,0,37,NaN,NaN,0,105,10,0,4,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,15.5,39,143,58,7,NaN,NaN,NaN,85,267,49,1,NaN,NaN,NaN
CX11314,20.5,37,40,200,75,116,NaN,NaN,116,36,48,96,0,NaN,NaN
CX11314,23.5,210,196,166,6,40,18,NaN,218,39,96,7,0,0,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,23.5,124,147,21,0,0,9,NaN,338,83,0,0,0,0,NaN
JT11398,20.5,240,69,249,59,82,NaN,NaN,291,2,297,22,27,NaN,NaN
JT11398,9,176,215,NaN,NaN,NaN,NaN,NaN,49,63,NaN,NaN,NaN,NaN,NaN
JT11398,9,178,146,NaN,NaN,NaN,NaN,NaN,160,45,NaN,NaN,NaN,NaN,NaN
JT11398,12.5,38,144,62,NaN,NaN,NaN,NaN,15,105,15,NaN,NaN,NaN,NaN
JT11398,23.5,50,10,76,0,0,0,NaN,67,3,7,0,0,19,NaN
JT11398,NaN,38,94,0,0,0,0,104,47,24,0,0,0,16,0
JT11398,23.5,109,156,13,22,0,0,NaN,220,62,85,0,0,39,NaN
JT11398,12.5,162,88,6,NaN,NaN,NaN,NaN,30,102,14,NaN,NaN,NaN,NaN
JT11398,12.5,54,32,77,NaN,NaN,NaN,NaN,115,48,8,NaN,NaN,NaN,NaN
JT11398,23.5,170,117,1,0,0,28,NaN,296,12,39,0,0,19,NaN
JT11398,23.5,234,206,2,112,204,5,NaN,15,194,7,0,165,0,NaN
JT11398,20.5,76,100,0,28,85,NaN,NaN,100,73,0,0,0,NaN,NaN
JT11398,12.5,236,57,31,NaN,NaN,NaN,NaN,267,40,154,NaN,NaN,NaN,NaN
JT11398,12.5,159,106,35,NaN,NaN,NaN,NaN,369,15,10,NaN,NaN,NaN,NaN
JT11398,23.5,124,117,134,61,0,13,NaN,197,43,42,64,0,0,NaN
JT11398,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,23.5,125,29,15,0,0,26,NaN,240,29,12,0,0,1,NaN
JT11398,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,15.5,185,1,0,10,NaN,NaN,NaN,72,98,1,0,NaN,NaN,NaN
JU775,20.5,265,166,76,477,6,NaN,NaN,503,94,9,310,21,NaN,NaN
JU775,12.5,163,0,2,NaN,NaN,NaN,NaN,142,77,10,NaN,NaN,NaN,NaN
JU775,20.5,212,16,0,106,21,NaN,NaN,0,6,0,0,0,NaN,NaN
JU775,15.5,0,0,0,10,NaN,NaN,NaN,0,50,0,0,NaN,NaN,NaN
JU775,9,231,38,NaN,NaN,NaN,NaN,NaN,61,7,NaN,NaN,NaN,NaN,NaN
JU775,23.5,129,4,0,0,0,0,NaN,163,13,0,0,0,8,NaN
JU775,23.5,201,66,198,0,0,0,NaN,13,42,0,0,0,25,NaN
JU775,20.5,40,127,59,0,41,NaN,NaN,97,49,154,0,0,NaN,NaN
JU775,9,36,132,NaN,NaN,NaN,NaN,NaN,15,83,NaN,NaN,NaN,NaN,NaN
JU775,12.5,224,0,150,NaN,NaN,NaN,NaN,128,0,0,NaN,NaN,NaN,NaN
JU775,NaN,195,219,240,99,165,0,5,3,9,17,281,13,6,0
JU775,23.5,286,84,42,0,0,0,NaN,108,19,6,0,0,8,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,15.5,220,240,50,71,NaN,NaN,NaN,20,17,164,7,NaN,NaN,NaN
JU775,20.5,50,177,0,19,8,NaN,NaN,87,73,0,0,16,NaN,NaN
JU775,23.5,21,147,12,0,3,36,NaN,0,21,0,0,0,83,NaN
JU775,23.5,79,125,77,16,0,35,NaN,69,89,23,0,0,83,NaN
JU775,NaN,37,7,80,0,0,8,7,2,0,16,0,0,0,0
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,20.5,193,6,49,0,12,NaN,NaN,187,0,130,0,0,NaN,NaN
ED3017,23.5,182,104,258,44,22,60,NaN,242,114,249,9,0,32,NaN
ED3017,23.5,311,23,297,0,0,47,NaN,0,12,35,0,0,32,NaN
ED3017,23.5,31,146,0,0,0,92,NaN,30,188,0,0,0,19,NaN
ED3017,23.5,379,62,177,0,0,92,NaN,134,17,122,0,0,17,NaN
ED3017,23.5,0,62,14,0,35,0,NaN,4,10,0,0,0,11,NaN
ED3017,23.5,251,29,96,58,36,0,NaN,13,14,83,0,0,11,NaN
ED3017,9,101,281,NaN,NaN,NaN,NaN,NaN,0,26,NaN,NaN,NaN,NaN,NaN
ED3017,12.5,254,96,18,NaN,NaN,NaN,NaN,109,88,0,NaN,NaN,NaN,NaN
ED3017,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,20.5,250,79,9,0,14,NaN,NaN,55,98,2,0,0,NaN,NaN
ED3017,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,15.5,97,240,214,59,NaN,NaN,NaN,15,6,35,62,NaN,NaN,NaN
ED3017,20.5,377,80,24,13,15,NaN,NaN,92,34,2,0,0,NaN,NaN
ED3017,15.5,127,20,239,26,NaN,NaN,NaN,296,66,78,0,NaN,NaN,NaN
ED3017,23.5,85,140,15,24,0,43,NaN,30,183,3,0,0,0,NaN
ED3017,23.5,257,22,174,0,10,120,NaN,48,11,412,0,7,0,NaN
ED3017,15.5,141,81,0,25,NaN,NaN,NaN,131,0,0,0,NaN,NaN,NaN
ED3017,20.5,37,14,33,5,51,NaN,NaN,45,1,10,0,0,NaN,NaN
MY16,12.5,0,100,212,NaN,NaN,NaN,NaN,69,35,192,NaN,NaN,NaN,NaN
MY16,23.5,94,11,16,13,55,18,NaN,155,0,192,0,0,0,NaN
MY16,20.5,113,165,240,0,22,NaN,NaN,20,104,117,27,13,NaN,NaN
MY16,15.5,98,7,87,13,NaN,NaN,NaN,95,40,63,0,NaN,NaN,NaN
MY16,15.5,135,49,10,35,NaN,NaN,NaN,0,25,102,12,NaN,NaN,NaN
MY16,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY16,20.5,107,80,6,4,13,NaN,NaN,4,24,0,6,1,NaN,NaN
MY16,15.5,21,195,45,0,NaN,NaN,NaN,4,109,0,152,NaN,NaN,NaN
MY16,15.5,11,62,132,82,NaN,NaN,NaN,32,43,142,127,NaN,NaN,NaN
MY16,12.5,147,90,73,NaN,NaN,NaN,NaN,33,296,1,NaN,NaN,NaN,NaN
MY16,12.5,103,154,22,NaN,NaN,NaN,NaN,112,67,25,NaN,NaN,NaN,NaN
MY16,12.5,56,205,107,NaN,NaN,NaN,NaN,112,214,18,NaN,NaN,NaN,NaN
MY16,12.5,52,214,18,NaN,NaN,NaN,NaN,48,4,0,NaN,NaN,NaN,NaN
MY16,20.5,109,52,93,43,7,NaN,NaN,2,38,85,97,0,NaN,NaN
MY16,NaN,0,7,0,33,12,0,0,0,4,0,0,0,0,0
MY16,12.5,84,34,50,NaN,NaN,NaN,NaN,275,20,99,NaN,NaN,NaN,NaN
MY16,12.5,20,74,44,NaN,NaN,NaN,NaN,48,43,53,NaN,NaN,NaN,NaN
MY16,9,0,55,NaN,NaN,NaN,NaN,NaN,24,16,NaN,NaN,NaN,NaN,NaN
MY16,20.5,12,40,152,26,87,NaN,NaN,31,50,0,41,3,NaN,NaN
MY16,20.5,27,112,143,2,5,NaN,NaN,49,61,63,0,0,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,23.5,107,65,47,0,102,28,NaN,149,56,10,0,84,0,NaN
CB4856,12.5,160,116,103,NaN,NaN,NaN,NaN,6,14,16,NaN,NaN,NaN,NaN
CB4856,15.5,161,61,13,0,NaN,NaN,NaN,192,46,0,11,NaN,NaN,NaN
CB4856,12.5,29,69,59,NaN,NaN,NaN,NaN,14,8,6,NaN,NaN,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,12.5,186,0,187,NaN,NaN,NaN,NaN,124,137,7,NaN,NaN,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,20.5,41,9,52,0,25,NaN,NaN,215,180,0,0,0,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,12.5,246,167,56,NaN,NaN,NaN,NaN,211,102,63,NaN,NaN,NaN,NaN
CB4856,20.5,96,245,34,0,11,NaN,NaN,2,80,25,0,0,NaN,NaN
CB4856,23.5,49,35,188,0,0,10,NaN,64,74,91,0,0,63,NaN
CB4856,12.5,78,21,78,NaN,NaN,NaN,NaN,249,2,16,NaN,NaN,NaN,NaN
CB4856,23.5,0,7,43,0,0,36,NaN,106,3,20,0,0,3,NaN
CB4856,9,232,59,NaN,NaN,NaN,NaN,NaN,321,61,NaN,NaN,NaN,NaN,NaN
CB4856,12.5,25,96,65,NaN,NaN,NaN,NaN,57,30,100,NaN,NaN,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,20.5,21,160,371,396,251,NaN,NaN,294,129,322,19,0,NaN,NaN
MY23,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,23.5,241,82,285,15,41,78,NaN,311,147,44,89,69,0,NaN
MY23,20.5,120,258,65,8,6,NaN,NaN,99,258,69,70,0,NaN,NaN
MY23,23.5,215,61,16,10,28,6,NaN,7,2,30,0,108,0,NaN
MY23,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,NaN,95,27,189,132,0,4,7,236,1,320,122,0,3,0
MY23,15.5,378,14,0,0,NaN,NaN,NaN,62,16,0,71,NaN,NaN,NaN
MY23,15.5,287,130,42,120,NaN,NaN,NaN,136,323,106,302,NaN,NaN,NaN
MY23,20.5,320,226,23,10,47,NaN,NaN,204,257,82,0,51,NaN,NaN
MY23,20.5,402,410,252,0,16,NaN,NaN,263,393,3,100,14,NaN,NaN
MY23,20.5,360,153,33,5,0,NaN,NaN,13,104,18,31,66,NaN,NaN
MY23,23.5,97,351,156,47,0,60,NaN,156,308,112,30,0,48,NaN
MY23,20.5,5,110,247,45,0,NaN,NaN,0,30,354,71,35,NaN,NaN
MY23,23.5,24,200,9,0,0,68,NaN,0,69,65,43,0,57,NaN
MY23,NaN,189,185,162,142,0,27,71,0,8,50,146,78,45,33
MY23,20.5,62,50,2,20,24,NaN,NaN,0,28,6,0,90,NaN,NaN
MY23,15.5,36,290,34,116,NaN,NaN,NaN,237,138,33,16,NaN,NaN,NaN
MY23,15.5,87,292,17,5,NaN,NaN,NaN,323,96,0,0,NaN,NaN,NaN
DL238,12.5,369,51,10,NaN,NaN,NaN,NaN,63,19,38,NaN,NaN,NaN,NaN
DL238,12.5,211,15,38,NaN,NaN,NaN,NaN,124,33,35,NaN,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,23.5,193,91,0,12,0,12,NaN,42,200,0,0,0,0,NaN
DL238,15.5,193,169,1,5,NaN,NaN,NaN,48,67,0,0,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,23.5,30,48,164,13,9,67,NaN,12,28,157,28,20,0,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,15.5,119,14,23,36,NaN,NaN,NaN,213,14,12,2,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,15.5,75,148,60,108,NaN,NaN,NaN,102,26,144,77,NaN,NaN,NaN
DL238,5,124,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN
DL238,NaN,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,9,306,26,NaN,NaN,NaN,NaN,NaN,295,33,NaN,NaN,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,9,61,69,NaN,NaN,NaN,NaN,NaN,91,116,NaN,NaN,NaN,NaN,NaN
JU258,5,25,NaN,NaN,NaN,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN
JU258,5,155,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN
JU258,12.5,251,0,43,NaN,NaN,NaN,NaN,337,0,0,NaN,NaN,NaN,NaN
JU258,9,49,0,NaN,NaN,NaN,NaN,NaN,0,50,NaN,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,NaN,244,0,0,13,0,0,16,176,70,0,0,0,0,0
JU258,15.5,40,62,23,11,NaN,NaN,NaN,43,0,80,6,NaN,NaN,NaN
JU258,9,99,30,NaN,NaN,NaN,NaN,NaN,158,0,NaN,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,23.5,325,182,0,0,0,124,NaN,152,167,0,0,0,0,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,12.5,231,55,0,NaN,NaN,NaN,NaN,28,0,19,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,12.5,87,12,11,NaN,NaN,NaN,NaN,306,10,14,NaN,NaN,NaN,NaN
JU258,9,197,23,NaN,NaN,NaN,NaN,NaN,101,170,NaN,NaN,NaN,NaN,NaN
