,Lifespan,Stimulated_Activity,,,,,,,Baseline_Activity,,,,,,
Time_days,-1,1.5,5,9,12.5,15.5,20.5,23.5,1.5,5,9,12.5,15.5,20.5,23.5
N2,12.5,255,111,15,NaN,NaN,NaN,NaN,114,169,0,NaN,NaN,NaN,NaN
N2,12.5,128,70,23,NaN,NaN,NaN,NaN,91,106,11,NaN,NaN,NaN,NaN
N2,12.5,167,118,83,NaN,NaN,NaN,NaN,101,50,121,NaN,NaN,NaN,NaN
N2,12.5,151,226,66,NaN,NaN,NaN,NaN,205,39,20,NaN,NaN,NaN,NaN
N2,15.5,55,243,0,9,NaN,NaN,NaN,198,144,0,0,NaN,NaN,NaN
N2,12.5,272,72,92,NaN,NaN,NaN,NaN,20,43,70,NaN,NaN,NaN,NaN
N2,15.5,224,214,0,59,NaN,NaN,NaN,248,103,0,2,NaN,NaN,NaN
N2,12.5,93,190,68,NaN,NaN,NaN,NaN,34,157,75,NaN,NaN,NaN,NaN
N2,NaN,0,203,18,0,0,0,0,0,0,4,0,0,0,0
N2,12.5,335,322,161,NaN,NaN,NaN,NaN,367,355,73,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,20.5,156,201,11,13,35,NaN,NaN,77,200,0,0,0,NaN,NaN
N2,12.5,223,103,181,NaN,NaN,NaN,NaN,248,146,130,NaN,NaN,NaN,NaN
N2,20.5,46,114,0,0,0,NaN,NaN,116,161,3,0,5,NaN,NaN
N2,9,24,101,NaN,NaN,NaN,NaN,NaN,57,25,NaN,NaN,NaN,NaN,NaN
N2,9,34,50,NaN,NaN,NaN,NaN,NaN,75,59,NaN,NaN,NaN,NaN,NaN
N2,12.5,63,6,33,NaN,NaN,NaN,NaN,88,3,34,NaN,NaN,NaN,NaN
N2,9,38,8,NaN,NaN,NaN,NaN,NaN,31,0,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,12.5,73,17,60,NaN,NaN,NaN,NaN,8,140,102,NaN,NaN,NaN,NaN
EG4725,23.5,61,123,117,0,0,0,NaN,95,0,6,0,0,5,NaN
EG4725,20.5,114,190,132,0,19,NaN,NaN,100,393,0,0,5,NaN,NaN
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,23.5,141,205,0,0,27,6,NaN,7,20,0,0,16,26,NaN
EG4725,15.5,159,6,35,46,NaN,NaN,NaN,4,0,17,2,NaN,NaN,NaN
EG4725,15.5,172,7,0,15,NaN,NaN,NaN,14,0,0,0,NaN,NaN,NaN
EG4725,23.5,253,80,0,2,5,9,NaN,89,215,0,0,0,3,NaN
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,9,164,66,NaN,NaN,NaN,NaN,NaN,186,46,NaN,NaN,NaN,NaN,NaN
EG4725,15.5,0,4,44,33,NaN,NaN,NaN,3,107,100,5,NaN,NaN,NaN
EG4725,20.5,268,14,216,0,26,NaN,NaN,52,205,144,0,0,NaN,NaN
