"strain","rep","life_span","activity_type","time_d","activity"
"CB4856",4,19,"base","9.5",121
"CB4856",4,19,"base","11.5",94
"CB4856",4,19,"base","13",109
"CB4856",4,19,"base","15",0
"CB4856",4,19,"base","17",38
"CB4856",4,19,"base","19",NA
"CB4856",4,19,"base","22",NA
"CB4856",4,19,"base","26.5",NA
"CB4856",4,19,"base","30",NA
"CB4856",4,19,"base","33.5",NA
"CB4856",5,15,"stim","1.5",171
"CB4856",5,15,"stim","3",267
"CB4856",5,15,"stim","4.5",163
"CB4856",5,15,"stim","6",124
"CB4856",5,15,"stim","8",158
"CB4856",5,15,"stim","9.5",216
"CB4856",5,15,"stim","11.5",170
"CB4856",5,15,"stim","13",9
"CB4856",5,15,"stim","15",NA
"CB4856",5,15,"stim","17",NA
"CB4856",5,15,"stim","19",NA
"CB4856",5,15,"stim","22",NA
"CB4856",5,15,"stim","26.5",NA
"CB4856",5,15,"stim","30",NA
"CB4856",5,15,"stim","33.5",NA
"CB4856",5,15,"base","1.5",0
"CB4856",5,15,"base","3",3
"CB4856",5,15,"base","4.5",0
"CB4856",5,15,"base","6",36
"CB4856",5,15,"base","8",100
"CB4856",5,15,"base","9.5",183
"CB4856",5,15,"base","11.5",35
"CB4856",5,15,"base","13",38
"CB4856",5,15,"base","15",NA
"CB4856",5,15,"base","17",NA
"CB4856",5,15,"base","19",NA
"CB4856",5,15,"base","22",NA
"CB4856",5,15,"base","26.5",NA
"CB4856",5,15,"base","30",NA
"CB4856",5,15,"base","33.5",NA
"CB4856",6,17,"stim","1.5",7
"CB4856",6,17,"stim","3",153
"CB4856",6,17,"stim","4.5",38
"CB4856",6,17,"stim","6",203
"CB4856",6,17,"stim","8",333
"CB4856",6,17,"stim","9.5",102
"CB4856",6,17,"stim","11.5",0
"CB4856",6,17,"stim","13",24
"CB4856",6,17,"stim","15",1
"CB4856",6,17,"stim","17",NA
"CB4856",6,17,"stim","19",NA
"CB4856",6,17,"stim","22",NA
"CB4856",6,17,"stim","26.5",NA
"CB4856",6,17,"stim","30",NA
"CB4856",6,17,"stim","33.5",NA
"CB4856",6,17,"base","1.5",64
"CB4856",6,17,"base","3",173
"CB4856",6,17,"base","4.5",10
"CB4856",6,17,"base","6",95
"CB4856",6,17,"base","8",271
"CB4856",6,17,"base","9.5",223
"CB4856",6,17,"base","11.5",200
"CB4856",6,17,"base","13",0
"CB4856",6,17,"base","15",11
"CB4856",6,17,"base","17",NA
"CB4856",6,17,"base","19",NA
"CB4856",6,17,"base","22",NA
"CB4856",6,17,"base","26.5",NA
"CB4856",6,17,"base","30",NA
"CB4856",6,17,"base","33.5",NA
"CB4856",7,15,"stim","1.5",93
"CB4856",7,15,"stim","3",185
"CB4856",7,15,"stim","4.5",0
"CB4856",7,15,"stim","6",196
"CB4856",7,15,"stim","8",109
"CB4856",7,15,"stim","9.5",27
"CB4856",7,15,"stim","11.5",88
"CB4856",7,15,"stim","13",244
"CB4856",7,15,"stim","15",NA
"CB4856",7,15,"stim","17",NA
"CB4856",7,15,"stim","19",NA
"CB4856",7,15,"stim","22",NA
"CB4856",7,15,"stim","26.5",NA
"CB4856",7,15,"stim","30",NA
"CB4856",7,15,"stim","33.5",NA
"CB4856",7,15,"base","1.5",0
"CB4856",7,15,"base","3",130
"CB4856",7,15,"base","4.5",135
"CB4856",7,15,"base","6",198
"CB4856",7,15,"base","8",120
"CB4856",7,15,"base","9.5",196
"CB4856",7,15,"base","11.5",94
"CB4856",7,15,"base","13",159
"CB4856",7,15,"base","15",NA
"CB4856",7,15,"base","17",NA
"CB4856",7,15,"base","19",NA
"CB4856",7,15,"base","22",NA
"CB4856",7,15,"base","26.5",NA
"CB4856",7,15,"base","30",NA
"CB4856",7,15,"base","33.5",NA
"CB4856",8,15,"stim","1.5",0
"CB4856",8,15,"stim","3",50
"CB4856",8,15,"stim","4.5",75
"CB4856",8,15,"stim","6",3
"CB4856",8,15,"stim","8",98
"CB4856",8,15,"stim","9.5",224
"CB4856",8,15,"stim","11.5",95
"CB4856",8,15,"stim","13",20
"CB4856",8,15,"stim","15",NA
"CB4856",8,15,"stim","17",NA
"CB4856",8,15,"stim","19",NA
"CB4856",8,15,"stim","22",NA
"CB4856",8,15,"stim","26.5",NA
"CB4856",8,15,"stim","30",NA
"CB4856",8,15,"stim","33.5",NA
"CB4856",8,15,"base","1.5",0
"CB4856",8,15,"base","3",41
"CB4856",8,15,"base","4.5",115
"CB4856",8,15,"base","6",51
"CB4856",8,15,"base","8",23
"CB4856",8,15,"base","9.5",349
"CB4856",8,15,"base","11.5",95
"CB4856",8,15,"base","13",120
"CB4856",8,15,"base","15",NA
"CB4856",8,15,"base","17",NA
"CB4856",8,15,"base","19",NA
"CB4856",8,15,"base","22",NA
"CB4856",8,15,"base","26.5",NA
"CB4856",8,15,"base","30",NA
"CB4856",8,15,"base","33.5",NA
"CB4856",9,15,"stim","1.5",199
"CB4856",9,15,"stim","3",194
"CB4856",9,15,"stim","4.5",90
"CB4856",9,15,"stim","6",13
"CB4856",9,15,"stim","8",166
"CB4856",9,15,"stim","9.5",228
"CB4856",9,15,"stim","11.5",25
"CB4856",9,15,"stim","13",10
"CB4856",9,15,"stim","15",NA
"CB4856",9,15,"stim","17",NA
"CB4856",9,15,"stim","19",NA
"CB4856",9,15,"stim","22",NA
"CB4856",9,15,"stim","26.5",NA
"CB4856",9,15,"stim","30",NA
"CB4856",9,15,"stim","33.5",NA
"CB4856",9,15,"base","1.5",17
"CB4856",9,15,"base","3",61
"CB4856",9,15,"base","4.5",76
"CB4856",9,15,"base","6",12
"CB4856",9,15,"base","8",163
"CB4856",9,15,"base","9.5",191
"CB4856",9,15,"base","11.5",9
"CB4856",9,15,"base","13",0
"CB4856",9,15,"base","15",NA
"CB4856",9,15,"base","17",NA
"CB4856",9,15,"base","19",NA
"CB4856",9,15,"base","22",NA
"CB4856",9,15,"base","26.5",NA
"CB4856",9,15,"base","30",NA
"CB4856",9,15,"base","33.5",NA
"CB4856",10,17,"stim","1.5",107
"CB4856",10,17,"stim","3",39
"CB4856",10,17,"stim","4.5",149
"CB4856",10,17,"stim","6",46
"CB4856",10,17,"stim","8",138
"CB4856",10,17,"stim","9.5",19
"CB4856",10,17,"stim","11.5",196
"CB4856",10,17,"stim","13",0
"CB4856",10,17,"stim","15",11
"CB4856",10,17,"stim","17",NA
"CB4856",10,17,"stim","19",NA
"CB4856",10,17,"stim","22",NA
"CB4856",10,17,"stim","26.5",NA
"CB4856",10,17,"stim","30",NA
"CB4856",10,17,"stim","33.5",NA
"CB4856",10,17,"base","1.5",62
"CB4856",10,17,"base","3",27
"CB4856",10,17,"base","4.5",135
"CB4856",10,17,"base","6",56
"CB4856",10,17,"base","8",260
"CB4856",10,17,"base","9.5",10
"CB4856",10,17,"base","11.5",231
"CB4856",10,17,"base","13",0
"CB4856",10,17,"base","15",30
"CB4856",10,17,"base","17",NA
"CB4856",10,17,"base","19",NA
"CB4856",10,17,"base","22",NA
"CB4856",10,17,"base","26.5",NA
"CB4856",10,17,"base","30",NA
"CB4856",10,17,"base","33.5",NA
"CB4856",11,15,"stim","1.5",150
"CB4856",11,15,"stim","3",7
"CB4856",11,15,"stim","4.5",121
"CB4856",11,15,"stim","6",61
"CB4856",11,15,"stim","8",195
"CB4856",11,15,"stim","9.5",67
"CB4856",11,15,"stim","11.5",15
"CB4856",11,15,"stim","13",38
"CB4856",11,15,"stim","15",NA
"CB4856",11,15,"stim","17",NA
"CB4856",11,15,"stim","19",NA
"CB4856",11,15,"stim","22",NA
"CB4856",11,15,"stim","26.5",NA
"CB4856",11,15,"stim","30",NA
"CB4856",11,15,"stim","33.5",NA
"CB4856",11,15,"base","1.5",0
"CB4856",11,15,"base","3",32
"CB4856",11,15,"base","4.5",11
"CB4856",11,15,"base","6",12
"CB4856",11,15,"base","8",85
"CB4856",11,15,"base","9.5",118
"CB4856",11,15,"base","11.5",4
"CB4856",11,15,"base","13",1
"CB4856",11,15,"base","15",NA
"CB4856",11,15,"base","17",NA
"CB4856",11,15,"base","19",NA
"CB4856",11,15,"base","22",NA
"CB4856",11,15,"base","26.5",NA
"CB4856",11,15,"base","30",NA
"CB4856",11,15,"base","33.5",NA
"CB4856",12,26.5,"stim","1.5",168
"CB4856",12,26.5,"stim","3",56
"CB4856",12,26.5,"stim","4.5",52
"CB4856",12,26.5,"stim","6",13
"CB4856",12,26.5,"stim","8",5
"CB4856",12,26.5,"stim","9.5",49
"CB4856",12,26.5,"stim","11.5",2
"CB4856",12,26.5,"stim","13",18
"CB4856",12,26.5,"stim","15",3
"CB4856",12,26.5,"stim","17",77
"CB4856",12,26.5,"stim","19",0
"CB4856",12,26.5,"stim","22",14
"CB4856",12,26.5,"stim","26.5",NA
"CB4856",12,26.5,"stim","30",NA
"CB4856",12,26.5,"stim","33.5",NA
"CB4856",12,26.5,"base","1.5",0
"CB4856",12,26.5,"base","3",35
"CB4856",12,26.5,"base","4.5",105
"CB4856",12,26.5,"base","6",44
"CB4856",12,26.5,"base","8",48
"CB4856",12,26.5,"base","9.5",299
"CB4856",12,26.5,"base","11.5",68
"CB4856",12,26.5,"base","13",29
"CB4856",12,26.5,"base","15",12
"CB4856",12,26.5,"base","17",183
"CB4856",12,26.5,"base","19",0
"CB4856",12,26.5,"base","22",0
"CB4856",12,26.5,"base","26.5",NA
"CB4856",12,26.5,"base","30",NA
"CB4856",12,26.5,"base","33.5",NA
"CB4856",13,22,"stim","1.5",0
"CB4856",13,22,"stim","3",205
"CB4856",13,22,"stim","4.5",18
"CB4856",13,22,"stim","6",201
"CB4856",13,22,"stim","8",178
"CB4856",13,22,"stim","9.5",179
"CB4856",13,22,"stim","11.5",146
"CB4856",13,22,"stim","13",223
"CB4856",13,22,"stim","15",0
"CB4856",13,22,"stim","17",0
"CB4856",13,22,"stim","19",0
"CB4856",13,22,"stim","22",NA
"CB4856",13,22,"stim","26.5",NA
"CB4856",13,22,"stim","30",NA
"CB4856",13,22,"stim","33.5",NA
"CB4856",13,22,"base","1.5",0
"CB4856",13,22,"base","3",53
"CB4856",13,22,"base","4.5",217
"CB4856",13,22,"base","6",227
"CB4856",13,22,"base","8",275
"CB4856",13,22,"base","9.5",253
"CB4856",13,22,"base","11.5",224
"CB4856",13,22,"base","13",169
"CB4856",13,22,"base","15",9
"CB4856",13,22,"base","17",0
"CB4856",13,22,"base","19",38
"CB4856",13,22,"base","22",NA
"CB4856",13,22,"base","26.5",NA
"CB4856",13,22,"base","30",NA
"CB4856",13,22,"base","33.5",NA
"CB4856",14,11.5,"stim","1.5",156
"CB4856",14,11.5,"stim","3",15
"CB4856",14,11.5,"stim","4.5",173
"CB4856",14,11.5,"stim","6",73
"CB4856",14,11.5,"stim","8",223
"CB4856",14,11.5,"stim","9.5",10
"CB4856",14,11.5,"stim","11.5",NA
"CB4856",14,11.5,"stim","13",NA
"CB4856",14,11.5,"stim","15",NA
"CB4856",14,11.5,"stim","17",NA
"CB4856",14,11.5,"stim","19",NA
"CB4856",14,11.5,"stim","22",NA
"CB4856",14,11.5,"stim","26.5",NA
"CB4856",14,11.5,"stim","30",NA
"CB4856",14,11.5,"stim","33.5",NA
"CB4856",14,11.5,"base","1.5",194
"CB4856",14,11.5,"base","3",110
"CB4856",14,11.5,"base","4.5",75
"CB4856",14,11.5,"base","6",298
"CB4856",14,11.5,"base","8",220
"CB4856",14,11.5,"base","9.5",8
"CB4856",14,11.5,"base","11.5",NA
"CB4856",14,11.5,"base","13",NA
"CB4856",14,11.5,"base","15",NA
"CB4856",14,11.5,"base","17",NA
"CB4856",14,11.5,"base","19",NA
"CB4856",14,11.5,"base","22",NA
"CB4856",14,11.5,"base","26.5",NA
"CB4856",14,11.5,"base","30",NA
"CB4856",14,11.5,"base","33.5",NA
"CB4856",15,26.5,"stim","1.5",8
"CB4856",15,26.5,"stim","3",77
"CB4856",15,26.5,"stim","4.5",4
"CB4856",15,26.5,"stim","6",0
"CB4856",15,26.5,"stim","8",2
"CB4856",15,26.5,"stim","9.5",25
"CB4856",15,26.5,"stim","11.5",73
"CB4856",15,26.5,"stim","13",105
"CB4856",15,26.5,"stim","15",58
"CB4856",15,26.5,"stim","17",0
"CB4856",15,26.5,"stim","19",0
"CB4856",15,26.5,"stim","22",0
"CB4856",15,26.5,"stim","26.5",NA
"CB4856",15,26.5,"stim","30",NA
"CB4856",15,26.5,"stim","33.5",NA
"CB4856",15,26.5,"base","1.5",10
"CB4856",15,26.5,"base","3",62
"CB4856",15,26.5,"base","4.5",10
"CB4856",15,26.5,"base","6",21
"CB4856",15,26.5,"base","8",0
"CB4856",15,26.5,"base","9.5",38
"CB4856",15,26.5,"base","11.5",68
"CB4856",15,26.5,"base","13",73
"CB4856",15,26.5,"base","15",7
"CB4856",15,26.5,"base","17",0
"CB4856",15,26.5,"base","19",0
"CB4856",15,26.5,"base","22",58
"CB4856",15,26.5,"base","26.5",NA
"CB4856",15,26.5,"base","30",NA
"CB4856",15,26.5,"base","33.5",NA
"CB4856",16,19,"stim","1.5",122
"CB4856",16,19,"stim","3",157
"CB4856",16,19,"stim","4.5",79
"CB4856",16,19,"stim","6",121
"CB4856",16,19,"stim","8",82
"CB4856",16,19,"stim","9.5",28
"CB4856",16,19,"stim","11.5",37
"CB4856",16,19,"stim","13",23
"CB4856",16,19,"stim","15",6
"CB4856",16,19,"stim","17",7
"CB4856",16,19,"stim","19",NA
"CB4856",16,19,"stim","22",NA
"CB4856",16,19,"stim","26.5",NA
"CB4856",16,19,"stim","30",NA
"CB4856",16,19,"stim","33.5",NA
"CB4856",16,19,"base","1.5",17
"CB4856",16,19,"base","3",13
"CB4856",16,19,"base","4.5",174
"CB4856",16,19,"base","6",52
"CB4856",16,19,"base","8",167
"CB4856",16,19,"base","9.5",44
"CB4856",16,19,"base","11.5",4
"CB4856",16,19,"base","13",21
"CB4856",16,19,"base","15",57
"CB4856",16,19,"base","17",0
"CB4856",16,19,"base","19",NA
"CB4856",16,19,"base","22",NA
"CB4856",16,19,"base","26.5",NA
"CB4856",16,19,"base","30",NA
"CB4856",16,19,"base","33.5",NA
"CB4856",17,22,"stim","1.5",45
"CB4856",17,22,"stim","3",63
"CB4856",17,22,"stim","4.5",89
"CB4856",17,22,"stim","6",58
"CB4856",17,22,"stim","8",143
"CB4856",17,22,"stim","9.5",81
"CB4856",17,22,"stim","11.5",342
"CB4856",17,22,"stim","13",221
"CB4856",17,22,"stim","15",1
"CB4856",17,22,"stim","17",0
"CB4856",17,22,"stim","19",15
"CB4856",17,22,"stim","22",NA
"CB4856",17,22,"stim","26.5",NA
"CB4856",17,22,"stim","30",NA
"CB4856",17,22,"stim","33.5",NA
"CB4856",17,22,"base","1.5",183
"CB4856",17,22,"base","3",11
"CB4856",17,22,"base","4.5",34
"CB4856",17,22,"base","6",117
"CB4856",17,22,"base","8",238
"CB4856",17,22,"base","9.5",207
"CB4856",17,22,"base","11.5",56
"CB4856",17,22,"base","13",52
"CB4856",17,22,"base","15",112
"CB4856",17,22,"base","17",18
"CB4856",17,22,"base","19",29
"CB4856",17,22,"base","22",NA
"CB4856",17,22,"base","26.5",NA
"CB4856",17,22,"base","30",NA
"CB4856",17,22,"base","33.5",NA
"CB4856",18,17,"stim","1.5",21
"CB4856",18,17,"stim","3",44
"CB4856",18,17,"stim","4.5",30
"CB4856",18,17,"stim","6",174
"CB4856",18,17,"stim","8",7
"CB4856",18,17,"stim","9.5",0
"CB4856",18,17,"stim","11.5",4
"CB4856",18,17,"stim","13",34
"CB4856",18,17,"stim","15",8
"CB4856",18,17,"stim","17",NA
"CB4856",18,17,"stim","19",NA
"CB4856",18,17,"stim","22",NA
"CB4856",18,17,"stim","26.5",NA
"CB4856",18,17,"stim","30",NA
"CB4856",18,17,"stim","33.5",NA
"CB4856",18,17,"base","1.5",128
"CB4856",18,17,"base","3",10
"CB4856",18,17,"base","4.5",176
"CB4856",18,17,"base","6",17
"CB4856",18,17,"base","8",27
"CB4856",18,17,"base","9.5",0
"CB4856",18,17,"base","11.5",0
"CB4856",18,17,"base","13",131
"CB4856",18,17,"base","15",14
"CB4856",18,17,"base","17",NA
"CB4856",18,17,"base","19",NA
"CB4856",18,17,"base","22",NA
"CB4856",18,17,"base","26.5",NA
"CB4856",18,17,"base","30",NA
"CB4856",18,17,"base","33.5",NA
"CB4856",19,NA,"stim","1.5",0
"CB4856",19,NA,"stim","3",0
"CB4856",19,NA,"stim","4.5",0
"CB4856",19,NA,"stim","6",0
"CB4856",19,NA,"stim","8",0
"CB4856",19,NA,"stim","9.5",0
"CB4856",19,NA,"stim","11.5",0
"CB4856",19,NA,"stim","13",0
"CB4856",19,NA,"stim","15",0
"CB4856",19,NA,"stim","17",0
"CB4856",19,NA,"stim","19",0
"CB4856",19,NA,"stim","22",0
"CB4856",19,NA,"stim","26.5",0
"CB4856",19,NA,"stim","30",0
"CB4856",19,NA,"stim","33.5",0
"CB4856",19,NA,"base","1.5",0
"CB4856",19,NA,"base","3",0
"CB4856",19,NA,"base","4.5",0
"CB4856",19,NA,"base","6",0
"CB4856",19,NA,"base","8",0
"CB4856",19,NA,"base","9.5",0
"CB4856",19,NA,"base","11.5",0
"CB4856",19,NA,"base","13",0
"CB4856",19,NA,"base","15",0
"CB4856",19,NA,"base","17",0
"CB4856",19,NA,"base","19",0
"CB4856",19,NA,"base","22",0
"CB4856",19,NA,"base","26.5",0
"CB4856",19,NA,"base","30",0
"CB4856",19,NA,"base","33.5",0
"CB4856",20,15,"stim","1.5",98
"CB4856",20,15,"stim","3",23
"CB4856",20,15,"stim","4.5",19
"CB4856",20,15,"stim","6",108
"CB4856",20,15,"stim","8",28
"CB4856",20,15,"stim","9.5",0
"CB4856",20,15,"stim","11.5",63
"CB4856",20,15,"stim","13",0
"CB4856",20,15,"stim","15",NA
"CB4856",20,15,"stim","17",NA
"CB4856",20,15,"stim","19",NA
"CB4856",20,15,"stim","22",NA
"CB4856",20,15,"stim","26.5",NA
"CB4856",20,15,"stim","30",NA
"CB4856",20,15,"stim","33.5",NA
"CB4856",20,15,"base","1.5",17
"CB4856",20,15,"base","3",1
"CB4856",20,15,"base","4.5",0
"CB4856",20,15,"base","6",30
"CB4856",20,15,"base","8",18
"CB4856",20,15,"base","9.5",0
"CB4856",20,15,"base","11.5",0
"CB4856",20,15,"base","13",8
"CB4856",20,15,"base","15",NA
"CB4856",20,15,"base","17",NA
"CB4856",20,15,"base","19",NA
"CB4856",20,15,"base","22",NA
"CB4856",20,15,"base","26.5",NA
"CB4856",20,15,"base","30",NA
"CB4856",20,15,"base","33.5",NA
"CX11314",1,NA,"stim","1.5",0
"CX11314",1,NA,"stim","3",0
"CX11314",1,NA,"stim","4.5",0
"CX11314",1,NA,"stim","6",0
"CX11314",1,NA,"stim","8",0
"CX11314",1,NA,"stim","9.5",0
"CX11314",1,NA,"stim","11.5",0
"CX11314",1,NA,"stim","13",0
"CX11314",1,NA,"stim","15",0
"CX11314",1,NA,"stim","17",0
"CX11314",1,NA,"stim","19",0
"CX11314",1,NA,"stim","22",0
"CX11314",1,NA,"stim","26.5",0
"CX11314",1,NA,"stim","30",0
"CX11314",1,NA,"stim","33.5",0
"CX11314",1,NA,"base","1.5",0
"CX11314",1,NA,"base","3",0
"CX11314",1,NA,"base","4.5",0
"CX11314",1,NA,"base","6",0
"CX11314",1,NA,"base","8",0
"CX11314",1,NA,"base","9.5",0
"CX11314",1,NA,"base","11.5",0
"CX11314",1,NA,"base","13",0
"CX11314",1,NA,"base","15",0
"CX11314",1,NA,"base","17",0
"CX11314",1,NA,"base","19",0
"CX11314",1,NA,"base","22",0
"CX11314",1,NA,"base","26.5",0
"CX11314",1,NA,"base","30",0
"CX11314",1,NA,"base","33.5",0
"CX11314",2,NA,"stim","1.5",0
"CX11314",2,NA,"stim","3",0
"CX11314",2,NA,"stim","4.5",0
"CX11314",2,NA,"stim","6",0
"CX11314",2,NA,"stim","8",0
"CX11314",2,NA,"stim","9.5",0
"CX11314",2,NA,"stim","11.5",0
"CX11314",2,NA,"stim","13",0
"CX11314",2,NA,"stim","15",0
"CX11314",2,NA,"stim","17",0
"CX11314",2,NA,"stim","19",0
"CX11314",2,NA,"stim","22",0
"CX11314",2,NA,"stim","26.5",0
"CX11314",2,NA,"stim","30",0
"CX11314",2,NA,"stim","33.5",0
"CX11314",2,NA,"base","1.5",0
"CX11314",2,NA,"base","3",0
"CX11314",2,NA,"base","4.5",0
"CX11314",2,NA,"base","6",0
"CX11314",2,NA,"base","8",0
"CX11314",2,NA,"base","9.5",0
"CX11314",2,NA,"base","11.5",0
"CX11314",2,NA,"base","13",0
"CX11314",2,NA,"base","15",0
"CX11314",2,NA,"base","17",0
"CX11314",2,NA,"base","19",0
"CX11314",2,NA,"base","22",0
"CX11314",2,NA,"base","26.5",0
"CX11314",2,NA,"base","30",0
"CX11314",2,NA,"base","33.5",0
"CX11314",3,11.5,"stim","1.5",118
"CX11314",3,11.5,"stim","3",77
"CX11314",3,11.5,"stim","4.5",42
"CX11314",3,11.5,"stim","6",36
"CX11314",3,11.5,"stim","8",4
"CX11314",3,11.5,"stim","9.5",184
"CX11314",3,11.5,"stim","11.5",NA
"CX11314",3,11.5,"stim","13",NA
"CX11314",3,11.5,"stim","15",NA
"CX11314",3,11.5,"stim","17",NA
"CX11314",3,11.5,"stim","19",NA
"CX11314",3,11.5,"stim","22",NA
"CX11314",3,11.5,"stim","26.5",NA
"CX11314",3,11.5,"stim","30",NA
"CX11314",3,11.5,"stim","33.5",NA
"CX11314",3,11.5,"base","1.5",124
"CX11314",3,11.5,"base","3",2
"CX11314",3,11.5,"base","4.5",0
"CX11314",3,11.5,"base","6",54
"CX11314",3,11.5,"base","8",0
"CX11314",3,11.5,"base","9.5",12
"CX11314",3,11.5,"base","11.5",NA
"CX11314",3,11.5,"base","13",NA
"CX11314",3,11.5,"base","15",NA
"CX11314",3,11.5,"base","17",NA
"CX11314",3,11.5,"base","19",NA
"CX11314",3,11.5,"base","22",NA
"CX11314",3,11.5,"base","26.5",NA
"CX11314",3,11.5,"base","30",NA
"CX11314",3,11.5,"base","33.5",NA
"CX11314",4,11.5,"stim","1.5",75
"CX11314",4,11.5,"stim","3",89
"CX11314",4,11.5,"stim","4.5",6
"CX11314",4,11.5,"stim","6",97
"CX11314",4,11.5,"stim","8",43
"CX11314",4,11.5,"stim","9.5",10
"CX11314",4,11.5,"stim","11.5",NA
"CX11314",4,11.5,"stim","13",NA
"CX11314",4,11.5,"stim","15",NA
"CX11314",4,11.5,"stim","17",NA
"CX11314",4,11.5,"stim","19",NA
"CX11314",4,11.5,"stim","22",NA
"CX11314",4,11.5,"stim","26.5",NA
"CX11314",4,11.5,"stim","30",NA
"CX11314",4,11.5,"stim","33.5",NA
"CX11314",4,11.5,"base","1.5",181
"CX11314",4,11.5,"base","3",103
"CX11314",4,11.5,"base","4.5",10
"CX11314",4,11.5,"base","6",19
"CX11314",4,11.5,"base","8",52
"CX11314",4,11.5,"base","9.5",29
"CX11314",4,11.5,"base","11.5",NA
"CX11314",4,11.5,"base","13",NA
"CX11314",4,11.5,"base","15",NA
"CX11314",4,11.5,"base","17",NA
"CX11314",4,11.5,"base","19",NA
"CX11314",4,11.5,"base","22",NA
"CX11314",4,11.5,"base","26.5",NA
"CX11314",4,11.5,"base","30",NA
"CX11314",4,11.5,"base","33.5",NA
"CX11314",5,22,"stim","1.5",0
