"strain","rep","life_span","activity_type","time_d","activity"
"CB4856",1,NA,"stim","1.5",0
"CB4856",1,NA,"stim","3",0
"CB4856",1,NA,"stim","4.5",0
"CB4856",1,NA,"stim","6",0
"CB4856",1,NA,"stim","8",0
"CB4856",1,NA,"stim","9.5",0
"CB4856",1,NA,"stim","11.5",0
"CB4856",1,NA,"stim","13",0
"CB4856",1,NA,"stim","15",0
"CB4856",1,NA,"stim","17",0
"CB4856",1,NA,"stim","19",0
"CB4856",1,NA,"stim","22",0
"CB4856",1,NA,"stim","26.5",0
"CB4856",1,NA,"stim","30",0
"CB4856",1,NA,"stim","33.5",0
"CB4856",1,NA,"base","1.5",0
"CB4856",1,NA,"base","3",0
"CB4856",1,NA,"base","4.5",0
"CB4856",1,NA,"base","6",0
"CB4856",1,NA,"base","8",0
"CB4856",1,NA,"base","9.5",0
"CB4856",1,NA,"base","11.5",0
"CB4856",1,NA,"base","13",0
"CB4856",1,NA,"base","15",0
"CB4856",1,NA,"base","17",0
"CB4856",1,NA,"base","19",0
"CB4856",1,NA,"base","22",0
"CB4856",1,NA,"base","26.5",0
"CB4856",1,NA,"base","30",0
"CB4856",1,NA,"base","33.5",0
"CB4856",2,NA,"stim","1.5",0
"CB4856",2,NA,"stim","3",0
"CB4856",2,NA,"stim","4.5",0
"CB4856",2,NA,"stim","6",0
"CB4856",2,NA,"stim","8",0
"CB4856",2,NA,"stim","9.5",0
"CB4856",2,NA,"stim","11.5",0
"CB4856",2,NA,"stim","13",0
"CB4856",2,NA,"stim","15",0
"CB4856",2,NA,"stim","17",0
"CB4856",2,NA,"stim","19",0
"CB4856",2,NA,"stim","22",0
"CB4856",2,NA,"stim","26.5",0
"CB4856",2,NA,"stim","30",0
"CB4856",2,NA,"stim","33.5",0
"CB4856",2,NA,"base","1.5",0
"CB4856",2,NA,"base","3",0
"CB4856",2,NA,"base","4.5",0
"CB4856",2,NA,"base","6",0
"CB4856",2,NA,"base","8",0
"CB4856",2,NA,"base","9.5",0
"CB4856",2,NA,"base","11.5",0
"CB4856",2,NA,"base","13",0
"CB4856",2,NA,"base","15",0
"CB4856",2,NA,"base","17",0
"CB4856",2,NA,"base","19",0
"CB4856",2,NA,"base","22",0
"CB4856",2,NA,"base","26.5",0
"CB4856",2,NA,"base","30",0
"CB4856",2,NA,"base","33.5",0
"CB4856",3,26.5,"stim","1.5",62
"CB4856",3,26.5,"stim","3",110
"CB4856",3,26.5,"stim","4.5",36
"CB4856",3,26.5,"stim","6",286
"CB4856",3,26.5,"stim","8",6
"CB4856",3,26.5,"stim","9.5",276
"CB4856",3,26.5,"stim","11.5",120
"CB4856",3,26.5,"stim","13",40
"CB4856",3,26.5,"stim","15",134
"CB4856",3,26.5,"stim","17",224
"CB4856",3,26.5,"stim","19",0
"CB4856",3,26.5,"stim","22",17
"CB4856",3,26.5,"stim","26.5",NA
"CB4856",3,26.5,"stim","30",NA
"CB4856",3,26.5,"stim","33.5",NA
"CB4856",3,26.5,"base","1.5",107
"CB4856",3,26.5,"base","3",607
"CB4856",3,26.5,"base","4.5",78
"CB4856",3,26.5,"base","6",381
"CB4856",3,26.5,"base","8",43
"CB4856",3,26.5,"base","9.5",128
"CB4856",3,26.5,"base","11.5",201
"CB4856",3,26.5,"base","13",241
"CB4856",3,26.5,"base","15",122
"CB4856",3,26.5,"base","17",20
"CB4856",3,26.5,"base","19",0
"CB4856",3,26.5,"base","22",16
"CB4856",3,26.5,"base","26.5",NA
"CB4856",3,26.5,"base","30",NA
"CB4856",3,26.5,"base","33.5",NA
"CB4856",4,19,"stim","1.5",147
"CB4856",4,19,"stim","3",42
"CB4856",4,19,"stim","4.5",0
"CB4856",4,19,"stim","6",220
"CB4856",4,19,"stim","8",19
"CB4856",4,19,"stim","9.5",219
"CB4856",4,19,"stim","11.5",124
"CB4856",4,19,"stim","13",86
"CB4856",4,19,"stim","15",101
"CB4856",4,19,"stim","17",22
"CB4856",4,19,"stim","19",NA
"CB4856",4,19,"stim","22",NA
"CB4856",4,19,"stim","26.5",NA
"CB4856",4,19,"stim","30",NA
"CB4856",4,19,"stim","33.5",NA
"CB4856",4,19,"base","1.5",0
"CB4856",4,19,"base","3",0
"CB4856",4,19,"base","4.5",0
"CB4856",4,19,"base","6",26
"CB4856",4,19,"base","8",57
