,Lifespan,Stimulated_Activity,,,,,,,,,,,,,,,,Baseline_Activity,,,,,,,,,,,,,,,
Time_days,-1,1.5,3.5,5,6.5,8.5,10,12,14,15,16,18,21,24,26,29.5,33,1.5,3.5,5,6.5,8.5,10,12,14,15,16,18,21,24,26,29.5,33
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,16,69,50,113,45,32,103,196,70,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,6,19,142,16,106,104,1,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,18,94,90,211,139,162,97,92,134,64,57,NaN,NaN,NaN,NaN,NaN,NaN,14,63,103,120,191,180,145,65,42,19,NaN,NaN,NaN,NaN,NaN,NaN
N2,21,104,120,234,188,22,170,20,114,0,1,6,NaN,NaN,NaN,NaN,NaN,19,36,288,93,216,211,0,185,6,0,4,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,16,279,189,304,157,103,44,52,57,208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183,70,218,251,159,140,83,43,123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,21,245,113,194,150,117,105,165,26,108,0,15,NaN,NaN,NaN,NaN,NaN,147,166,228,242,169,88,193,12,90,0,0,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,18,132,150,205,183,113,111,142,8,4,49,NaN,NaN,NaN,NaN,NaN,NaN,113,156,251,267,117,134,95,180,19,10,NaN,NaN,NaN,NaN,NaN,NaN
N2,18,30,0,101,0,14,0,18,0,0,9,NaN,NaN,NaN,NaN,NaN,NaN,45,0,88,0,40,80,0,36,0,0,NaN,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
