"strain","tech_rep","bio_rep","rep","life_span","activity_type","time_d","activity"
"CB4856",1,5,1,14,"stim","4",146
"CB4856",1,5,1,14,"stim","4.5",240
"CB4856",1,5,1,14,"stim","5",271
"CB4856",1,5,1,14,"stim","5.5",179
"CB4856",1,5,1,14,"stim","6",238
"CB4856",1,5,1,14,"stim","6.5",56
"CB4856",1,5,1,14,"stim","7",116
"CB4856",1,5,1,14,"stim","7.5",28
"CB4856",1,5,1,14,"stim","8",73
"CB4856",1,5,1,14,"stim","8.5",288
"CB4856",1,5,1,14,"stim","9",0
"CB4856",1,5,1,14,"stim","9.5",0
"CB4856",1,5,1,14,"stim","10",0
"CB4856",1,5,1,14,"stim","10.5",0
"CB4856",1,5,1,14,"stim","11",60
"CB4856",1,5,1,14,"stim","11.5",0
"CB4856",1,5,1,14,"stim","12",0
"CB4856",1,5,1,14,"stim","12.5",0
"CB4856",1,5,1,14,"stim","13",0
"CB4856",1,5,1,14,"stim","13.5",14
"CB4856",1,5,1,14,"stim","14",NA
"CB4856",1,5,1,14,"stim","14.5",NA
"CB4856",1,5,1,14,"stim","15",NA
"CB4856",1,5,1,14,"stim","15.5",NA
"CB4856",1,5,1,14,"stim","16",NA
"CB4856",1,5,1,14,"stim","16.5",NA
"CB4856",1,5,1,14,"stim","17",NA
"CB4856",1,5,1,14,"stim","17.5",NA
"CB4856",1,5,1,14,"stim","18",NA
"CB4856",1,5,1,14,"stim","18.5",NA
"CB4856",1,5,1,14,"stim","19",NA
"CB4856",1,5,1,14,"stim","19.5",NA
"CB4856",1,5,1,14,"stim","20",NA
"CB4856",1,5,1,14,"stim","20.5",NA
"CB4856",1,5,1,14,"stim","21",NA
"CB4856",1,5,1,14,"stim","21.5",NA
"CB4856",1,5,1,14,"stim","22",NA
"CB4856",1,5,1,14,"stim","22.5",NA
"CB4856",1,5,1,14,"stim","23",NA
"CB4856",1,5,1,14,"stim","23.5",NA
"CB4856",1,5,1,14,"stim","24",NA
"CB4856",1,5,1,14,"base","4",17
"CB4856",1,5,1,14,"base","4.5",120
"CB4856",1,5,1,14,"base","5",0
"CB4856",1,5,1,14,"base","5.5",0
"CB4856",1,5,1,14,"base","6",24
"CB4856",1,5,1,14,"base","6.5",0
"CB4856",1,5,1,14,"base","7",0
"CB4856",1,5,1,14,"base","7.5",0
"CB4856",1,5,1,14,"base","8",159
"CB4856",1,5,1,14,"base","8.5",20
"CB4856",1,5,1,14,"base","9",0
"CB4856",1,5,1,14,"base","9.5",0
"CB4856",1,5,1,14,"base","10",0
"CB4856",1,5,1,14,"base","10.5",0
"CB4856",1,5,1,14,"base","11",0
"CB4856",1,5,1,14,"base","11.5",0
"CB4856",1,5,1,14,"base","12",0
"CB4856",1,5,1,14,"base","12.5",0
"CB4856",1,5,1,14,"base","13",0
"CB4856",1,5,1,14,"base","13.5",0
"CB4856",1,5,1,14,"base","14",NA
"CB4856",1,5,1,14,"base","14.5",NA
"CB4856",1,5,1,14,"base","15",NA
"CB4856",1,5,1,14,"base","15.5",NA
"CB4856",1,5,1,14,"base","16",NA
"CB4856",1,5,1,14,"base","16.5",NA
"CB4856",1,5,1,14,"base","17",NA
"CB4856",1,5,1,14,"base","17.5",NA
"CB4856",1,5,1,14,"base","18",NA
"CB4856",1,5,1,14,"base","18.5",NA
"CB4856",1,5,1,14,"base","19",NA
"CB4856",1,5,1,14,"base","19.5",NA
"CB4856",1,5,1,14,"base","20",NA
"CB4856",1,5,1,14,"base","20.5",NA
"CB4856",1,5,1,14,"base","21",NA
"CB4856",1,5,1,14,"base","21.5",NA
"CB4856",1,5,1,14,"base","22",NA
"CB4856",1,5,1,14,"base","22.5",NA
"CB4856",1,5,1,14,"base","23",NA
"CB4856",1,5,1,14,"base","23.5",NA
"CB4856",1,5,1,14,"base","24",NA
"CB4856",1,5,2,9.5,"stim","4",9
"CB4856",1,5,2,9.5,"stim","4.5",136
"CB4856",1,5,2,9.5,"stim","5",4
"CB4856",1,5,2,9.5,"stim","5.5",37
"CB4856",1,5,2,9.5,"stim","6",3
"CB4856",1,5,2,9.5,"stim","6.5",112
"CB4856",1,5,2,9.5,"stim","7",162
"CB4856",1,5,2,9.5,"stim","7.5",0
"CB4856",1,5,2,9.5,"stim","8",39
"CB4856",1,5,2,9.5,"stim","8.5",22
"CB4856",1,5,2,9.5,"stim","9",50
"CB4856",1,5,2,9.5,"stim","9.5",NA
"CB4856",1,5,2,9.5,"stim","10",NA
"CB4856",1,5,2,9.5,"stim","10.5",NA
"CB4856",1,5,2,9.5,"stim","11",NA
"CB4856",1,5,2,9.5,"stim","11.5",NA
"CB4856",1,5,2,9.5,"stim","12",NA
"CB4856",1,5,2,9.5,"stim","12.5",NA
"CB4856",1,5,2,9.5,"stim","13",NA
"CB4856",1,5,2,9.5,"stim","13.5",NA
"CB4856",1,5,2,9.5,"stim","14",NA
"CB4856",1,5,2,9.5,"stim","14.5",NA
"CB4856",1,5,2,9.5,"stim","15",NA
"CB4856",1,5,2,9.5,"stim","15.5",NA
"CB4856",1,5,2,9.5,"stim","16",NA
"CB4856",1,5,2,9.5,"stim","16.5",NA
"CB4856",1,5,2,9.5,"stim","17",NA
"CB4856",1,5,2,9.5,"stim","17.5",NA
"CB4856",1,5,2,9.5,"stim","18",NA
"CB4856",1,5,2,9.5,"stim","18.5",NA
"CB4856",1,5,2,9.5,"stim","19",NA
"CB4856",1,5,2,9.5,"stim","19.5",NA
"CB4856",1,5,2,9.5,"stim","20",NA
"CB4856",1,5,2,9.5,"stim","20.5",NA
"CB4856",1,5,2,9.5,"stim","21",NA
"CB4856",1,5,2,9.5,"stim","21.5",NA
"CB4856",1,5,2,9.5,"stim","22",NA
"CB4856",1,5,2,9.5,"stim","22.5",NA
"CB4856",1,5,2,9.5,"stim","23",NA
"CB4856",1,5,2,9.5,"stim","23.5",NA
"CB4856",1,5,2,9.5,"stim","24",NA
"CB4856",1,5,2,9.5,"base","4",25
"CB4856",1,5,2,9.5,"base","4.5",32
"CB4856",1,5,2,9.5,"base","5",91
"CB4856",1,5,2,9.5,"base","5.5",85
"CB4856",1,5,2,9.5,"base","6",0
"CB4856",1,5,2,9.5,"base","6.5",5
"CB4856",1,5,2,9.5,"base","7",0
"CB4856",1,5,2,9.5,"base","7.5",0
"CB4856",1,5,2,9.5,"base","8",29
"CB4856",1,5,2,9.5,"base","8.5",30
"CB4856",1,5,2,9.5,"base","9",0
"CB4856",1,5,2,9.5,"base","9.5",NA
"CB4856",1,5,2,9.5,"base","10",NA
"CB4856",1,5,2,9.5,"base","10.5",NA
"CB4856",1,5,2,9.5,"base","11",NA
"CB4856",1,5,2,9.5,"base","11.5",NA
"CB4856",1,5,2,9.5,"base","12",NA
"CB4856",1,5,2,9.5,"base","12.5",NA
"CB4856",1,5,2,9.5,"base","13",NA
"CB4856",1,5,2,9.5,"base","13.5",NA
"CB4856",1,5,2,9.5,"base","14",NA
"CB4856",1,5,2,9.5,"base","14.5",NA
"CB4856",1,5,2,9.5,"base","15",NA
"CB4856",1,5,2,9.5,"base","15.5",NA
"CB4856",1,5,2,9.5,"base","16",NA
"CB4856",1,5,2,9.5,"base","16.5",NA
"CB4856",1,5,2,9.5,"base","17",NA
"CB4856",1,5,2,9.5,"base","17.5",NA
"CB4856",1,5,2,9.5,"base","18",NA
"CB4856",1,5,2,9.5,"base","18.5",NA
"CB4856",1,5,2,9.5,"base","19",NA
"CB4856",1,5,2,9.5,"base","19.5",NA
"CB4856",1,5,2,9.5,"base","20",NA
"CB4856",1,5,2,9.5,"base","20.5",NA
"CB4856",1,5,2,9.5,"base","21",NA
"CB4856",1,5,2,9.5,"base","21.5",NA
"CB4856",1,5,2,9.5,"base","22",NA
"CB4856",1,5,2,9.5,"base","22.5",NA
"CB4856",1,5,2,9.5,"base","23",NA
"CB4856",1,5,2,9.5,"base","23.5",NA
"CB4856",1,5,2,9.5,"base","24",NA
"CB4856",1,5,3,13,"stim","4",135
"CB4856",1,5,3,13,"stim","4.5",137
"CB4856",1,5,3,13,"stim","5",181
"CB4856",1,5,3,13,"stim","5.5",124
"CB4856",1,5,3,13,"stim","6",137
"CB4856",1,5,3,13,"stim","6.5",8
"CB4856",1,5,3,13,"stim","7",148
"CB4856",1,5,3,13,"stim","7.5",2
"CB4856",1,5,3,13,"stim","8",286
"CB4856",1,5,3,13,"stim","8.5",240
"CB4856",1,5,3,13,"stim","9",35
"CB4856",1,5,3,13,"stim","9.5",37
"CB4856",1,5,3,13,"stim","10",96
"CB4856",1,5,3,13,"stim","10.5",0
"CB4856",1,5,3,13,"stim","11",0
"CB4856",1,5,3,13,"stim","11.5",37
"CB4856",1,5,3,13,"stim","12",0
"CB4856",1,5,3,13,"stim","12.5",36
"CB4856",1,5,3,13,"stim","13",NA
"CB4856",1,5,3,13,"stim","13.5",NA
"CB4856",1,5,3,13,"stim","14",NA
"CB4856",1,5,3,13,"stim","14.5",NA
"CB4856",1,5,3,13,"stim","15",NA
"CB4856",1,5,3,13,"stim","15.5",NA
"CB4856",1,5,3,13,"stim","16",NA
"CB4856",1,5,3,13,"stim","16.5",NA
"CB4856",1,5,3,13,"stim","17",NA
"CB4856",1,5,3,13,"stim","17.5",NA
"CB4856",1,5,3,13,"stim","18",NA
"CB4856",1,5,3,13,"stim","18.5",NA
"CB4856",1,5,3,13,"stim","19",NA
"CB4856",1,5,3,13,"stim","19.5",NA
"CB4856",1,5,3,13,"stim","20",NA
"CB4856",1,5,3,13,"stim","20.5",NA
"CB4856",1,5,3,13,"stim","21",NA
"CB4856",1,5,3,13,"stim","21.5",NA
"CB4856",1,5,3,13,"stim","22",NA
"CB4856",1,5,3,13,"stim","22.5",NA
"CB4856",1,5,3,13,"stim","23",NA
"CB4856",1,5,3,13,"stim","23.5",NA
"CB4856",1,5,3,13,"stim","24",NA
