"strain","tech_rep","bio_rep","rep","life_span","activity_type","time_d","activity"
"CB4856",2,4,1,9.5,"stim","7",0
"CB4856",2,4,1,9.5,"stim","7.5",145
"CB4856",2,4,1,9.5,"stim","8",90
"CB4856",2,4,1,9.5,"stim","8.5",0
"CB4856",2,4,1,9.5,"stim","9",9
"CB4856",2,4,1,9.5,"stim","9.5",NA
"CB4856",2,4,1,9.5,"stim","10",NA
"CB4856",2,4,1,9.5,"stim","10.5",NA
"CB4856",2,4,1,9.5,"stim","11",NA
"CB4856",2,4,1,9.5,"stim","11.5",NA
"CB4856",2,4,1,9.5,"stim","12",NA
"CB4856",2,4,1,9.5,"stim","12.5",NA
"CB4856",2,4,1,9.5,"stim","13",NA
"CB4856",2,4,1,9.5,"stim","13.5",NA
"CB4856",2,4,1,9.5,"stim","14",NA
"CB4856",2,4,1,9.5,"stim","14.5",NA
"CB4856",2,4,1,9.5,"stim","15",NA
"CB4856",2,4,1,9.5,"stim","15.5",NA
"CB4856",2,4,1,9.5,"stim","16",NA
"CB4856",2,4,1,9.5,"stim","16.5",NA
"CB4856",2,4,1,9.5,"stim","17",NA
"CB4856",2,4,1,9.5,"stim","17.5",NA
"CB4856",2,4,1,9.5,"stim","18",NA
"CB4856",2,4,1,9.5,"stim","18.5",NA
"CB4856",2,4,1,9.5,"stim","19",NA
"CB4856",2,4,1,9.5,"stim","19.5",NA
"CB4856",2,4,1,9.5,"stim","20",NA
"CB4856",2,4,1,9.5,"stim","20.5",NA
"CB4856",2,4,1,9.5,"stim","21",NA
"CB4856",2,4,1,9.5,"stim","21.5",NA
"CB4856",2,4,1,9.5,"stim","22",NA
"CB4856",2,4,1,9.5,"stim","22.5",NA
"CB4856",2,4,1,9.5,"stim","23",NA
"CB4856",2,4,1,9.5,"stim","23.5",NA
"CB4856",2,4,1,9.5,"stim","24",NA
"CB4856",2,4,1,9.5,"stim","24.5",NA
"CB4856",2,4,1,9.5,"base","7",18
"CB4856",2,4,1,9.5,"base","7.5",40
"CB4856",2,4,1,9.5,"base","8",49
"CB4856",2,4,1,9.5,"base","8.5",0
"CB4856",2,4,1,9.5,"base","9",64
"CB4856",2,4,1,9.5,"base","9.5",NA
"CB4856",2,4,1,9.5,"base","10",NA
"CB4856",2,4,1,9.5,"base","10.5",NA
"CB4856",2,4,1,9.5,"base","11",NA
"CB4856",2,4,1,9.5,"base","11.5",NA
"CB4856",2,4,1,9.5,"base","12",NA
"CB4856",2,4,1,9.5,"base","12.5",NA
"CB4856",2,4,1,9.5,"base","13",NA
"CB4856",2,4,1,9.5,"base","13.5",NA
"CB4856",2,4,1,9.5,"base","14",NA
"CB4856",2,4,1,9.5,"base","14.5",NA
"CB4856",2,4,1,9.5,"base","15",NA
"CB4856",2,4,1,9.5,"base","15.5",NA
"CB4856",2,4,1,9.5,"base","16",NA
"CB4856",2,4,1,9.5,"base","16.5",NA
"CB4856",2,4,1,9.5,"base","17",NA
"CB4856",2,4,1,9.5,"base","17.5",NA
"CB4856",2,4,1,9.5,"base","18",NA
"CB4856",2,4,1,9.5,"base","18.5",NA
"CB4856",2,4,1,9.5,"base","19",NA
"CB4856",2,4,1,9.5,"base","19.5",NA
"CB4856",2,4,1,9.5,"base","20",NA
"CB4856",2,4,1,9.5,"base","20.5",NA
"CB4856",2,4,1,9.5,"base","21",NA
"CB4856",2,4,1,9.5,"base","21.5",NA
"CB4856",2,4,1,9.5,"base","22",NA
"CB4856",2,4,1,9.5,"base","22.5",NA
"CB4856",2,4,1,9.5,"base","23",NA
"CB4856",2,4,1,9.5,"base","23.5",NA
"CB4856",2,4,1,9.5,"base","24",NA
"CB4856",2,4,1,9.5,"base","24.5",NA
"CB4856",2,4,2,NA,"stim","7",0
"CB4856",2,4,2,NA,"stim","7.5",0
"CB4856",2,4,2,NA,"stim","8",3
"CB4856",2,4,2,NA,"stim","8.5",0
"CB4856",2,4,2,NA,"stim","9",0
"CB4856",2,4,2,NA,"stim","9.5",3
"CB4856",2,4,2,NA,"stim","10",0
"CB4856",2,4,2,NA,"stim","10.5",0
"CB4856",2,4,2,NA,"stim","11",0
"CB4856",2,4,2,NA,"stim","11.5",0
"CB4856",2,4,2,NA,"stim","12",0
"CB4856",2,4,2,NA,"stim","12.5",0
"CB4856",2,4,2,NA,"stim","13",0
"CB4856",2,4,2,NA,"stim","13.5",0
"CB4856",2,4,2,NA,"stim","14",0
"CB4856",2,4,2,NA,"stim","14.5",0
"CB4856",2,4,2,NA,"stim","15",0
"CB4856",2,4,2,NA,"stim","15.5",0
"CB4856",2,4,2,NA,"stim","16",0
"CB4856",2,4,2,NA,"stim","16.5",0
"CB4856",2,4,2,NA,"stim","17",0
"CB4856",2,4,2,NA,"stim","17.5",0
"CB4856",2,4,2,NA,"stim","18",0
"CB4856",2,4,2,NA,"stim","18.5",0
"CB4856",2,4,2,NA,"stim","19",0
"CB4856",2,4,2,NA,"stim","19.5",0
"CB4856",2,4,2,NA,"stim","20",0
"CB4856",2,4,2,NA,"stim","20.5",1
"CB4856",2,4,2,NA,"stim","21",0
"CB4856",2,4,2,NA,"stim","21.5",0
"CB4856",2,4,2,NA,"stim","22",0
"CB4856",2,4,2,NA,"stim","22.5",0
"CB4856",2,4,2,NA,"stim","23",0
"CB4856",2,4,2,NA,"stim","23.5",0
"CB4856",2,4,2,NA,"stim","24",0
"CB4856",2,4,2,NA,"stim","24.5",0
"CB4856",2,4,2,NA,"base","7",0
"CB4856",2,4,2,NA,"base","7.5",0
"CB4856",2,4,2,NA,"base","8",0
"CB4856",2,4,2,NA,"base","8.5",0
"CB4856",2,4,2,NA,"base","9",0
"CB4856",2,4,2,NA,"base","9.5",8
"CB4856",2,4,2,NA,"base","10",0
"CB4856",2,4,2,NA,"base","10.5",4
"CB4856",2,4,2,NA,"base","11",0
"CB4856",2,4,2,NA,"base","11.5",0
"CB4856",2,4,2,NA,"base","12",0
"CB4856",2,4,2,NA,"base","12.5",0
"CB4856",2,4,2,NA,"base","13",0
"CB4856",2,4,2,NA,"base","13.5",0
"CB4856",2,4,2,NA,"base","14",0
"CB4856",2,4,2,NA,"base","14.5",0
"CB4856",2,4,2,NA,"base","15",0
"CB4856",2,4,2,NA,"base","15.5",0
"CB4856",2,4,2,NA,"base","16",0
"CB4856",2,4,2,NA,"base","16.5",0
"CB4856",2,4,2,NA,"base","17",0
"CB4856",2,4,2,NA,"base","17.5",0
"CB4856",2,4,2,NA,"base","18",0
"CB4856",2,4,2,NA,"base","18.5",0
"CB4856",2,4,2,NA,"base","19",0
"CB4856",2,4,2,NA,"base","19.5",0
"CB4856",2,4,2,NA,"base","20",0
"CB4856",2,4,2,NA,"base","20.5",0
"CB4856",2,4,2,NA,"base","21",0
"CB4856",2,4,2,NA,"base","21.5",0
"CB4856",2,4,2,NA,"base","22",0
"CB4856",2,4,2,NA,"base","22.5",0
"CB4856",2,4,2,NA,"base","23",0
"CB4856",2,4,2,NA,"base","23.5",0
"CB4856",2,4,2,NA,"base","24",0
"CB4856",2,4,2,NA,"base","24.5",0
"CB4856",2,4,3,NA,"stim","7",0
"CB4856",2,4,3,NA,"stim","7.5",0
"CB4856",2,4,3,NA,"stim","8",0
"CB4856",2,4,3,NA,"stim","8.5",0
"CB4856",2,4,3,NA,"stim","9",0
"CB4856",2,4,3,NA,"stim","9.5",0
"CB4856",2,4,3,NA,"stim","10",0
"CB4856",2,4,3,NA,"stim","10.5",0
"CB4856",2,4,3,NA,"stim","11",0
"CB4856",2,4,3,NA,"stim","11.5",0
"CB4856",2,4,3,NA,"stim","12",0
"CB4856",2,4,3,NA,"stim","12.5",0
"CB4856",2,4,3,NA,"stim","13",0
"CB4856",2,4,3,NA,"stim","13.5",0
"CB4856",2,4,3,NA,"stim","14",0
"CB4856",2,4,3,NA,"stim","14.5",0
"CB4856",2,4,3,NA,"stim","15",0
"CB4856",2,4,3,NA,"stim","15.5",0
"CB4856",2,4,3,NA,"stim","16",0
"CB4856",2,4,3,NA,"stim","16.5",0
"CB4856",2,4,3,NA,"stim","17",0
"CB4856",2,4,3,NA,"stim","17.5",0
"CB4856",2,4,3,NA,"stim","18",0
"CB4856",2,4,3,NA,"stim","18.5",0
"CB4856",2,4,3,NA,"stim","19",0
"CB4856",2,4,3,NA,"stim","19.5",0
"CB4856",2,4,3,NA,"stim","20",0
"CB4856",2,4,3,NA,"stim","20.5",0
