"strain","tech_rep","bio_rep","rep","life_span","activity_type","time_d","activity"
"CB4856",2,2,1,21,"stim","1.5",89
"CB4856",2,2,1,21,"stim","3.5",95
"CB4856",2,2,1,21,"stim","5",138
"CB4856",2,2,1,21,"stim","6.5",206
"CB4856",2,2,1,21,"stim","8.5",48
"CB4856",2,2,1,21,"stim","10",0
"CB4856",2,2,1,21,"stim","12",7
"CB4856",2,2,1,21,"stim","14",0
"CB4856",2,2,1,21,"stim","15",57
"CB4856",2,2,1,21,"stim","16",21
"CB4856",2,2,1,21,"stim","18",124
"CB4856",2,2,1,21,"stim","21",NA
"CB4856",2,2,1,21,"stim","24",NA
"CB4856",2,2,1,21,"stim","26",NA
"CB4856",2,2,1,21,"stim","29.5",NA
"CB4856",2,2,1,21,"stim","33",NA
"CB4856",2,2,1,21,"base","1.5",34
"CB4856",2,2,1,21,"base","3.5",58
"CB4856",2,2,1,21,"base","5",14
"CB4856",2,2,1,21,"base","6.5",0
"CB4856",2,2,1,21,"base","8.5",0
"CB4856",2,2,1,21,"base","10",94
"CB4856",2,2,1,21,"base","12",18
"CB4856",2,2,1,21,"base","14",0
"CB4856",2,2,1,21,"base","15",1025
"CB4856",2,2,1,21,"base","16",746
"CB4856",2,2,1,21,"base","18",103
"CB4856",2,2,1,21,"base","21",NA
"CB4856",2,2,1,21,"base","24",NA
"CB4856",2,2,1,21,"base","26",NA
"CB4856",2,2,1,21,"base","29.5",NA
"CB4856",2,2,1,21,"base","33",NA
"CB4856",2,2,2,18,"stim","1.5",89
"CB4856",2,2,2,18,"stim","3.5",148
"CB4856",2,2,2,18,"stim","5",93
"CB4856",2,2,2,18,"stim","6.5",94
"CB4856",2,2,2,18,"stim","8.5",87
"CB4856",2,2,2,18,"stim","10",56
"CB4856",2,2,2,18,"stim","12",38
"CB4856",2,2,2,18,"stim","14",0
"CB4856",2,2,2,18,"stim","15",0
"CB4856",2,2,2,18,"stim","16",0
"CB4856",2,2,2,18,"stim","18",NA
"CB4856",2,2,2,18,"stim","21",NA
"CB4856",2,2,2,18,"stim","24",NA
"CB4856",2,2,2,18,"stim","26",NA
"CB4856",2,2,2,18,"stim","29.5",NA
"CB4856",2,2,2,18,"stim","33",NA
"CB4856",2,2,2,18,"base","1.5",107
"CB4856",2,2,2,18,"base","3.5",103
"CB4856",2,2,2,18,"base","5",52
"CB4856",2,2,2,18,"base","6.5",0
"CB4856",2,2,2,18,"base","8.5",0
"CB4856",2,2,2,18,"base","10",48
"CB4856",2,2,2,18,"base","12",50
"CB4856",2,2,2,18,"base","14",0
"CB4856",2,2,2,18,"base","15",373
"CB4856",2,2,2,18,"base","16",218
"CB4856",2,2,2,18,"base","18",NA
"CB4856",2,2,2,18,"base","21",NA
"CB4856",2,2,2,18,"base","24",NA
"CB4856",2,2,2,18,"base","26",NA
"CB4856",2,2,2,18,"base","29.5",NA
"CB4856",2,2,2,18,"base","33",NA
"CB4856",2,2,3,18,"stim","1.5",0
"CB4856",2,2,3,18,"stim","3.5",70
"CB4856",2,2,3,18,"stim","5",17
"CB4856",2,2,3,18,"stim","6.5",59
"CB4856",2,2,3,18,"stim","8.5",27
"CB4856",2,2,3,18,"stim","10",0
"CB4856",2,2,3,18,"stim","12",0
"CB4856",2,2,3,18,"stim","14",0
"CB4856",2,2,3,18,"stim","15",12
"CB4856",2,2,3,18,"stim","16",46
"CB4856",2,2,3,18,"stim","18",NA
"CB4856",2,2,3,18,"stim","21",NA
"CB4856",2,2,3,18,"stim","24",NA
"CB4856",2,2,3,18,"stim","26",NA
"CB4856",2,2,3,18,"stim","29.5",NA
"CB4856",2,2,3,18,"stim","33",NA
"CB4856",2,2,3,18,"base","1.5",0
"CB4856",2,2,3,18,"base","3.5",0
"CB4856",2,2,3,18,"base","5",204
"CB4856",2,2,3,18,"base","6.5",68
"CB4856",2,2,3,18,"base","8.5",6
"CB4856",2,2,3,18,"base","10",0
"CB4856",2,2,3,18,"base","12",0
"CB4856",2,2,3,18,"base","14",0
"CB4856",2,2,3,18,"base","15",5
"CB4856",2,2,3,18,"base","16",0
"CB4856",2,2,3,18,"base","18",NA
"CB4856",2,2,3,18,"base","21",NA
"CB4856",2,2,3,18,"base","24",NA
"CB4856",2,2,3,18,"base","26",NA
