plateNum,plateName,wellNum,group,T89,T97,TotAct
10,WI_18,10,censor,nan,nan,-0.000187607
10,WI_18,11,censor,23.51,26.61,4.46E-05
10,WI_18,12,censor,29.65,31.11,0.002490882
10,WI_18,13,censor,15.51,28.65,0.000449531
10,WI_18,14,censor,28.11,30.65,0.000134175
10,WI_18,15,censor,7.51,12.51,0.100126403
10,WI_18,17,censor,23.05,23.05,0.010561086
10,WI_18,18,censor,8.05,10.05,0.074814258
10,WI_18,19,censor,28.65,29.65,0.00026526
10,WI_18,21,censor,15.51,31.65,0.000978109
10,WI_18,22,censor,23.05,23.05,0.056014442
10,WI_18,23,censor,8.51,13.05,0.390877041
10,WI_18,24,censor ,5.51,6.51,0.388559558
10,WI_18,16,N2,7.05,9.51,0.404174424
10,WI_18,20,N2,7.05,9.51,0.40886531
11,WI_19,1,censor,11.05,14.05,0.447630628
11,WI_19,2,censor,nan,nan,-5.17E-06
11,WI_19,3,censor,nan,nan,1.74E-06
11,WI_19,4,censor,32.14,33.14,0.007263739
11,WI_19,5,censor,33.14,33.14,0.010099901
11,WI_19,6,censor,18.51,23.51,0.676680307
11,WI_19,7,censor,nan,nan,-5.18E-05
11,WI_19,8,censor,nan,nan,-1.49E-05
11,WI_19,9,censor,30.14,32.68,0.000875059
11,WI_19,10,censor,nan,nan,-0.000174517
11,WI_19,11,censor,nan,nan,-7.96E-05
11,WI_19,12,censor,32.68,33.14,0.000845917
11,WI_19,13,censor,33.14,33.14,0.000196469
11,WI_19,14,censor,nan,nan,-0.000208791
11,WI_19,15,censor,30.14,32.14,0.13240392
11,WI_19,16,censor,29.68,30.68,0.000156217
11,WI_19,17,censor,nan,nan,5.12E-06
11,WI_19,18,censor,nan,nan,-9.13E-05
11,WI_19,19,censor,nan,nan,-4.44E-05
11,WI_19,20,censor,7.51,10.05,0.142220252
11,WI_19,21,censor,3.51,3.51,9.70E-05
11,WI_19,22,censor,0.47,0.47,3.09E-05
11,WI_19,23,censor,10.05,12.05,0.08657661
11,WI_19,24,censor ,11.05,14.05,0.383320605
12,WI_2,1,censor,10.49,15.03,0.41338835
12,WI_2,2,censor,4.49,5.49,0.040585234
12,WI_2,3,censor,4.49,5.49,0.120372376
12,WI_2,4,censor,6.49,11.03,0.278879901
12,WI_2,5,censor,7.49,11.49,0.349314617
12,WI_2,6,censor,10.03,12.03,0.280702962
12,WI_2,7,censor,7.49,33.1,0.27737428
12,WI_2,8,censor,6.02,6.49,0.015760384
12,WI_2,9,censor,7.49,12.49,0.2124805
12,WI_2,10,censor,7.49,9.49,0.180628223
12,WI_2,11,censor,6.49,8.49,0.187511459
12,WI_2,12,censor,nan,nan,-0.00372897
12,WI_2,13,censor,9.02,11.03,0.463043268
12,WI_2,14,censor,6.02,7.49,0.292114944
12,WI_2,15,censor,8.49,27.64,0.139321854
12,WI_2,16,censor,nan,nan,-0.011980359
12,WI_2,17,censor,12.03,28.1,0.379491814
12,WI_2,18,censor,nan,nan,-0.00527558
12,WI_2,19,censor,5.03,5.49,0.08409493
12,WI_2,20,censor,nan,nan,-0.007229274
12,WI_2,21,censor,8.49,10.03,1.448294093
12,WI_2,22,censor,6.02,6.49,0.086736832
12,WI_2,23,censor,6.49,7.49,0.178823228
12,WI_2,24,censor,6.02,6.49,0.24369642
13,WI_20,1,censor,nan,nan,-8.87E-05
13,WI_20,2,censor,1.01,1.01,2.11E-06
13,WI_20,3,censor,nan,nan,2.14E-06
13,WI_20,4,censor,nan,nan,-2.64E-05
13,WI_20,5,censor,nan,nan,-2.59E-05
13,WI_20,6,censor,8.47,9.47,0.001174989
13,WI_20,7,censor,13.47,14.01,6.27E-05
13,WI_20,8,censor,4.01,6.47,0.049225458
13,WI_20,9,censor,9.47,9.47,0.000215927
13,WI_20,10,censor,nan,nan,-2.75E-05
13,WI_20,11,censor,nan,nan,-1.79E-06
13,WI_20,12,censor,1.47,2.01,0.005059208
13,WI_20,13,censor,27.09,27.09,0.000201407
13,WI_20,14,censor,nan,nan,1.06E-05
13,WI_20,15,censor,nan,nan,7.07E-06
13,WI_20,16,censor,nan,nan,-8.76E-06
13,WI_20,17,censor,nan,nan,-1.04E-05
13,WI_20,18,censor,nan,nan,-3.17E-05
13,WI_20,19,censor,24.64,24.64,6.57E-05
13,WI_20,20,censor,27.09,27.09,0.000245248
13,WI_20,21,censor,6.47,8.47,0.143135123
13,WI_20,22,censor,nan,nan,-9.34E-05
13,WI_20,23,censor,nan,nan,-1.08E-05
13,WI_20,24,censor ,3,5.47,0.129694247
14,WI_3,1,censor,nan,nan,-8.53E-06
14,WI_3,2,censor,5.48,6.48,0.143541049
14,WI_3,3,censor,5.48,7.02,0.148022
14,WI_3,4,censor,6.02,7.48,0.124753644
14,WI_3,12,censor,4.48,7.02,0.075483358
14,WI_3,16,censor,17.16,20.48,0.000150306
14,WI_3,18,censor,5.48,8.02,0.083931919
14,WI_3,20,censor,17.16,18.02,0.000136567
14,WI_3,22,censor,4.48,6.02,0.234980514
14,WI_3,9,EG4724,6.02,9.48,0.063468885
14,WI_3,10,JU1212,5.48,8.02,0.136628593
14,WI_3,8,JU1491,5.02,7.02,0.139508113
14,WI_3,21,JU2513,4.02,5.02,0.1730481
14,WI_3,5,JU2526,7.02,10.02,0.830743032
14,WI_3,6,JU397,5.02,7.02,0.151619814
14,WI_3,17,JU561,5.02,7.02,0.10808216
14,WI_3,23,JU642,6.02,7.48,0.201922769
14,WI_3,15,N2_4,5.48,7.02,0.124031484
14,WI_3,24,N2_4,6.48,8.48,0.392894344
14,WI_3,11,NIC231,5.02,9.48,0.151010111
14,WI_3,7,NIC529,5.02,7.02,0.017836522
14,WI_3,14,QX1791,6.48,8.48,0.054451269
14,WI_3,19,QX1792,5.48,7.02,0.102188745
14,WI_3,13,WN2002,6.02,8.48,0.114648012
15,WI_4,1,censor,12.47,17.15,0.000935407
15,WI_4,2,censor,6.47,10.01,0.301582955
15,WI_4,3,censor,7.01,10.01,0.211118175
15,WI_4,4,censor,6.47,10.01,0.321740368
15,WI_4,5,censor,7.47,10.01,0.284434213
15,WI_4,6,censor,9.01,11.47,0.188534317
15,WI_4,7,censor,8.47,11.47,0.123287585
15,WI_4,8,censor,7.01,12.01,0.284507004
15,WI_4,12,censor,5.47,8.01,0.189391586
15,WI_4,13,censor,7.01,9.47,0.39451775
15,WI_4,14,censor,7.01,10.01,0.1531049
15,WI_4,15,censor,9.47,13.01,0.061233418
15,WI_4,16,censor,3.01,3.01,6.42E-05
15,WI_4,17,censor,7.47,9.47,0.21026158
15,WI_4,20,censor,14.47,20.01,6.37E-05
15,WI_4,24,censor ,6.47,8.01,0.410217191
15,WI_4,11,JU1491,8.47,11.01,0.243312263
15,WI_4,19,JU2513,10.01,13.47,0.454891354
15,WI_4,23,JU2526,8.01,14.01,1.015281897
15,WI_4,18,NIC231,8.01,10.47,0.312286618
15,WI_4,9,NIC526,9.01,12.01,0.39133206
15,WI_4,22,QX1792,9.01,12.01,0.813324139
15,WI_4,21,WN2001,10.01,11.47,1.251704625
15,WI_4,10,WN2002,7.47,9.47,0.246051764
16,WI_5,2,censor,5.51,7.05,0.078736124
16,WI_5,7,censor,4.05,4.51,0.036934189
16,WI_5,8,censor,3.51,4.51,0.027407907
16,WI_5,9,censor,5.05,6.51,0.061341199
16,WI_5,10,censor,4.51,6.04,0.069330717
16,WI_5,11,censor,5.51,7.05,0.038682056
16,WI_5,12,censor,5.05,6.51,0.014702316
16,WI_5,13,censor,5.05,7.05,0.058028717
16,WI_5,14,censor,5.05,7.05,0.101443899
16,WI_5,15,censor,4.51,5.51,0.078649038
16,WI_5,16,censor,22.05,27.49,0.000191948
16,WI_5,19,censor,4.51,6.04,0.011325232
16,WI_5,20,censor,2.01,3.04,0.000120978
16,WI_5,21,censor,4.51,5.05,0.011009344
16,WI_5,22,censor,5.05,6.04,0.101709722
16,WI_5,23,censor,4.51,6.04,0.068765279
16,WI_5,3,censor ,4.05,5.51,0.078569095
16,WI_5,24,censor ,4.51,5.51,0.176835924
16,WI_5,18,CX11262,5.05,6.51,0.188123334
16,WI_5,17,JU1896,5.05,6.51,0.129906139
16,WI_5,5,JU751,5.51,7.51,0.216591583
16,WI_5,4,NIC251,4.51,5.51,0.152402155
16,WI_5,6,NIC259,5.05,7.05,0.11799132
16,WI_5,1,NIC268,5.51,7.51,0.226292933
17,WI_6,1,censor,6.04,8.05,0.250465654
17,WI_6,2,censor,5.51,10.51,0.181688376
17,WI_6,3,censor,5.05,6.51,0.138592787
17,WI_6,6,censor,6.51,8.51,0.283144991
17,WI_6,9,censor,6.04,7.05,0.151545884
17,WI_6,10,censor,10.05,13.51,0.076998796
17,WI_6,11,censor,5.05,5.05,0.066958686
17,WI_6,13,censor,6.04,8.51,0.111294337
17,WI_6,15,censor,6.04,9.04,0.139221567
17,WI_6,16,censor,30.49,31.49,5.79E-05
17,WI_6,17,censor,17.19,20.51,0.0482077
17,WI_6,20,censor,32.49,32.49,3.52E-05
17,WI_6,21,censor,6.04,7.51,0.025170264
17,WI_6,22,censor,8.05,13.05,0.109339772
17,WI_6,23,censor,7.05,10.05,0.122877347
17,WI_6,5,censor ,5.05,6.04,0.373195319
17,WI_6,8,CX11262,6.04,8.05,0.213779161
17,WI_6,7,EG4347,6.51,9.51,0.104699809
17,WI_6,12,JU1896,7.05,12.05,0.133989734
17,WI_6,14,JU751,6.51,8.51,0.246617902
17,WI_6,4,N2_2,7.05,9.51,0.192391551
17,WI_6,24,N2_3,5.51,6.51,0.29866641
17,WI_6,19,NIC267,6.04,10.05,0.328673877
17,WI_6,18,QX1794,6.04,7.51,0.25254712
18,WI_7,22, censor,4.51,6.04,0.190729912
18,WI_7,2,Censor,5.51,21.05,0.046932046
18,WI_7,6,censor,5.51,6.04,0.014495459
18,WI_7,8,censor,5.05,6.51,0.129507314
18,WI_7,11,censor,5.05,6.51,0.208090022
18,WI_7,12,censor,3.51,5.51,0.095388727
18,WI_7,16,censor,30.49,30.95,5.05E-05
18,WI_7,17,censor,5.51,6.51,0.216232699
18,WI_7,19,censor,5.05,6.04,0.134923569
18,WI_7,20,censor,30.49,30.49,0.000428595
18,WI_7,21,censor,3.51,5.51,0.103955466
18,WI_7,23,censor,5.51,7.05,0.202046807
18,WI_7,24,censor ,4.51,6.04,0.150531647
18,WI_7,4,CX11292,4.05,5.05,0.035421496
18,WI_7,7,ED3011,5.05,6.51,0.174515248
18,WI_7,9,ED3046,5.05,7.51,0.121873758
18,WI_7,18,ED3077,5.05,6.51,0.11097648
18,WI_7,3,JU1896,5.05,6.51,0.233121678
18,WI_7,13,JU751,7.05,9.51,0.259279007
18,WI_7,10,N2_2,9.04,11.51,0.117898817
18,WI_7,15,NIC251,4.51,6.04,0.300424051
18,WI_7,5,NIC259,5.51,7.51,0.430616361
18,WI_7,1,NIC267,5.51,7.05,0.300588437
18,WI_7,14,QX1794,5.05,6.51,0.119542374
19,WI_8,1,censor,16.51,16.51,0.041715686
19,WI_8,11,censor,6.51,8.05,0.025993136
19,WI_8,14,censor,7.51,10.05,0.162132531
19,WI_8,15,censor,7.51,16.51,0.045895877
19,WI_8,16,censor,23.05,24.51,0.007347811
19,WI_8,17,censor,19.05,23.05,0.081182845
19,WI_8,20,censor,23.05,24.51,0.003004343
19,WI_8,21,censor,11.05,16.05,0.375134467
19,WI_8,22,censor,7.05,23.05,0.207713949
19,WI_8,23,censor,5.05,7.05,0.422077775
19,WI_8,24,censor ,23.05,24.51,0.952565539
19,WI_8,9,CX11262,7.05,9.04,0.421001016
19,WI_8,7,CX11315,11.51,14.51,1.1789911
19,WI_8,18,ED3011,7.05,10.05,0.53188687
19,WI_8,10,EG4347,6.51,8.51,0.227885649
19,WI_8,6,EG4946,9.51,16.51,0.262612472
19,WI_8,5,JU323,6.51,9.51,0.131519437
19,WI_8,3,JU751,7.51,10.05,0.620229089
19,WI_8,19,N2_2,5.51,6.51,0.493898091
19,WI_8,13,NIC259,6.51,9.51,0.718857872
19,WI_8,8,NIC267,9.51,19.51,0.276346587
19,WI_8,2,PB303,5.51,8.05,0.189619286
19,WI_8,12,QX1794,7.51,9.04,0.431825444
19,WI_8,4,RC301,5.51,8.51,0.308473426
20,WI_9,2,Censor,7.51,12.51,0.109660969
20,WI_9,3,Censor,7.51,13.51,0.181989734
20,WI_9,6,Censor,16.51,32.95,0.000639559
20,WI_9,7,Censor,6.04,9.04,0.11297191
20,WI_9,8,Censor,7.51,10.05,0.04106158
20,WI_9,9,Censor,4.51,5.51,0.036569251
20,WI_9,11,Censor,8.51,15.05,0.078995629
20,WI_9,12,Censor,5.05,5.51,0.004322321
20,WI_9,15,Censor,4.51,7.05,0.124518169
20,WI_9,16,Censor,30.49,30.49,0.000352045
20,WI_9,18,Censor,6.04,8.51,0.106440394
20,WI_9,19,Censor,7.51,30.95,0.011799831
20,WI_9,20,Censor,27.49,30.49,0.002314892
20,WI_9,22,Censor,6.51,9.04,0.062356043
20,WI_9,23,Censor,13.05,13.05,0.000109005
20,WI_9,24,Censor,4.05,6.04,0.217998326
20,WI_9,1,ECA250,5.51,7.51,0.134195256
20,WI_9,13,MY1,6.04,10.05,0.434389974
20,WI_9,17,NIC1,6.04,13.51,0.234797303
20,WI_9,14,NIC261,7.05,9.51,0.22674135
20,WI_9,5,QG2075,11.05,17.19,0.289694321
20,WI_9,4,QW947,6.51,10.05,0.187417348
20,WI_9,10,QX1233,7.51,12.05,0.230590301
20,WI_9,21,QX1793,9.51,12.51,0.839011825
