day,strain,plate,picker,num_alive_IS,num_dead_IS,num_censor_IS
2,CX11264,1,TC,10,0,0
2,CX11264,2,TC,10,0,0
2,CX11264,3,TC,9,0,1
2,CX11264,4,TC,8,0,2
2,CX11264,5,TC,6,1,3
2,CX11264,6,IS,9,0,1
2,CX11264,7,IS,9,0,1
2,QX1793,1,TC,9,0,1
2,QX1793,2,TC,7,0,3
2,QX1793,3,TC,4,0,6
2,QX1793,4,TC,7,0,3
2,QX1793,5,TC,7,0,3
2,QX1793,6,IS,10,0,0
2,QX1793,7,IS,0,0,0
2,QX1794,1,TC,5,0,5
2,QX1794,2,TC,9,0,1
2,QX1794,3,TC,8,0,2
2,QX1794,4,TC,7,0,3
2,QX1794,5,TC,10,0,0
2,QX1794,6,IS,10,1,0
2,QX1794,7,IS,7,0,3
6,CX11264,1,TC,10,0,0
6,CX11264,2,TC,9,0,1
6,CX11264,3,TC,9,0,1
6,CX11264,4,TC,6,0,3
6,CX11264,5,TC,10,0,0
6,CX11264,6,IS,5,0,3
6,CX11264,7,IS,8,,1
6,QX1793,1,TC,9,0,0
6,QX1793,2,TC,5,0,1
6,QX1793,3,TC,6,0,0
6,QX1793,4,TC,7,0,0
6,QX1793,5,TC,4,,3
6,QX1793,6,IS,8,0,2
6,QX1793,7,IS,0,0,0
6,QX1794,1,TC,2,0,0
6,QX1794,2,TC,8,0,1
6,QX1794,3,TC,5,0,3
6,QX1794,4,TC,8,0,0
6,QX1794,5,TC,0,0,0
6,QX1794,6,IS,0,0,0
6,QX1794,7,IS,6,0,1
9,CX11264,1,TC,10,0,0
9,CX11264,2,TC,10,0,0
9,CX11264,3,TC,9,0,0
9,CX11264,4,TC,9,0,0
9,CX11264,5,TC,9,0,1
9,CX11264,6,IS,3,0,5
9,CX11264,7,IS,6,0,3
9,QX1793,1,TC,9,0,0
9,QX1793,2,TC,6,0,0
9,QX1793,3,TC,6,0,0
9,QX1793,4,TC,5,0,1
9,QX1793,5,TC,7,0,0
9,QX1793,6,IS,8,0,1
9,QX1793,7,IS,0,0,0
9,QX1794,1,TC,2,0,0
9,QX1794,2,TC,8,0,0
9,QX1794,3,TC,7,0,1
9,QX1794,4,TC,0,0,0
9,QX1794,5,TC,0,0,0
9,QX1794,6,IS,4,0,0
9,QX1794,7,IS,6,0,0
13,CX11264,1,TC,10,0,0
13,CX11264,2,TC,9,0,1
13,CX11264,3,TC,7,0,2
13,CX11264,4,TC,6,0,3
13,CX11264,5,TC,9,0,0
13,CX11264,6,IS,2,1,0
13,CX11264,7,IS,3,2,1
13,QX1793,1,TC,9,0,0
13,QX1793,2,TC,6,0,0
13,QX1793,3,TC,6,0,0
13,QX1793,4,TC,0,0,0
13,QX1793,5,TC,7,0,0
13,QX1793,6,IS,8,0,0
13,QX1793,7,IS,0,0,0
13,QX1794,1,TC,1,1,0
13,QX1794,2,TC,6,0,2
13,QX1794,3,TC,6,0,1
13,QX1794,4,TC,6,0,1
13,QX1794,5,TC,0,0,0
13,QX1794,6,IS,0,0,0
13,QX1794,7,IS,2,1,3
