Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature, Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d),Duration Not Fast Moving (d),Longest Gap in Measurement (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,26.1002,4.41667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,22.7252,3.33333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,22.6002,3.91667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,22.1418,6,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,22.0168,3.08333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,20.7668,5.54167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,19.1002,3.91667,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,17.6835,0.291667,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,13.6418,0.75,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,13.3918,0.875,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_a::3,CX11314::4::43::20::OP50-1::CeNDR,a::3,3,a,1.07031,7.82344,1.80937,1.91562,CX11314,,,4,43,20,20,OP50-1,CeNDR,,,,1,11.1418,1.08333,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,47.9023,6.79167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,44.6523,6.45833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,44.4856,12.7917,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,42.8606,7.08333,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,40.9023,6.54167,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,40.7356,15.3333,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,39.1106,8.75,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,39.0689,10.25,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,39.0273,12.5417,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,38.8606,5,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,38.7773,0.458333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,38.7356,8.33333,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,38.4856,6,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,38.3606,9.70833,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,37.8189,8,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,37.8189,15.7917,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,36.7773,5.29167,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,36.4439,2.375,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,35.2356,2.58333,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,35.1106,9.5,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,33.4856,3.58333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,33.2356,4.58333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
