Plate Num,Plate_Name,Well_Num,Strain,Lifespan est (days),Healthspan est (days),Time (days),Activity (a.u.)
1,WI_JDH_7A,1,LKC34,18.4,11.2,0,45751.9
1,WI_JDH_7A,1,LKC34,18.4,11.2,0.5,39392.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,1,33118.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,1.5,27686.3
1,WI_JDH_7A,1,LKC34,18.4,11.2,2,23068.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,2.5,18981.7
1,WI_JDH_7A,1,LKC34,18.4,11.2,3,15676.5
1,WI_JDH_7A,1,LKC34,18.4,11.2,3.5,13561.3
1,WI_JDH_7A,1,LKC34,18.4,11.2,4,12608.1
1,WI_JDH_7A,1,LKC34,18.4,11.2,4.5,12419.1
1,WI_JDH_7A,1,LKC34,18.4,11.2,5,12518
1,WI_JDH_7A,1,LKC34,18.4,11.2,5.5,12490.5
1,WI_JDH_7A,1,LKC34,18.4,11.2,6,12171.4
1,WI_JDH_7A,1,LKC34,18.4,11.2,6.5,11694.5
1,WI_JDH_7A,1,LKC34,18.4,11.2,7,11228.4
1,WI_JDH_7A,1,LKC34,18.4,11.2,7.5,10856.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,8,10590.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,8.5,10419.3
1,WI_JDH_7A,1,LKC34,18.4,11.2,9,10260.1
1,WI_JDH_7A,1,LKC34,18.4,11.2,9.5,10027.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,10,9497.7
1,WI_JDH_7A,1,LKC34,18.4,11.2,10.5,8707.2
1,WI_JDH_7A,1,LKC34,18.4,11.2,11,7880.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,11.5,7239.3
1,WI_JDH_7A,1,LKC34,18.4,11.2,12,6869.9
1,WI_JDH_7A,1,LKC34,18.4,11.2,12.5,6640.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,13,6364.2
1,WI_JDH_7A,1,LKC34,18.4,11.2,13.5,6029.1
1,WI_JDH_7A,1,LKC34,18.4,11.2,14,5652.3
1,WI_JDH_7A,1,LKC34,18.4,11.2,14.5,5124.9
1,WI_JDH_7A,1,LKC34,18.4,11.2,15,4298.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,15.5,3322.4
1,WI_JDH_7A,1,LKC34,18.4,11.2,16,2443.4
1,WI_JDH_7A,1,LKC34,18.4,11.2,16.5,1814
1,WI_JDH_7A,1,LKC34,18.4,11.2,17,1421.1
1,WI_JDH_7A,1,LKC34,18.4,11.2,17.5,1202.3
1,WI_JDH_7A,1,LKC34,18.4,11.2,18,1107
1,WI_JDH_7A,1,LKC34,18.4,11.2,18.5,1039.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,19,942
1,WI_JDH_7A,1,LKC34,18.4,11.2,19.5,782.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,20,611.7
1,WI_JDH_7A,1,LKC34,18.4,11.2,20.5,467.6
1,WI_JDH_7A,1,LKC34,18.4,11.2,21,345.4
1,WI_JDH_7A,1,LKC34,18.4,11.2,21.5,247.5
1,WI_JDH_7A,1,LKC34,18.4,11.2,22,167.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,22.5,83.8
1,WI_JDH_7A,1,LKC34,18.4,11.2,23,14
1,WI_JDH_7A,1,LKC34,18.4,11.2,23.5,-20.5
