rand_ID,strain,bleach_wave,conc embryo/uL,num_of_worms_after_bleach,number_of_worms_estimated_on_6cm_plate,Vol to add for 1000,wormcamp_plate_num,well,notes
44,N2_4,4,1.16,1082,300,1000,1,A01,
44,N2_4,4,1.16,1082,300,1000,1,A02,
44,N2_4,4,1.16,1082,300,1000,1,A03,
59,JU1652,3,0.23,632,1000,ALL,1,A04,
49,NIC231,3,0.33,957,1000,ALL,1,A05,
107,GXW1,3,0.16,576,150,ALL,1,A06,
35,NIC526,3,0.5,1400,1000,1428.571429,1,B01,
43,NIC528,3,0.85,2000,1000,1000,1,B02,
34,JU2526,3,2.3,2000,1000,1000,1,B03,
9,JU1395,3,0.16,500,1000,ALL,1,B04,
25,NIC262,3,0.46,1380,1000,1449.275362,1,B05,
12,NIC258,3,0.83,1660,1000,1204.819277,1,B06,
42,JU1491,3,0.43,1204,1000,1661.129568,1,C01,
19,JU397,3,0.46,1702,1000,1175.088132,1,C02,
41,WN2002,1,2.2,2000,1000,1000,1,C03,
20,JU561,3,0.46,1265,1000,1581.027668,1,C04,
23,QX1792,3,0.6,2160,1000,925.9259259,1,C05,
52,EG4724,3,0.36,900,1000,ALL,1,C06,
4,JU642,3,1.7,2000,1000,1000,1,D01,
11,JU2513,2,1.2,2000,1000,1000,1,D02,
85,QX1791,3,0.6,2040,300,980.3921569,1,D03,
18,JU1212,2,1.5,2000,1000,1000,1,D04,
1,WN2001,3,0.3,900,1000,ALL,1,D05,
6,NIC529,3,0.23,641,1000,ALL,1,D06,
44,N2_4,4,1.16,1082,300,1000,2,A01,
44,N2_4,4,1.16,1082,300,1000,2,A02,
44,N2_4,4,1.16,1082,300,1000,2,A03,
107,GXW1,3,0.16,576,150,ALL,2,A04,
85,QX1791,3,0.6,2040,300,980.3921569,2,A05,
59,JU1652,3,0.23,632,1000,ALL,2,A06,
1,WN2001,3,0.3,900,1000,ALL,2,B01,
20,JU561,3,0.46,1265,1000,1581.027668,2,B02,
43,NIC528,3,0.85,2000,1000,1000,2,B03,
9,JU1395,3,0.16,500,1000,ALL,2,B04,
11,JU2513,2,1.2,2000,1000,1000,2,B05,
