Plate Num,Plate_Name,Well_Num,Strain,Lifespan est (days),Healthspan est (days),Time (days),Activity (a.u.)
1,WI_8A_JDH,1,DL238,NaN,NaN,0.0,3785.6
1,WI_8A_JDH,1,DL238,NaN,NaN,0.5,7063.7
1,WI_8A_JDH,1,DL238,NaN,NaN,1.0,9956.4
1,WI_8A_JDH,1,DL238,NaN,NaN,1.5,12417.4
1,WI_8A_JDH,1,DL238,NaN,NaN,2.0,14311.3
1,WI_8A_JDH,1,DL238,NaN,NaN,2.5,15418.1
1,WI_8A_JDH,1,DL238,NaN,NaN,3.0,15523.8
1,WI_8A_JDH,1,DL238,NaN,NaN,3.5,14581.6
1,WI_8A_JDH,1,DL238,NaN,NaN,4.0,12936.0
1,WI_8A_JDH,1,DL238,NaN,NaN,4.5,11108.6
1,WI_8A_JDH,1,DL238,NaN,NaN,5.0,9399.6
1,WI_8A_JDH,1,DL238,NaN,NaN,5.5,7865.2
1,WI_8A_JDH,1,DL238,NaN,NaN,6.0,6587.1
1,WI_8A_JDH,1,DL238,NaN,NaN,6.5,5790.4
1,WI_8A_JDH,1,DL238,NaN,NaN,7.0,5439.4
1,WI_8A_JDH,1,DL238,NaN,NaN,7.5,5390.9
1,WI_8A_JDH,1,DL238,NaN,NaN,8.0,5472.1
1,WI_8A_JDH,1,DL238,NaN,NaN,8.5,5357.9
1,WI_8A_JDH,1,DL238,NaN,NaN,9.0,4871.5
1,WI_8A_JDH,1,DL238,NaN,NaN,9.5,4198.4
1,WI_8A_JDH,1,DL238,NaN,NaN,10.0,3554.3
1,WI_8A_JDH,1,DL238,NaN,NaN,10.5,3079.8
1,WI_8A_JDH,1,DL238,NaN,NaN,11.0,2795.0
1,WI_8A_JDH,1,DL238,NaN,NaN,11.5,2535.7
1,WI_8A_JDH,1,DL238,NaN,NaN,12.0,2148.5
1,WI_8A_JDH,1,DL238,NaN,NaN,12.5,1715.1
1,WI_8A_JDH,1,DL238,NaN,NaN,13.0,1375.5
1,WI_8A_JDH,1,DL238,NaN,NaN,13.5,1183.9
1,WI_8A_JDH,1,DL238,NaN,NaN,14.0,1135.7
1,WI_8A_JDH,1,DL238,NaN,NaN,14.5,1194.7
1,WI_8A_JDH,1,DL238,NaN,NaN,15.0,1275.6
1,WI_8A_JDH,1,DL238,NaN,NaN,15.5,1270.3
1,WI_8A_JDH,1,DL238,NaN,NaN,16.0,1170.9
1,WI_8A_JDH,1,DL238,NaN,NaN,16.5,1048.1
1,WI_8A_JDH,1,DL238,NaN,NaN,17.0,925.1
1,WI_8A_JDH,1,DL238,NaN,NaN,17.5,753.7
