device,exp,plate,row,column,strain,rep,total,temp,food,event_freq,ls,DNMF,gap_days,censor,censor_reason,event_observation_type
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,10.4452,0.625,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,10.6536,0.875,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,10.6536,0.25,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,13.7369,0.0416667,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,13.7786,0.416667,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,14.3202,0.583333,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,14.5286,0.75,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,14.7786,1.04167,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,14.7786,0.333333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,17.7786,4.04167,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,19.3619,1.66667,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,19.9869,3.625,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,21.4452,2.5,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,21.9036,1.45833,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,22.8619,2.5,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,23.1536,6.08333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,23.1952,6.33333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,23.2369,3.95833,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,23.6119,3.29167,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,24.3202,4.16667,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,24.4869,3.45833,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,24.6536,6.91667,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,25.5286,2.375,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,25.5702,0.75,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,26.1119,1.75,0.208333,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,26.4036,2.125,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,26.9452,2.08333,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,28.4452,9.125,0,0,,
Orion,CeNDR_010419,Orion_a::1,1,a,JU258,4,39,20,OP50-1,1,28.5702,4.5,0,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,10.8619,0.833333,0,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,11.1536,0.708333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,12.6119,0.916667,0,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,12.8619,0.875,0,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,14.1952,1.91667,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,14.2369,0.5,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,14.4036,1.91667,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,14.9869,0.708333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,15.1536,2.91667,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,15.3619,1.70833,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,15.7369,3.58333,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,15.9452,2.08333,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,16.3619,0.375,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,18.0702,1.125,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,18.4036,5.20833,0.0833333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,18.8202,1.75,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,19.6119,1.5,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,19.9036,1.08333,0,0,,Observed Multiple Worm
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,21.3619,2.75,0,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,21.9452,7.58333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,22.2786,2.66667,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,23.2369,0.291667,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,23.6119,0.583333,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,25.4452,1.125,0.0416667,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,27.4036,8.58333,0,0,,Observed Multiple Worm
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,27.7786,2.54167,0.208333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,27.9452,2.5,0.208333,0,,
Orion,CeNDR_010419,Orion_a::2,2,a,EC19191,1,37,20,OP50-1,1,33.1536,12.75,0,0,,
Orion,CeNDR_010419,Orion_b::1,1,b,EC19191,2,39,20,OP50-1,1,11.6223,0.333333,0,0,,
Orion,CeNDR_010419,Orion_b::1,1,b,EC19191,2,39,20,OP50-1,1,12.8931,49710.2,0,0,,
Orion,CeNDR_010419,Orion_b::1,1,b,EC19191,2,39,20,OP50-1,1,13.2473,0.333333,0,0,,
