strain	wormcamp_plate_num	well	random_ID	bleach_wave	conc embryo/uL	num_of_worms_after_bleach	number_of_worms_estimated_on_6cm_plate	notes
NA	16	A02	NA	NA	NA	NA	NA	none
NA	16	A03	NA	NA	NA	NA	NA	none
NIC266	16	A04	84	2	0.2	700	100	NA
JU782	16	A05	67	3	2.8	2000	1000	NA
JU830	16	A06	8	1	4	2000	1000	NA
JU2522	16	B01	32	2	1.1	2200	1000	NA
NIC269	16	B02	127	3	0.13	468	0	NA
JU1409	16	B03	48	1	0.275	890	30	few
JU1530	16	B04	55	2	0.3	1050	50	none
NIC199	16	B05	53	1	0.6	1920	200	NA
NIC3	16	B06	87	1	0.3	960	300	NA
CX11264	16	C01	104	3	1	2000	300	NA
PS2025	16	C02	109	3	0.56	1540	150	NA
JU792	16	C03	29	2	0.3	840	300	NA
JU1246	16	C04	58	2	0.75	2000	50	NA
NIC276	16	C05	96	2	0.26	600	100	NA
NIC166	16	C06	24	2	0.4	1200	1000	NA
LSJ1	16	D01	126	3	0.13	377	50	NA
JU394	16	D02	72	2	0.23	805	120	NA
ED3012	16	D03	125	3	0.03	75	150	NA
JU1581	16	D04	92	1	0.425	1230	50	few
JU1568	16	D05	51	1	1.225	2000	100	NA
NIC277	16	D06	99	1	2	2000	350	NA
N2	17	A01	N2	NA	NA	NA	NA	NA
N2	17	A02	N2	NA	NA	NA	NA	NA
N2	17	A03	N2	NA	NA	NA	NA	NA
NA	17	A04	NA	NA	NA	NA	NA	NA
ED3040	17	A05	50	1	0.65	2000	50	NA
NA	17	A06	NA	NA	NA	NA	NA	NA
NA	17	B01	NA	NA	NA	NA	NA	NA
NA	17	B02	NA	NA	NA	NA	NA	NA
JU1586	17	B03	100	2	0.16	533	300	NA
NA	17	B04	NA	NA	NA	NA	NA	NA
NA	17	B05	NA	NA	NA	NA	NA	NA
NA	17	B06	NA	NA	NA	NA	NA	NA
JU367	17	C01	115	2	0.16	480	0	none
NA	17	C02	NA	NA	NA	NA	NA	NA
NA	17	C03	NA	NA	NA	NA	NA	NA
NIC274	17	C04	63	1	0.2	520	100	NA
NA	17	C05	NA	NA	NA	NA	NA	NA
NA	17	C06	NA	NA	NA	NA	NA	NA
NA	17	D01	NA	NA	NA	NA	NA	NA
NA	17	D02	NA	NA	NA	NA	NA	NA
NA	17	D03	NA	NA	NA	NA	NA	NA
NA	17	D04	NA	NA	NA	NA	NA	NA
NA	17	D05	NA	NA	NA	NA	NA	NA
NA	17	D06	NA	NA	NA	NA	NA	NA
N2	18	A01	N2	NA	NA	NA	NA	NA
N2	18	A02	N2	NA	NA	NA	NA	NA
N2	18	A03	N2	NA	NA	NA	NA	NA
JU367	18	A04	115	2	0.16	480	0	none
NA	18	A05	NA	NA	NA	NA	NA	NA
NA	18	A06	NA	NA	NA	NA	NA	NA
NIC274	18	B01	63	1	0.2	520	100	NA
NA	18	B02	NA	NA	NA	NA	NA	NA
JU1586	18	B03	100	2	0.16	533	300	NA
NA	18	B04	NA	NA	NA	NA	NA	NA
NA	18	B05	NA	NA	NA	NA	NA	NA
NA	18	B06	NA	NA	NA	NA	NA	NA
NA	18	C01	NA	NA	NA	NA	NA	NA
ED3040	18	C02	50	1	0.65	2000	50	NA
NA	18	C03	NA	NA	NA	NA	NA	NA
NA	18	C04	NA	NA	NA	NA	NA	NA
NA	18	C05	NA	NA	NA	NA	NA	NA
NA	18	C06	NA	NA	NA	NA	NA	NA
NA	18	D01	NA	NA	NA	NA	NA	NA
NA	18	D02	NA	NA	NA	NA	NA	NA
NA	18	D03	NA	NA	NA	NA	NA	NA
NA	18	D04	NA	NA	NA	NA	NA	NA
NA	18	D05	NA	NA	NA	NA	NA	NA
NA	18	D06	NA	NA	NA	NA	NA	NA
N2	19	A01	N2	NA	NA	NA	NA	NA
N2	19	A02	N2	NA	NA	NA	NA	NA
NA	19	A03	NA	NA	NA	NA	NA	none
NA	19	A04	NA	NA	NA	NA	NA	NA
NA	19	A05	NA	NA	NA	NA	NA	NA
NA	19	A06	NA	NA	NA	NA	NA	NA
JU367	19	B01	115	2	0.16	480	0	NA
NA	19	B02	NA	NA	NA	NA	NA	NA
ED3040	19	B03	50	1	0.65	2000	50	NA
NA	19	B04	NA	NA	NA	NA	NA	NA
NA	19	B05	NA	NA	NA	NA	NA	NA
NA	19	B06	NA	NA	NA	NA	NA	NA
NA	19	C01	NA	NA	NA	NA	NA	NA
NA	19	C02	NA	NA	NA	NA	NA	NA
NA	19	C03	NA	NA	NA	NA	NA	NA
NA	19	C04	NA	NA	NA	NA	NA	NA
JU1586	19	C05	100	2	0.16	533	300	NA
NA	19	C06	NA	NA	NA	NA	NA	NA
NA	19	D01	NA	NA	NA	NA	NA	NA
NA	19	D02	NA	NA	NA	NA	NA	NA
NA	19	D03	NA	NA	NA	NA	NA	NA
NA	19	D04	NA	NA	NA	NA	NA	NA
NA	19	D05	NA	NA	NA	NA	NA	NA
NIC274	19	D06	63	1	0.2	520	100	NA
N2	20	A01	N2	NA	NA	NA	NA	NA
NA	20	A02	NA	NA	NA	NA	NA	none
NA	20	A03	NA	NA	NA	NA	NA	none
ED3040	20	A04	50	1	0.65	2000	50	NA
NIC274	20	A05	63	1	0.2	520	100	NA
NA	20	A06	NA	NA	NA	NA	NA	NA
NA	20	B01	NA	NA	NA	NA	NA	NA
NA	20	B02	NA	NA	NA	NA	NA	NA
NA	20	B03	NA	NA	NA	NA	NA	NA
NA	20	B04	NA	NA	NA	NA	NA	NA
NA	20	B05	NA	NA	NA	NA	NA	NA
NA	20	B06	NA	NA	NA	NA	NA	NA
NA	20	C01	NA	NA	NA	NA	NA	NA
NA	20	C02	NA	NA	NA	NA	NA	NA
NA	20	C03	NA	NA	NA	NA	NA	NA
NA	20	C04	NA	NA	NA	NA	NA	NA
JU367	20	C05	115	2	0.16	480	0	NA
NA	20	C06	NA	NA	NA	NA	NA	NA
JU1586	20	D01	100	2	0.16	533	300	NA
NA	20	D02	NA	NA	NA	NA	NA	NA
NA	20	D03	NA	NA	NA	NA	NA	NA
NA	20	D04	NA	NA	NA	NA	NA	NA
NA	20	D05	NA	NA	NA	NA	NA	NA
NA	20	D06	NA	NA	NA	NA	NA	NA
