gwtrait	gwchr	gwpeak	mediator	multi_abs_est	multi_padjust	var	estimate	ci_lower	ci_upper	prob	mediator_gene	e_peak	eQTL_classification
t89_mean	I	2535189	C08E8.4.1	0.10067141361250792	0.024	med	0.12586340482816444	-0.018967203485653013	0.30737711940471707	0.106	C08E8.4	1549172	Distant eQTL
t89_mean	I	2535189	C08E8.4.1	0.10067141361250792	0.024	direct	0.5938676539739993	0.2579310292881933	0.9744279902923213	0.002	C08E8.4	1549172	Distant eQTL
t89_mean	I	2535189	C08E8.4.1	0.10067141361250792	0.024	total	0.7197310588021637	0.3660458011500872	1.077279170531814	0	C08E8.4	1549172	Distant eQTL
t89_mean	I	2535189	C08E8.4.1	0.10067141361250792	0.024	prop_med	0.17487560567086932	-0.03245578274849584	0.40871556807225506	0.106	C08E8.4	1549172	Distant eQTL
t89_mean	I	2535189	ZK402.5.1	0.0857431636851881	0.034	med	0.10545003851525693	-0.021675370423679133	0.3435300272776939	0.124	ZK402.5	345372	Distant eQTL
t89_mean	I	2535189	ZK402.5.1	0.0857431636851881	0.034	direct	0.6142810202869069	0.24169186815245944	0.9736890970020174	0	ZK402.5	345372	Distant eQTL
t89_mean	I	2535189	ZK402.5.1	0.0857431636851881	0.034	total	0.7197310588021638	0.36529918546663825	1.069087030406547	0	ZK402.5	345372	Distant eQTL
t89_mean	I	2535189	ZK402.5.1	0.0857431636851881	0.034	prop_med	0.1465131137883026	-0.02997155092994879	0.5138927001916667	0.124	ZK402.5	345372	Distant eQTL
t89_mean	I	2535189	F25B5.7d.1	0.09168927511472426	0.042	med	0.11258251193311127	-0.028611904155281295	0.3537462162713727	0.162	nono-1	1585923	Distant eQTL
t89_mean	I	2535189	F25B5.7d.1	0.09168927511472426	0.042	direct	0.6071485468690525	0.24573498359599272	0.9343351736518322	0.004	nono-1	1585923	Distant eQTL
t89_mean	I	2535189	F25B5.7d.1	0.09168927511472426	0.042	total	0.7197310588021637	0.36273867315304786	1.0718602134229882	0	nono-1	1585923	Distant eQTL
t89_mean	I	2535189	F25B5.7d.1	0.09168927511472426	0.042	prop_med	0.1564230285135679	-0.04310962088211749	0.5369079012052141	0.162	nono-1	1585923	Distant eQTL
t89_mean	I	2535189	K07A9.3.2	0.09798446548184735	0.06	med	-0.12839201320790466	-0.3243228479380925	-0.009742467140346153	0.034	ccm-2	1623613	Distant eQTL
t89_mean	I	2535189	K07A9.3.2	0.09798446548184735	0.06	direct	0.8302049380335226	0.4359339809921939	1.190655664857543	0	ccm-2	1623613	Distant eQTL
t89_mean	I	2535189	K07A9.3.2	0.09798446548184735	0.06	total	0.701812924825618	0.2736637392247467	1.1011317372012905	0	ccm-2	1623613	Distant eQTL
t89_mean	I	2535189	K07A9.3.2	0.09798446548184735	0.06	prop_med	-0.18294335807481274	-0.8136478975878395	-0.011226807088437811	0.034	ccm-2	1623613	Distant eQTL
t89_mean	I	2535189	K04H4.2b.1	0.06380839642350766	0.074	NA	NA	NA	NA	NA	K04H4.2	1549172	Distant eQTL
t89_mean	I	2535189	Y119C1B.8b.2	0.06425191430017135	0.1	NA	NA	NA	NA	NA	bet-1	5294573	Local eQTL
t89_mean	I	2535189	K07G5.2.1	0.051480273957568504	0.102	NA	NA	NA	NA	NA	xpa-1	7570359	Local eQTL
t89_mean	I	2535189	M01B12.4a.2	0.05957212501757666	0.102	NA	NA	NA	NA	NA	M01B12.4	3426142	Local eQTL
t89_mean	I	2535189	Y71G12B.13.1	0.04746934098489026	0.128	NA	NA	NA	NA	NA	Y71G12B.13	1748330	Local eQTL
t89_mean	I	2535189	M142.4.1	0.04763800671171646	0.134	NA	NA	NA	NA	NA	vab-7	1549172	Distant eQTL
t89_mean	I	2535189	M01B12.4c.1	0.042720830692982915	0.146	NA	NA	NA	NA	NA	M01B12.4	3073760	Local eQTL
t89_mean	I	2535189	M01G12.12.2	0.051410165760966325	0.148	NA	NA	NA	NA	NA	rrf-2	12102019	Local eQTL
t89_mean	I	2535189	Y23H5B.1.1	0.0524444857794727	0.151	NA	NA	NA	NA	NA	Y23H5B.1	2565493	Local eQTL
t89_mean	I	2535189	Y37E3.30.1	0.04563477866608517	0.151	NA	NA	NA	NA	NA	Y37E3.30	2111366	Local eQTL
t89_mean	I	2535189	F32D1.3a.1	0.06660609687535946	0.153	NA	NA	NA	NA	NA	F32D1.3	1200305	Distant eQTL
t89_mean	I	2535189	Y48G8AL.13a.1	0.062131150026940904	0.154	NA	NA	NA	NA	NA	Y48G8AL.13	1224025	Local eQTL
t89_mean	I	2535189	B0041.2e.1	0.03996347128466491	0.166	NA	NA	NA	NA	NA	ain-2	4686874	Local eQTL
