gwtrait	gwchr	gwpeak	mediator	multi_abs_est	multi_padjust	var	estimate	ci_lower	ci_upper	prob	mediator_gene	e_peak	eQTL_classification
t89_mean	I	2535189	B0205.14.1	0.08442212515079459	0.169	NA	NA	NA	NA	NA	B0205.14	11928955	Distant eQTL
t89_mean	I	2535189	C47E8.8d.1	0.04017635465984788	0.177	NA	NA	NA	NA	NA	set-5	1334072	Distant eQTL
t89_mean	I	2535189	T10B5.7b.1	0.03545055216066952	0.178	NA	NA	NA	NA	NA	T10B5.7	7759192	Distant eQTL
t89_mean	I	2535189	Y48G1BL.5	0.03698415153521244	0.186	NA	NA	NA	NA	NA	Y48G1BL.5	362395	Local eQTL
t89_mean	I	2535189	Y73E7A.7a.1	0.03475659470705912	0.188	NA	NA	NA	NA	NA	bre-4	1636305	Local eQTL
t89_mean	I	2535189	C26C6.5b.1	0.06181479474267026	0.189	NA	NA	NA	NA	NA	dcp-66	10117295	Distant eQTL
t89_mean	I	2535189	T01B7.5a.2	0.03977734721656575	0.191	NA	NA	NA	NA	NA	T01B7.5	1200305	Distant eQTL
t89_mean	I	2535189	Y71F9AL.10a.1	0.0521926009259644	0.191	NA	NA	NA	NA	NA	Y71F9AL.10	2804940	Local eQTL
t89_mean	I	2535189	W04H10.6a.1	0.05078235485894462	0.195	NA	NA	NA	NA	NA	W04H10.6	1543438	Distant eQTL
t89_mean	I	2535189	Y53H1B.1.1	0.0402690876852531	0.197	NA	NA	NA	NA	NA	cutl-10	11293639	Local eQTL
t89_mean	I	2535189	Y111B2A.8b.1	0.05579974962043901	0.205	NA	NA	NA	NA	NA	aakg-1	1224025	Distant eQTL
t89_mean	I	2535189	Y48G1BL.8.1	0.03501550377230827	0.22	NA	NA	NA	NA	NA	Y48G1BL.8	362395	Local eQTL
t89_mean	I	2535189	B0511.9a.2	0.043842449832803165	0.228	NA	NA	NA	NA	NA	cdc-26	10222404	Local eQTL
t89_mean	I	2535189	Y20F4.4a.1	0.03593551082310623	0.23	NA	NA	NA	NA	NA	Y20F4.4	2118322	Local eQTL
t89_mean	I	2535189	C49G7.11.1	0.054671013565665755	0.236	NA	NA	NA	NA	NA	djr-1.2	922115	Distant eQTL
t89_mean	I	2535189	Y95B8A.11b.1	0.04647981054833803	0.236	NA	NA	NA	NA	NA	him-19	1064448	Local eQTL
t89_mean	I	2535189	F56D2.3a.1	0.04648474052002774	0.239	NA	NA	NA	NA	NA	F56D2.3	1549172	Distant eQTL
t89_mean	I	2535189	ZK39.6.1	0.05080173111072799	0.239	NA	NA	NA	NA	NA	clec-97	11280922	Local eQTL
t89_mean	I	2535189	Y102A5C.1.2	0.06615735669379828	0.243	NA	NA	NA	NA	NA	fbxa-206	2417713	Distant eQTL
t89_mean	I	2535189	T03G6.1.2	0.04358335716861924	0.244	NA	NA	NA	NA	NA	T03G6.1	1549172	Distant eQTL
t89_mean	I	2535189	F15A4.13.1	0.042987845555318024	0.247	NA	NA	NA	NA	NA	fbxb-102	2588704	Distant eQTL
t89_mean	I	2535189	C41D11.1f.2	0.03486466173334987	0.25	NA	NA	NA	NA	NA	eri-6	4434616	Local eQTL
t89_mean	I	2535189	F39H2.4.2	0.03327002484601269	0.251	NA	NA	NA	NA	NA	syp-3	8333166	Local eQTL
t89_mean	I	2535189	Y73E7A.9b.1	0.03521303766562566	0.252	NA	NA	NA	NA	NA	adpr-1	1649125	Local eQTL
t89_mean	I	2535189	H13N06.2.1	0.05438699426530123	0.253	NA	NA	NA	NA	NA	H13N06.2	2775461	Distant eQTL
t89_mean	I	2535189	D1054.9d.1	0.03825652911643202	0.265	NA	NA	NA	NA	NA	D1054.9	1549172	Distant eQTL
t89_mean	I	2535189	F56A6.4a.1	0.03967018070097122	0.268	NA	NA	NA	NA	NA	eme-1	513134	Local eQTL
t89_mean	I	2535189	Y48G1BM.1.1	0.05096715035721519	0.269	NA	NA	NA	NA	NA	snpc-3.2	47642	Local eQTL
t89_mean	I	2535189	Y37E3.3.2	0.04095808678372351	0.27	NA	NA	NA	NA	NA	rpb-10	2170698	Local eQTL
t89_mean	I	2535189	F13G3.7b.1	0.07690981375699872	0.275	NA	NA	NA	NA	NA	F13G3.7	1141367	Distant eQTL
t89_mean	I	2535189	Y51H1A.3a.2	0.028428982324191644	0.278	NA	NA	NA	NA	NA	Y51H1A.3	2707175	Distant eQTL
t89_mean	I	2535189	C49G7.4.1	0.027286355422646767	0.28	NA	NA	NA	NA	NA	phat-3	1105334	Distant eQTL
t89_mean	I	2535189	Y105C5A.25	0.03536567793069729	0.28	NA	NA	NA	NA	NA	Y105C5A.25	4446767	Distant eQTL
t89_mean	I	2535189	Y71F9B.8a.2	0.03394376795159507	0.28	NA	NA	NA	NA	NA	lron-11	2877377	Local eQTL
t89_mean	I	2535189	Y37E3.11b.1	0.04596252355266188	0.283	NA	NA	NA	NA	NA	pcyt-2.1	2111366	Local eQTL
t89_mean	I	2535189	Y23H5B.9.1	0.13395852569232455	0.284	med	-0.3070169991944446	-0.9734673236561665	0.49306208651946587	0.266	nspd-8	2565493	Local eQTL
t89_mean	I	2535189	Y23H5B.9.1	0.13395852569232455	0.284	direct	1.0267480579966084	0.2211653304265603	1.73454738504141	0.036	nspd-8	2565493	Local eQTL
t89_mean	I	2535189	Y23H5B.9.1	0.13395852569232455	0.284	total	0.7197310588021638	0.3592427065804917	1.0758897111165828	0	nspd-8	2565493	Local eQTL
t89_mean	I	2535189	Y23H5B.9.1	0.13395852569232455	0.284	prop_med	-0.42657183602081555	-1.5220347403758616	0.6567667966512957	0.266	nspd-8	2565493	Local eQTL
t89_mean	I	2535189	Y71G12B.9a.1	0.030271241693024413	0.284	NA	NA	NA	NA	NA	lin-65	2728998	Local eQTL
t89_mean	I	2535189	C34E10.6.2	0.04086494422845224	0.292	NA	NA	NA	NA	NA	atp-2	3351378	Distant eQTL
t89_mean	I	2535189	W09C5.9	0.023522000424977204	0.293	NA	NA	NA	NA	NA	W09C5.9	13831566	Local eQTL
t89_mean	I	2535189	Y48G1BL.1	0.04046416294455785	0.305	NA	NA	NA	NA	NA	snpc-3.3	362395	Local eQTL
t89_mean	I	2535189	F32E10.3b.1	0.041167660991551405	0.308	NA	NA	NA	NA	NA	clec-180	1549172	Distant eQTL
t89_mean	I	2535189	Y119C1B.10a.1	0.021908771267251666	0.308	NA	NA	NA	NA	NA	Y119C1B.10	4513340	Local eQTL
t89_mean	I	2535189	Y54E10A.12.2	0.05963833590933158	0.312	NA	NA	NA	NA	NA	syp-5	3188224	Local eQTL
t89_mean	I	2535189	Y71F9AL.10c.1	0.019339802380668132	0.316	NA	NA	NA	NA	NA	Y71F9AL.10	2804940	Local eQTL
t89_mean	I	2535189	T27B7.4b.1	0.027604261331123217	0.318	NA	NA	NA	NA	NA	nhr-115	8484435	Distant eQTL
t89_mean	I	2535189	F56A6.4a.2	0.03462319381811741	0.32	NA	NA	NA	NA	NA	eme-1	32533	Local eQTL
t89_mean	I	2535189	F23C8.4.1	0.03767992707910086	0.321	NA	NA	NA	NA	NA	ubxn-1	2433866	Local eQTL
t89_mean	I	2535189	T23B12.5.1	0.025941035540536617	0.321	NA	NA	NA	NA	NA	T23B12.5	877144	Distant eQTL
t89_mean	I	2535189	Y51F10.4b.1	0.04700305469389776	0.321	NA	NA	NA	NA	NA	Y51F10.4	1938599	Local eQTL
t89_mean	I	2535189	F56D6.17	0.045246639419151316	0.322	NA	NA	NA	NA	NA	F56D6.17	4479282	Distant eQTL
t89_mean	I	2535189	F23C8.14a.1	0.025201705577809146	0.328	NA	NA	NA	NA	NA	F23C8.14	2423561	Local eQTL
t89_mean	I	2535189	F56A6.1a.1	0.03524450257761605	0.329	NA	NA	NA	NA	NA	sago-2	630429	Local eQTL
t89_mean	I	2535189	C06A5.12.1	0.02217061428047941	0.33	NA	NA	NA	NA	NA	C06A5.12	6074462	Local eQTL
t89_mean	I	2535189	C17C3.1a.1	0.0360861392861104	0.333	NA	NA	NA	NA	NA	C17C3.1	345372	Distant eQTL
t89_mean	I	2535189	Y19D10A.5a.1	0.03510971795410006	0.336	NA	NA	NA	NA	NA	Y19D10A.5	1557541	Distant eQTL
t89_mean	I	2535189	F07A11.1.1	0.024005244196481538	0.338	NA	NA	NA	NA	NA	F07A11.1	1207814	Distant eQTL
t89_mean	I	2535189	F26E4.12.1	0.025896797766309015	0.338	NA	NA	NA	NA	NA	gpx-1	9574181	Local eQTL
t89_mean	I	2535189	C36B1.11.2	0.03192123711353195	0.339	NA	NA	NA	NA	NA	C36B1.11	8447886	Local eQTL
t89_mean	I	2535189	R119.2.1	0.032524444739799506	0.34	NA	NA	NA	NA	NA	R119.2	47642	Local eQTL
t89_mean	I	2535189	Y119C1B.8b.1	0.028043440077953067	0.341	NA	NA	NA	NA	NA	bet-1	4502140	Local eQTL
t89_mean	I	2535189	Y48G1BL.3	0.018805738119415816	0.342	NA	NA	NA	NA	NA	puf-10	345372	Local eQTL
t89_mean	I	2535189	Y32G9B.1d.1	0.06274628956066357	0.343	NA	NA	NA	NA	NA	Y32G9B.1	1549172	Distant eQTL
t89_mean	I	2535189	Y48G1A.7	0.027022593005414614	0.346	NA	NA	NA	NA	NA	Y48G1A.7	148495	Local eQTL
t89_mean	I	2535189	F40E3.7	0.035780062944507404	0.356	NA	NA	NA	NA	NA	F40E3.7	2638525	Local eQTL
t89_mean	I	2535189	T23G11.2.1	0.04100039299240668	0.356	NA	NA	NA	NA	NA	gna-2	7570359	Local eQTL
t89_mean	I	2535189	F37F2.2.2	0.02681627460699011	0.358	NA	NA	NA	NA	NA	F37F2.2	1498077	Local eQTL
t89_mean	I	2535189	F26E4.12.2	0.021592697431336988	0.36	NA	NA	NA	NA	NA	gpx-1	9574181	Local eQTL
t89_mean	I	2535189	Y71G12B.2.1	0.0399379578694577	0.36	NA	NA	NA	NA	NA	Y71G12B.2	1549172	Local eQTL
t89_mean	I	2535189	Y71F9AL.10d.1	0.022324971780192812	0.362	NA	NA	NA	NA	NA	Y71F9AL.10	2804940	Local eQTL
t89_mean	I	2535189	C36A4.11.1	0.04984768232991768	0.363	NA	NA	NA	NA	NA	C36A4.11	4696683	Distant eQTL
t89_mean	I	2535189	C01A2.3.2	0.025385097547155754	0.365	NA	NA	NA	NA	NA	oxa-1	11250635	Distant eQTL
t89_mean	I	2535189	F23C8.3b.1	0.04446705967310693	0.365	NA	NA	NA	NA	NA	F23C8.3	2440304	Local eQTL
t89_mean	I	2535189	C01B4.8a.1	0.03510971795410006	0.371	NA	NA	NA	NA	NA	C01B4.8	1557541	Distant eQTL
t89_mean	I	2535189	B0041.2c.1	0.026712549960027965	0.379	NA	NA	NA	NA	NA	ain-2	4686874	Local eQTL
t89_mean	I	2535189	F09G8.5.1	0.037244587788986684	0.379	NA	NA	NA	NA	NA	F09G8.5	1207814	Distant eQTL
t89_mean	I	2535189	Y37F4.3.1	0.022015824520607703	0.379	NA	NA	NA	NA	NA	Y37F4.3	10826462	Local eQTL
t89_mean	I	2535189	F33A8.10.1	0.025487145810767973	0.386	NA	NA	NA	NA	NA	F33A8.10	1549172	Distant eQTL
t89_mean	I	2535189	C49G7.13.1	0.04749393105968666	0.387	NA	NA	NA	NA	NA	C49G7.13	2733130	Distant eQTL
t89_mean	I	2535189	Y41D4B.18	0.029853394681507783	0.392	NA	NA	NA	NA	NA	Y41D4B.18	707201	Distant eQTL
t89_mean	I	2535189	C09G9.1c.1	0.01928888612971887	0.394	NA	NA	NA	NA	NA	C09G9.1	345372	Distant eQTL
t89_mean	I	2535189	C01H6.5b.2	0.028801436013574357	0.399	NA	NA	NA	NA	NA	nhr-23	4593675	Distant eQTL
t89_mean	I	2535189	B0041.2e.2	0.017564922532775022	0.4	NA	NA	NA	NA	NA	ain-2	4686874	Local eQTL
t89_mean	I	2535189	ZK180.5c.1	0.02917084664204728	0.4	NA	NA	NA	NA	NA	ZK180.5	2013029	Distant eQTL
t89_mean	I	2535189	C50D2.1a.1	0.03584068931080863	0.404	NA	NA	NA	NA	NA	C50D2.1	1549172	Distant eQTL
t89_mean	I	2535189	Y20F4.4b.1	0.022174611515942768	0.406	NA	NA	NA	NA	NA	Y20F4.4	2056750	Local eQTL
t89_mean	I	2535189	Y23H5B.6a.1	0.013882741429028607	0.408	NA	NA	NA	NA	NA	Y23H5B.6	2495444	Local eQTL
t89_mean	I	2535189	Y73E7A.9a.1	0.021446941623718258	0.409	NA	NA	NA	NA	NA	adpr-1	1649125	Local eQTL
t89_mean	I	2535189	F56G4.5.2	0.022108169554497854	0.41	NA	NA	NA	NA	NA	png-1	11330980	Local eQTL
t89_mean	I	2535189	F16D3.2.2	0.03550787472912689	0.411	NA	NA	NA	NA	NA	rsd-6	8318265	Local eQTL
t89_mean	I	2535189	Y34D9A.6.1	0.01885759855438351	0.412	NA	NA	NA	NA	NA	glrx-10	1064448	Local eQTL
t89_mean	I	2535189	Y47H9C.1.1	0.03168310253093199	0.412	NA	NA	NA	NA	NA	Y47H9C.1	11778216	Local eQTL
t89_mean	I	2535189	Y110A7A.3.1	0.023579134619158018	0.416	NA	NA	NA	NA	NA	unc-63	4775095	Local eQTL
t89_mean	I	2535189	Y74C9A.9	0.033115857285162434	0.421	NA	NA	NA	NA	NA	Y74C9A.9	2408326	Distant eQTL
t89_mean	I	2535189	W05F2.2	0.025642103756135164	0.422	NA	NA	NA	NA	NA	enu-3.4	6729971	Distant eQTL
t89_mean	I	2535189	Y92H12BR.6.1	0.022447633865769964	0.423	NA	NA	NA	NA	NA	set-29	1400428	Local eQTL
t89_mean	I	2535189	AH9.2.1	0.013167572635931787	0.426	NA	NA	NA	NA	NA	crn-4	1549172	Distant eQTL
t89_mean	I	2535189	M01B12.4c.2	0.021582227303913702	0.426	NA	NA	NA	NA	NA	M01B12.4	3073760	Local eQTL
t89_mean	I	2535189	F44E5.4.1	0.04716774629230404	0.427	NA	NA	NA	NA	NA	F44E5.4	2018645	Distant eQTL
t89_mean	I	2535189	Y71F9B.7.1	0.0157296918547403	0.429	NA	NA	NA	NA	NA	plk-2	2758220	Local eQTL
t89_mean	I	2535189	Y48G8AL.1e.1	0.01767037043796223	0.43	NA	NA	NA	NA	NA	herc-1	1221135	Local eQTL
t89_mean	I	2535189	Y92H12A.4a.1	0.05524208537532665	0.43	NA	NA	NA	NA	NA	ints-3	1498077	Local eQTL
t89_mean	I	2535189	Y17G9A.4.2	0.013366836257472368	0.431	NA	NA	NA	NA	NA	Y17G9A.4	2903989	Distant eQTL
t89_mean	I	2535189	Y65B4A.6b.1	0.03389531764688755	0.431	NA	NA	NA	NA	NA	Y65B4A.6	606864	Local eQTL
t89_mean	I	2535189	H15N14.1c.2	0.014479710420247273	0.436	NA	NA	NA	NA	NA	adr-1	6864402	Local eQTL
t89_mean	I	2535189	Y73E7A.1a.2	0.019792791679590294	0.438	NA	NA	NA	NA	NA	Y73E7A.1	1651794	Local eQTL
t89_mean	I	2535189	F48G7.12a.1	0.01674833605499101	0.444	NA	NA	NA	NA	NA	F48G7.12	2820424	Distant eQTL
t89_mean	I	2535189	T06A4.3b.1	0.015768386131687996	0.445	NA	NA	NA	NA	NA	T06A4.3	32533	Local eQTL
t89_mean	I	2535189	Y59H11AR.6	0.02538628015282329	0.454	NA	NA	NA	NA	NA	Y59H11AR.6	4357553	Distant eQTL
t89_mean	I	2535189	T23G4.1.1	0.024444095947826	0.455	NA	NA	NA	NA	NA	tlp-1	1549172	Distant eQTL
t89_mean	I	2535189	Y44E3B.1a.2	0.013139566071533427	0.455	NA	NA	NA	NA	NA	zip-4	3264891	Local eQTL
t89_mean	I	2535189	Y39G10AR.21a.1	0.026828089260393064	0.456	NA	NA	NA	NA	NA	nsun-4	2324491	Local eQTL
t89_mean	I	2535189	Y39G10AR.21a.2	0.01899988719327861	0.472	NA	NA	NA	NA	NA	nsun-4	2324491	Local eQTL
t89_mean	I	2535189	Y71F9AL.10b.1	0.01709243013682156	0.478	NA	NA	NA	NA	NA	Y71F9AL.10	2804940	Local eQTL
t89_mean	I	2535189	C30H6.1g.1	0.013936206471260981	0.483	NA	NA	NA	NA	NA	clec-199	3261566	Distant eQTL
t89_mean	I	2535189	Y34D9A.10.2	0.011170392570866477	0.484	NA	NA	NA	NA	NA	vps-4	571535	Local eQTL
t89_mean	I	2535189	Y65B4A.4.2	0.04682774802134847	0.486	NA	NA	NA	NA	NA	Y65B4A.4	630429	Local eQTL
t89_mean	I	2535189	D2005.4.2	0.011674782859469861	0.491	NA	NA	NA	NA	NA	D2005.4	7917218	Local eQTL
t89_mean	I	2535189	H31G24.3.1	0.012579815601996306	0.491	NA	NA	NA	NA	NA	H31G24.3	3977983	Local eQTL
t89_mean	I	2535189	K09H11.7.1	0.02207033462805634	0.493	NA	NA	NA	NA	NA	pgph-1	1886781	Distant eQTL
t89_mean	I	2535189	ZC434.7b.1	0.013865528649214582	0.495	NA	NA	NA	NA	NA	coa-6	10117295	Local eQTL
t89_mean	I	2535189	C10A4.3.1	0.00975457544120863	0.501	NA	NA	NA	NA	NA	C10A4.3	1549172	Distant eQTL
t89_mean	I	2535189	Y48G8AL.11b.1	0.015599872148191684	0.507	NA	NA	NA	NA	NA	haf-6	1139198	Local eQTL
t89_mean	I	2535189	C30C11.4.2	0.015120189880642008	0.509	NA	NA	NA	NA	NA	hsp-110	2359948	Distant eQTL
t89_mean	I	2535189	Y48G1C.5.1	0.009348708258286039	0.511	NA	NA	NA	NA	NA	Y48G1C.5	362395	Local eQTL
t89_mean	I	2535189	K10C3.5b.1	0.01500387162707791	0.513	NA	NA	NA	NA	NA	K10C3.5	9651408	Local eQTL
t89_mean	I	2535189	Y51H1A.3a.1	0.011416504326218763	0.514	NA	NA	NA	NA	NA	Y51H1A.3	2707175	Distant eQTL
t89_mean	I	2535189	Y71G12B.31b.1	0.008593453878462234	0.516	NA	NA	NA	NA	NA	Y71G12B.31	1575606	Local eQTL
t89_mean	I	2535189	C41D11.1b.2	0.029904037518547564	0.519	NA	NA	NA	NA	NA	eri-6	4502140	Local eQTL
t89_mean	I	2535189	B0041.2b.1	0.01868413138472381	0.521	NA	NA	NA	NA	NA	ain-2	4622776	Local eQTL
t89_mean	I	2535189	K09H9.8.2	0.009323282140815911	0.521	NA	NA	NA	NA	NA	K09H9.8	3135376	Local eQTL
t89_mean	I	2535189	Y18H1A.1.1	0.022579725365199404	0.524	NA	NA	NA	NA	NA	ptp-5.3	32533	Local eQTL
t89_mean	I	2535189	Y51F10.11.1	0.025876998335264217	0.524	NA	NA	NA	NA	NA	Y51F10.11	2086842	Local eQTL
t89_mean	I	2535189	K02F2.4.1	0.027924711863989045	0.53	NA	NA	NA	NA	NA	ulp-5	2013029	Distant eQTL
t89_mean	I	2535189	Y39D8A.1a.1	0.020104105397974054	0.534	NA	NA	NA	NA	NA	Y39D8A.1	3110638	Distant eQTL
t89_mean	I	2535189	Y48G1A.6a.1	0.01124618764464564	0.535	NA	NA	NA	NA	NA	mbtr-1	435940	Local eQTL
t89_mean	I	2535189	VH15N14R.1.1	0.014023922043985053	0.536	NA	NA	NA	NA	NA	VH15N14R.1	7802091	Local eQTL
t89_mean	I	2535189	Y92H12BR.8.1	0.02804286952918293	0.536	NA	NA	NA	NA	NA	mrpl-15	1435250	Local eQTL
t89_mean	I	2535189	C05E11.3b.1	0.013311066082638753	0.537	NA	NA	NA	NA	NA	C05E11.3	3689285	Distant eQTL
t89_mean	I	2535189	M01D7.2a.2	0.00808447354169586	0.538	NA	NA	NA	NA	NA	scm-1	1902516	Local eQTL
t89_mean	I	2535189	D1086.4a.1	0.016967772775136936	0.542	NA	NA	NA	NA	NA	him-5	1636553	Distant eQTL
t89_mean	I	2535189	Y92H12A.4a.2	0.02936504868601634	0.542	NA	NA	NA	NA	NA	ints-3	1653135	Local eQTL
t89_mean	I	2535189	C06A5.7a.2	0.01835435452360804	0.544	NA	NA	NA	NA	NA	unc-94	6074462	Local eQTL
t89_mean	I	2535189	Y71G12B.10.2	0.017773417897677016	0.544	NA	NA	NA	NA	NA	Y71G12B.10	1733512	Local eQTL
t89_mean	I	2535189	Y54E10A.4c.1	0.009357803916550063	0.548	NA	NA	NA	NA	NA	fog-1	3217227	Local eQTL
t89_mean	I	2535189	Y23H5B.7b	0.024165004982888885	0.552	NA	NA	NA	NA	NA	Y23H5B.7	2561962	Local eQTL
t89_mean	I	2535189	R12E2.12.2	0.00836942355065492	0.554	NA	NA	NA	NA	NA	mrps-6	4266657	Local eQTL
t89_mean	I	2535189	Y71F9AR.2.1	0.012816969452142791	0.554	NA	NA	NA	NA	NA	Y71F9AR.2	2823448	Local eQTL
t89_mean	I	2535189	Y48G8AL.5a.1	0.020341140613119653	0.556	NA	NA	NA	NA	NA	nsun-2	1185263	Local eQTL
t89_mean	I	2535189	Y18H1A.4.1	0.009573251632697868	0.558	NA	NA	NA	NA	NA	Y18H1A.4	777407	Local eQTL
t89_mean	I	2535189	Y37E3.5b.1	0.007213836738059728	0.56	NA	NA	NA	NA	NA	arl-13	2111624	Local eQTL
t89_mean	I	2535189	R10E4.2g.2	0.012723471018167476	0.561	NA	NA	NA	NA	NA	sup-26	2941076	Distant eQTL
t89_mean	I	2535189	Y47G6A.27	0.01239512903504105	0.562	NA	NA	NA	NA	NA	miro-3	3554258	Local eQTL
t89_mean	I	2535189	T27A3.6.2	0.025941776910484254	0.57	NA	NA	NA	NA	NA	nmrk-1	4978135	Distant eQTL
t89_mean	I	2535189	Y92H12BR.4	0.019401768477690762	0.574	NA	NA	NA	NA	NA	Y92H12BR.4	1435250	Local eQTL
t89_mean	I	2535189	F56D6.16	0.030043686859191874	0.577	NA	NA	NA	NA	NA	F56D6.16	4446767	Distant eQTL
t89_mean	I	2535189	C41D11.1a.2	0.01212991916407414	0.579	NA	NA	NA	NA	NA	eri-6	4434616	Local eQTL
t89_mean	I	2535189	C18E3.7c.1	0.009465449275199713	0.58	NA	NA	NA	NA	NA	ppw-1	3977983	Local eQTL
t89_mean	I	2535189	C41D11.1e.1	0.021622678557779933	0.588	NA	NA	NA	NA	NA	eri-6	4434616	Local eQTL
t89_mean	I	2535189	Y65B4A.6a.1	0.015903026632854457	0.591	NA	NA	NA	NA	NA	Y65B4A.6	606864	Local eQTL
t89_mean	I	2535189	B0250.3	0.03080713089026262	0.592	NA	NA	NA	NA	NA	B0250.3	1689321	Distant eQTL
t89_mean	I	2535189	E01A2.7.2	0.010150301296146552	0.596	NA	NA	NA	NA	NA	poml-2	4316884	Local eQTL
t89_mean	I	2535189	Y48G1BR.1.1	0.007024955052074199	0.598	NA	NA	NA	NA	NA	Y48G1BR.1	148495	Local eQTL
t89_mean	I	2535189	C55B7.4b.1	0.014685308576030773	0.599	NA	NA	NA	NA	NA	acdh-1	1536513	Distant eQTL
t89_mean	I	2535189	K01A11.1.1	0.009678499375285516	0.6	NA	NA	NA	NA	NA	K01A11.1	1139949	Distant eQTL
t89_mean	I	2535189	Y48G8AL.6.1	0.007841464711715276	0.601	NA	NA	NA	NA	NA	smg-2	1149835	Local eQTL
