gwtrait	gwchr	gwpeak	mediator	multi_abs_est	multi_padjust	var	estimate	ci_lower	ci_upper	prob	mediator_gene	e_peak	eQTL_classification
t97_mean	II	38586	T08E11.8	0.15026976967677383	0.029	med	0.1818525786023356	-0.05866564458826858	0.5652077184173788	0.198	T08E11.8	1177776	Local eQTL
t97_mean	II	38586	T08E11.8	0.15026976967677383	0.029	direct	0.14592365820196265	-0.21771237779198324	0.46387221542830737	0.342	T08E11.8	1177776	Local eQTL
t97_mean	II	38586	T08E11.8	0.15026976967677383	0.029	total	0.32777623680429824	-0.11350298773391868	0.8226044150559891	0.19	T08E11.8	1177776	Local eQTL
t97_mean	II	38586	T08E11.8	0.15026976967677383	0.029	prop_med	0.5548070853925642	-1.9344921403311972	2.1749672980979247	0.316	T08E11.8	1177776	Local eQTL
t97_mean	II	38586	K06C4.11.1	0.0815923649500438	0.043	med	-0.0870053786923127	-0.23194758705450666	-7.734773835366463e-6	0.05	his-19	2319784	Distant eQTL
t97_mean	II	38586	K06C4.11.1	0.0815923649500438	0.043	direct	0.5696023913488044	0.26031180086714145	0.8904028745828897	0.002	his-19	2319784	Distant eQTL
t97_mean	II	38586	K06C4.11.1	0.0815923649500438	0.043	total	0.4825970126564917	0.1518024409988764	0.8047716335852727	0.006	his-19	2319784	Distant eQTL
t97_mean	II	38586	K06C4.11.1	0.0815923649500438	0.043	prop_med	-0.18028577966818532	-0.8348242072619276	0.009830629788243037	0.056	his-19	2319784	Distant eQTL
t97_mean	II	38586	F07B7.3.1	0.0815923649500438	0.046	med	-0.0870053786923127	-0.22977494684637678	7.648618209979843e-5	0.052	his-53	2319784	Distant eQTL
t97_mean	II	38586	F07B7.3.1	0.0815923649500438	0.046	direct	0.5696023913488044	0.2636073761707378	0.8789525792442917	0	his-53	2319784	Distant eQTL
t97_mean	II	38586	F07B7.3.1	0.0815923649500438	0.046	total	0.4825970126564917	0.1686000707346437	0.8104551635133501	0	his-53	2319784	Distant eQTL
t97_mean	II	38586	F07B7.3.1	0.0815923649500438	0.046	prop_med	-0.18028577966818532	-0.9043330207868616	1.1393474625055885e-4	0.052	his-53	2319784	Distant eQTL
t97_mean	II	38586	F46F5.4	0.0822281997028128	0.046	med	0.08790503652975348	-0.005444330177110944	0.25537557023145974	0.06	F46F5.4	749717	Local eQTL
t97_mean	II	38586	F46F5.4	0.0822281997028128	0.046	direct	0.39469197612673845	0.07803760753784938	0.7258286355316266	0.022	F46F5.4	749717	Local eQTL
t97_mean	II	38586	F46F5.4	0.0822281997028128	0.046	total	0.4825970126564919	0.17672261149230192	0.8226415893437848	0.008	F46F5.4	749717	Local eQTL
t97_mean	II	38586	F46F5.4	0.0822281997028128	0.046	prop_med	0.18214998067616195	-0.026292731604985308	0.6445890947382601	0.068	F46F5.4	749717	Local eQTL
t97_mean	II	38586	K06C4.3.1	0.0815923649500438	0.054	NA	NA	NA	NA	NA	his-21	2319784	Distant eQTL
t97_mean	II	38586	F07B7.10.1	0.0815923649500438	0.055	NA	NA	NA	NA	NA	his-51	2319784	Distant eQTL
t97_mean	II	38586	K01A2.3a	0.08330064366084154	0.059	NA	NA	NA	NA	NA	K01A2.3	775060	Local eQTL
t97_mean	II	38586	C08G5.1	0.11565289936842924	0.078	med	0.1333133906102857	-0.030724058280730056	0.4402085660315768	0.132	C08G5.1	485573	Local eQTL
t97_mean	II	38586	C08G5.1	0.11565289936842924	0.078	direct	0.34928362204620644	-0.04141952656981904	0.7029643241335246	0.082	C08G5.1	485573	Local eQTL
t97_mean	II	38586	C08G5.1	0.11565289936842924	0.078	total	0.48259701265649213	0.1776670544726595	0.7805710486092065	0.002	C08G5.1	485573	Local eQTL
t97_mean	II	38586	C08G5.1	0.11565289936842924	0.078	prop_med	0.27624164077695373	-0.06651671371020626	1.1119777807037994	0.134	C08G5.1	485573	Local eQTL
