Plate Number,Genotype,Well Number,Lifespan Estimate (Days),Healthspan Estimate (Days),Activity Type,Time Point (Days),Activity
1,CB4856,2,13.5,9.5,-2,9.5,586
1,CB4856,2,13.5,9.5,-2,10,572
1,CB4856,2,13.5,9.5,-2,10.5,260
1,CB4856,2,13.5,9.5,-2,11,251
1,CB4856,2,13.5,9.5,-2,11.5,8
1,CB4856,2,13.5,9.5,-2,12,75
1,CB4856,2,13.5,9.5,-2,12.5,0
1,CB4856,2,13.5,9.5,-2,13,295
1,CB4856,2,13.5,9.5,-2,13.5,0
1,CB4856,2,13.5,9.5,-2,14.5,0
1,CB4856,2,13.5,9.5,-2,15,0
1,CB4856,2,13.5,9.5,-2,15.5,0
1,CB4856,2,13.5,9.5,-2,16,0
1,CB4856,2,13.5,9.5,-2,16.5,12
1,CB4856,2,13.5,9.5,-2,17,0
1,CB4856,2,13.5,9.5,-2,17.5,0
1,CB4856,2,13.5,9.5,-2,18,0
1,CX11314,1,12.5,9,-1,1.5,1183
1,CX11314,1,12.5,9,-1,2,231
1,CX11314,1,12.5,9,-1,2.5,937
1,CX11314,1,12.5,9,-1,3,1373
1,CX11314,1,12.5,9,-1,3.5,0
1,CX11314,1,12.5,9,-1,4,0
1,CX11314,1,12.5,9,-1,4.5,1310
1,CX11314,1,12.5,9,-1,5,1694
1,CX11314,1,12.5,9,-1,5.5,0
1,CX11314,1,12.5,9,-1,6,1846
1,CX11314,1,12.5,9,-1,6.5,0
1,CX11314,1,12.5,9,-1,7,0
1,CX11314,1,12.5,9,-1,7.5,589
1,CX11314,1,12.5,9,-1,8,138
1,CX11314,1,12.5,9,-1,8.5,345
1,CX11314,1,12.5,9,-1,9,177
1,CX11314,1,12.5,9,-1,9.5,499
1,CX11314,1,12.5,9,-1,10,171
1,CX11314,1,12.5,9,-1,10.5,236
1,CX11314,1,12.5,9,-1,11,395
1,CX11314,1,12.5,9,-1,11.5,118
1,CX11314,1,12.5,9,-1,12,48
1,CX11314,1,12.5,9,-1,12.5,42
1,CX11314,1,12.5,9,-1,13,75
1,CX11314,1,12.5,9,-1,13.5,16
1,CX11314,1,12.5,9,-1,14.5,3
1,CX11314,1,12.5,9,-1,15,2
1,CX11314,1,12.5,9,-1,15.5,2
1,CX11314,1,12.5,9,-1,16,0
1,CX11314,1,12.5,9,-1,16.5,1
1,CX11314,1,12.5,9,-1,17,0
1,CX11314,1,12.5,9,-1,17.5,0
1,CX11314,1,12.5,9,-1,18,0
1,CX11314,1,12.5,9,-2,1.5,201
1,CX11314,1,12.5,9,-2,2,88
1,CX11314,1,12.5,9,-2,2.5,502
1,CX11314,1,12.5,9,-2,3,979
1,CX11314,1,12.5,9,-2,3.5,0
1,CX11314,1,12.5,9,-2,4,0
1,CX11314,1,12.5,9,-2,4.5,650
1,CX11314,1,12.5,9,-2,5,1017
1,CX11314,1,12.5,9,-2,5.5,0
1,CX11314,1,12.5,9,-2,6,697
1,CX11314,1,12.5,9,-2,6.5,0
1,CX11314,1,12.5,9,-2,7,0
1,CX11314,1,12.5,9,-2,7.5,223
1,CX11314,1,12.5,9,-2,8,112
1,CX11314,1,12.5,9,-2,8.5,285
1,CX11314,1,12.5,9,-2,9,57
1,CX11314,1,12.5,9,-2,9.5,173
1,CX11314,1,12.5,9,-2,10,8
1,CX11314,1,12.5,9,-2,10.5,98
1,CX11314,1,12.5,9,-2,11,95
1,CX11314,1,12.5,9,-2,11.5,2
1,CX11314,1,12.5,9,-2,12,6
1,CX11314,1,12.5,9,-2,12.5,0
1,CX11314,1,12.5,9,-2,13,3
1,CX11314,1,12.5,9,-2,13.5,20
1,CX11314,1,12.5,9,-2,14.5,0
1,CX11314,1,12.5,9,-2,15,0
1,CX11314,1,12.5,9,-2,15.5,0
1,CX11314,1,12.5,9,-2,16,0
1,CX11314,1,12.5,9,-2,16.5,0
1,CX11314,1,12.5,9,-2,17,2
1,CX11314,1,12.5,9,-2,17.5,0
1,CX11314,1,12.5,9,-2,18,0
1,CX11314,2,13.5,10.5,-1,1.5,39
1,CX11314,2,13.5,10.5,-1,2,264
1,CX11314,2,13.5,10.5,-1,2.5,491
1,CX11314,2,13.5,10.5,-1,3,549
1,CX11314,2,13.5,10.5,-1,3.5,0
1,CX11314,2,13.5,10.5,-1,4,0
1,CX11314,2,13.5,10.5,-1,4.5,632
1,CX11314,2,13.5,10.5,-1,5,1186
1,CX11314,2,13.5,10.5,-1,5.5,0
1,CX11314,2,13.5,10.5,-1,6,823
1,CX11314,2,13.5,10.5,-1,6.5,0
1,CX11314,2,13.5,10.5,-1,7,0
1,CX11314,2,13.5,10.5,-1,7.5,587
1,CX11314,2,13.5,10.5,-1,8,663
1,CX11314,2,13.5,10.5,-1,8.5,663
1,CX11314,2,13.5,10.5,-1,9,468
1,CX11314,2,13.5,10.5,-1,9.5,433
1,CX11314,2,13.5,10.5,-1,10,390
1,CX11314,2,13.5,10.5,-1,10.5,417
1,CX11314,2,13.5,10.5,-1,11,168
1,CX11314,2,13.5,10.5,-1,11.5,376
1,CX11314,2,13.5,10.5,-1,12,174
1,CX11314,2,13.5,10.5,-1,12.5,93
1,CX11314,2,13.5,10.5,-1,13,57
1,CX11314,2,13.5,10.5,-1,13.5,33
1,CX11314,2,13.5,10.5,-1,14.5,10
1,CX11314,2,13.5,10.5,-1,15,30
1,CX11314,2,13.5,10.5,-1,15.5,9
1,CX11314,2,13.5,10.5,-1,16,0
1,CX11314,2,13.5,10.5,-1,16.5,6
1,CX11314,2,13.5,10.5,-1,17,0
1,CX11314,2,13.5,10.5,-1,17.5,0
1,CX11314,2,13.5,10.5,-1,18,0
1,CX11314,2,13.5,10.5,-2,1.5,51
1,CX11314,2,13.5,10.5,-2,2,300
1,CX11314,2,13.5,10.5,-2,2.5,178
1,CX11314,2,13.5,10.5,-2,3,394
1,CX11314,2,13.5,10.5,-2,3.5,0
1,CX11314,2,13.5,10.5,-2,4,0
1,CX11314,2,13.5,10.5,-2,4.5,461
1,CX11314,2,13.5,10.5,-2,5,620
1,CX11314,2,13.5,10.5,-2,5.5,0
1,CX11314,2,13.5,10.5,-2,6,340
1,CX11314,2,13.5,10.5,-2,6.5,0
1,CX11314,2,13.5,10.5,-2,7,0
1,CX11314,2,13.5,10.5,-2,7.5,471
1,CX11314,2,13.5,10.5,-2,8,462
1,CX11314,2,13.5,10.5,-2,8.5,184
1,CX11314,2,13.5,10.5,-2,9,110
1,CX11314,2,13.5,10.5,-2,9.5,31
1,CX11314,2,13.5,10.5,-2,10,207
1,CX11314,2,13.5,10.5,-2,10.5,110
1,CX11314,2,13.5,10.5,-2,11,24
1,CX11314,2,13.5,10.5,-2,11.5,95
1,CX11314,2,13.5,10.5,-2,12,37
1,CX11314,2,13.5,10.5,-2,12.5,27
1,CX11314,2,13.5,10.5,-2,13,5
1,CX11314,2,13.5,10.5,-2,13.5,0
1,CX11314,2,13.5,10.5,-2,14.5,0
1,CX11314,2,13.5,10.5,-2,15,0
1,CX11314,2,13.5,10.5,-2,15.5,0
1,CX11314,2,13.5,10.5,-2,16,0
1,CX11314,2,13.5,10.5,-2,16.5,11
1,CX11314,2,13.5,10.5,-2,17,0
1,CX11314,2,13.5,10.5,-2,17.5,0
1,CX11314,2,13.5,10.5,-2,18,0
1,JU775,1,15,9.5,-1,1.5,481
1,JU775,1,15,9.5,-1,2,1731
1,JU775,1,15,9.5,-1,2.5,2666
1,JU775,1,15,9.5,-1,3,2991
1,JU775,1,15,9.5,-1,3.5,0
1,JU775,1,15,9.5,-1,4,0
1,JU775,1,15,9.5,-1,4.5,3536
1,JU775,1,15,9.5,-1,5,2870
1,JU775,1,15,9.5,-1,5.5,0
1,JU775,1,15,9.5,-1,6,3380
1,JU775,1,15,9.5,-1,6.5,0
1,JU775,1,15,9.5,-1,7,0
1,JU775,1,15,9.5,-1,7.5,907
1,JU775,1,15,9.5,-1,8,995
1,JU775,1,15,9.5,-1,8.5,1057
1,JU775,1,15,9.5,-1,9,1369
1,JU775,1,15,9.5,-1,9.5,1808
1,JU775,1,15,9.5,-1,10,810
1,JU775,1,15,9.5,-1,10.5,764
1,JU775,1,15,9.5,-1,11,582
1,JU775,1,15,9.5,-1,11.5,450
1,JU775,1,15,9.5,-1,12,417
1,JU775,1,15,9.5,-1,12.5,361
1,JU775,1,15,9.5,-1,13,101
1,JU775,1,15,9.5,-1,13.5,48
1,JU775,1,15,9.5,-1,14.5,192
1,JU775,1,15,9.5,-1,15,110
1,JU775,1,15,9.5,-1,15.5,85
1,JU775,1,15,9.5,-1,16,48
1,JU775,1,15,9.5,-1,16.5,0
1,JU775,1,15,9.5,-1,17,54
1,JU775,1,15,9.5,-1,17.5,0
1,JU775,1,15,9.5,-1,18,43
1,JU775,1,15,9.5,-2,1.5,482
1,JU775,1,15,9.5,-2,2,394
1,JU775,1,15,9.5,-2,2.5,636
1,JU775,1,15,9.5,-2,3,845
1,JU775,1,15,9.5,-2,3.5,0
1,JU775,1,15,9.5,-2,4,0
1,JU775,1,15,9.5,-2,4.5,1861
1,JU775,1,15,9.5,-2,5,1683
1,JU775,1,15,9.5,-2,5.5,0
1,JU775,1,15,9.5,-2,6,1695
1,JU775,1,15,9.5,-2,6.5,0
1,JU775,1,15,9.5,-2,7,0
1,JU775,1,15,9.5,-2,7.5,398
1,JU775,1,15,9.5,-2,8,619
1,JU775,1,15,9.5,-2,8.5,979
1,JU775,1,15,9.5,-2,9,1143
1,JU775,1,15,9.5,-2,9.5,1103
1,JU775,1,15,9.5,-2,10,341
1,JU775,1,15,9.5,-2,10.5,606
1,JU775,1,15,9.5,-2,11,71
1,JU775,1,15,9.5,-2,11.5,207
1,JU775,1,15,9.5,-2,12,307
1,JU775,1,15,9.5,-2,12.5,130
1,JU775,1,15,9.5,-2,13,152
1,JU775,1,15,9.5,-2,13.5,0
1,JU775,1,15,9.5,-2,14.5,150
1,JU775,1,15,9.5,-2,15,0
1,JU775,1,15,9.5,-2,15.5,0
1,JU775,1,15,9.5,-2,16,18
1,JU775,1,15,9.5,-2,16.5,99
1,JU775,1,15,9.5,-2,17,23
1,JU775,1,15,9.5,-2,17.5,0
1,JU775,1,15,9.5,-2,18,0
1,JU775,2,13.5,10,-1,1.5,77
1,JU775,2,13.5,10,-1,2,822
1,JU775,2,13.5,10,-1,2.5,898
1,JU775,2,13.5,10,-1,3,1619
1,JU775,2,13.5,10,-1,3.5,0
1,JU775,2,13.5,10,-1,4,0
1,JU775,2,13.5,10,-1,4.5,2206
1,JU775,2,13.5,10,-1,5,3040
1,JU775,2,13.5,10,-1,5.5,0
1,JU775,2,13.5,10,-1,6,2347
1,JU775,2,13.5,10,-1,6.5,0
1,JU775,2,13.5,10,-1,7,0
1,JU775,2,13.5,10,-1,7.5,1792
1,JU775,2,13.5,10,-1,8,1054
1,JU775,2,13.5,10,-1,8.5,858
1,JU775,2,13.5,10,-1,9,1240
1,JU775,2,13.5,10,-1,9.5,750
1,JU775,2,13.5,10,-1,10,1446
1,JU775,2,13.5,10,-1,10.5,737
1,JU775,2,13.5,10,-1,11,347
1,JU775,2,13.5,10,-1,11.5,376
1,JU775,2,13.5,10,-1,12,230
1,JU775,2,13.5,10,-1,12.5,143
1,JU775,2,13.5,10,-1,13,283
1,JU775,2,13.5,10,-1,13.5,188
1,JU775,2,13.5,10,-1,14.5,20
1,JU775,2,13.5,10,-1,15,8
1,JU775,2,13.5,10,-1,15.5,9
1,JU775,2,13.5,10,-1,16,15
1,JU775,2,13.5,10,-1,16.5,5
1,JU775,2,13.5,10,-1,17,29
1,JU775,2,13.5,10,-1,17.5,0
1,JU775,2,13.5,10,-1,18,7
1,JU775,2,13.5,10,-2,1.5,3
1,JU775,2,13.5,10,-2,2,145
1,JU775,2,13.5,10,-2,2.5,200
1,JU775,2,13.5,10,-2,3,403
1,JU775,2,13.5,10,-2,3.5,0
1,JU775,2,13.5,10,-2,4,0
1,JU775,2,13.5,10,-2,4.5,899
1,JU775,2,13.5,10,-2,5,1254
1,JU775,2,13.5,10,-2,5.5,0
1,JU775,2,13.5,10,-2,6,992
1,JU775,2,13.5,10,-2,6.5,0
1,JU775,2,13.5,10,-2,7,0
1,JU775,2,13.5,10,-2,7.5,1252
1,JU775,2,13.5,10,-2,8,824
1,JU775,2,13.5,10,-2,8.5,407
1,JU775,2,13.5,10,-2,9,479
1,JU775,2,13.5,10,-2,9.5,183
1,JU775,2,13.5,10,-2,10,774
1,JU775,2,13.5,10,-2,10.5,237
1,JU775,2,13.5,10,-2,11,214
1,JU775,2,13.5,10,-2,11.5,97
1,JU775,2,13.5,10,-2,12,38
1,JU775,2,13.5,10,-2,12.5,70
1,JU775,2,13.5,10,-2,13,362
1,JU775,2,13.5,10,-2,13.5,53
1,JU775,2,13.5,10,-2,14.5,7
1,JU775,2,13.5,10,-2,15,0
1,JU775,2,13.5,10,-2,15.5,48
1,JU775,2,13.5,10,-2,16,0
1,JU775,2,13.5,10,-2,16.5,1
1,JU775,2,13.5,10,-2,17,12
1,JU775,2,13.5,10,-2,17.5,0
1,JU775,2,13.5,10,-2,18,0
1,JU258,1,13,9.5,-1,1.5,688
1,JU258,1,13,9.5,-1,2,426
1,JU258,1,13,9.5,-1,2.5,908
1,JU258,1,13,9.5,-1,3,1182
1,JU258,1,13,9.5,-1,3.5,0
1,JU258,1,13,9.5,-1,4,0
1,JU258,1,13,9.5,-1,4.5,4070
1,JU258,1,13,9.5,-1,5,4998
1,JU258,1,13,9.5,-1,5.5,0
1,JU258,1,13,9.5,-1,6,4615
1,JU258,1,13,9.5,-1,6.5,0
1,JU258,1,13,9.5,-1,7,0
1,JU258,1,13,9.5,-1,7.5,1801
1,JU258,1,13,9.5,-1,8,2075
1,JU258,1,13,9.5,-1,8.5,1762
1,JU258,1,13,9.5,-1,9,1761
1,JU258,1,13,9.5,-1,9.5,930
1,JU258,1,13,9.5,-1,10,1199
1,JU258,1,13,9.5,-1,10.5,646
1,JU258,1,13,9.5,-1,11,345
1,JU258,1,13,9.5,-1,11.5,618
1,JU258,1,13,9.5,-1,12,389
1,JU258,1,13,9.5,-1,12.5,142
1,JU258,1,13,9.5,-1,13,201
1,JU258,1,13,9.5,-1,13.5,92
1,JU258,1,13,9.5,-1,14.5,39
1,JU258,1,13,9.5,-1,15,42
1,JU258,1,13,9.5,-1,15.5,28
1,JU258,1,13,9.5,-1,16,15
1,JU258,1,13,9.5,-1,16.5,0
1,JU258,1,13,9.5,-1,17,9
1,JU258,1,13,9.5,-1,17.5,0
1,JU258,1,13,9.5,-1,18,2
1,JU258,1,13,9.5,-2,1.5,1081
1,JU258,1,13,9.5,-2,2,247
1,JU258,1,13,9.5,-2,2.5,599
1,JU258,1,13,9.5,-2,3,661
1,JU258,1,13,9.5,-2,3.5,0
1,JU258,1,13,9.5,-2,4,0
1,JU258,1,13,9.5,-2,4.5,3478
1,JU258,1,13,9.5,-2,5,3106
1,JU258,1,13,9.5,-2,5.5,0
1,JU258,1,13,9.5,-2,6,1985
1,JU258,1,13,9.5,-2,6.5,0
1,JU258,1,13,9.5,-2,7,0
1,JU258,1,13,9.5,-2,7.5,1146
1,JU258,1,13,9.5,-2,8,1352
1,JU258,1,13,9.5,-2,8.5,1152
1,JU258,1,13,9.5,-2,9,1040
1,JU258,1,13,9.5,-2,9.5,600
1,JU258,1,13,9.5,-2,10,697
1,JU258,1,13,9.5,-2,10.5,257
1,JU258,1,13,9.5,-2,11,190
1,JU258,1,13,9.5,-2,11.5,398
1,JU258,1,13,9.5,-2,12,171
1,JU258,1,13,9.5,-2,12.5,77
1,JU258,1,13,9.5,-2,13,60
1,JU258,1,13,9.5,-2,13.5,18
1,JU258,1,13,9.5,-2,14.5,0
1,JU258,1,13,9.5,-2,15,4
1,JU258,1,13,9.5,-2,15.5,0
1,JU258,1,13,9.5,-2,16,0
1,JU258,1,13,9.5,-2,16.5,13
1,JU258,1,13,9.5,-2,17,0
1,JU258,1,13,9.5,-2,17.5,0
1,JU258,1,13,9.5,-2,18,0
1,JU258,2,14.5,10.5,-1,1.5,167
1,JU258,2,14.5,10.5,-1,2,247
1,JU258,2,14.5,10.5,-1,2.5,465
1,JU258,2,14.5,10.5,-1,3,403
1,JU258,2,14.5,10.5,-1,3.5,0
1,JU258,2,14.5,10.5,-1,4,0
1,JU258,2,14.5,10.5,-1,4.5,1733
1,JU258,2,14.5,10.5,-1,5,2564
1,JU258,2,14.5,10.5,-1,5.5,0
1,JU258,2,14.5,10.5,-1,6,3996
1,JU258,2,14.5,10.5,-1,6.5,0
1,JU258,2,14.5,10.5,-1,7,0
1,JU258,2,14.5,10.5,-1,7.5,4543
1,JU258,2,14.5,10.5,-1,8,2970
1,JU258,2,14.5,10.5,-1,8.5,3111
1,JU258,2,14.5,10.5,-1,9,2867
1,JU258,2,14.5,10.5,-1,9.5,2255
1,JU258,2,14.5,10.5,-1,10,2160
