Plate Number,Genotype,Well Number,Lifespan Estimate (Days),Healthspan Estimate (Days),Activity Type,Time Point (Days),Activity
1,N2,1,10,6,-1,1.5,331
1,N2,1,10,6,-1,2,635
1,N2,1,10,6,-1,2.5,311
1,N2,1,10,6,-1,3,586
1,N2,1,10,6,-1,3.5,0
1,N2,1,10,6,-1,4,0
1,N2,1,10,6,-1,4.5,913
1,N2,1,10,6,-1,5,1078
1,N2,1,10,6,-1,5.5,0
1,N2,1,10,6,-1,6,620
1,N2,1,10,6,-1,6.5,0
1,N2,1,10,6,-1,7,0
1,N2,1,10,6,-1,7.5,20
1,N2,1,10,6,-1,8,126
1,N2,1,10,6,-1,8.5,31
1,N2,1,10,6,-1,9,1
1,N2,1,10,6,-1,9.5,19
1,N2,1,10,6,-1,10,27
1,N2,1,10,6,-1,10.5,10
1,N2,1,10,6,-1,11,2
1,N2,1,10,6,-1,11.5,5
1,N2,1,10,6,-1,12,0
1,N2,1,10,6,-1,12.5,0
1,N2,1,10,6,-1,13,3
1,N2,1,10,6,-1,13.5,0
1,N2,1,10,6,-1,14.5,2
1,N2,1,10,6,-1,15,2
1,N2,1,10,6,-1,15.5,1
1,N2,1,10,6,-1,16,1
1,N2,1,10,6,-1,16.5,0
1,N2,1,10,6,-1,17,1
1,N2,1,10,6,-1,17.5,0
1,N2,1,10,6,-1,18,1
1,N2,1,10,6,-2,1.5,553
1,N2,1,10,6,-2,2,346
1,N2,1,10,6,-2,2.5,113
1,N2,1,10,6,-2,3,401
1,N2,1,10,6,-2,3.5,0
1,N2,1,10,6,-2,4,0
1,N2,1,10,6,-2,4.5,296
1,N2,1,10,6,-2,5,529
1,N2,1,10,6,-2,5.5,0
1,N2,1,10,6,-2,6,402
1,N2,1,10,6,-2,6.5,0
1,N2,1,10,6,-2,7,0
1,N2,1,10,6,-2,7.5,13
1,N2,1,10,6,-2,8,75
1,N2,1,10,6,-2,8.5,20
1,N2,1,10,6,-2,9,40
1,N2,1,10,6,-2,9.5,6
1,N2,1,10,6,-2,10,6
1,N2,1,10,6,-2,10.5,0
1,N2,1,10,6,-2,11,0
1,N2,1,10,6,-2,11.5,0
1,N2,1,10,6,-2,12,0
1,N2,1,10,6,-2,12.5,0
1,N2,1,10,6,-2,13,1
1,N2,1,10,6,-2,13.5,0
1,N2,1,10,6,-2,14.5,0
1,N2,1,10,6,-2,15,7
1,N2,1,10,6,-2,15.5,0
1,N2,1,10,6,-2,16,0
1,N2,1,10,6,-2,16.5,2
1,N2,1,10,6,-2,17,0
1,N2,1,10,6,-2,17.5,0
1,N2,1,10,6,-2,18,0
1,N2,2,10.5,6,-1,1.5,241
1,N2,2,10.5,6,-1,2,1122
1,N2,2,10.5,6,-1,2.5,1360
1,N2,2,10.5,6,-1,3,1671
1,N2,2,10.5,6,-1,3.5,0
1,N2,2,10.5,6,-1,4,0
1,N2,2,10.5,6,-1,4.5,1843
1,N2,2,10.5,6,-1,5,1112
1,N2,2,10.5,6,-1,5.5,0
1,N2,2,10.5,6,-1,6,914
1,N2,2,10.5,6,-1,6.5,0
1,N2,2,10.5,6,-1,7,0
1,N2,2,10.5,6,-1,7.5,248
1,N2,2,10.5,6,-1,8,128
1,N2,2,10.5,6,-1,8.5,280
1,N2,2,10.5,6,-1,9,99
1,N2,2,10.5,6,-1,9.5,95
1,N2,2,10.5,6,-1,10,81
1,N2,2,10.5,6,-1,10.5,49
1,N2,2,10.5,6,-1,11,12
1,N2,2,10.5,6,-1,11.5,8
1,N2,2,10.5,6,-1,12,8
1,N2,2,10.5,6,-1,12.5,14
1,N2,2,10.5,6,-1,13,0
1,N2,2,10.5,6,-1,13.5,0
1,N2,2,10.5,6,-1,14.5,22
1,N2,2,10.5,6,-1,15,7
1,N2,2,10.5,6,-1,15.5,6
1,N2,2,10.5,6,-1,16,0
1,N2,2,10.5,6,-1,16.5,17
1,N2,2,10.5,6,-1,17,0
1,N2,2,10.5,6,-1,17.5,0
1,N2,2,10.5,6,-1,18,1
1,N2,2,10.5,6,-2,1.5,199
1,N2,2,10.5,6,-2,2,502
1,N2,2,10.5,6,-2,2.5,710
1,N2,2,10.5,6,-2,3,704
1,N2,2,10.5,6,-2,3.5,0
1,N2,2,10.5,6,-2,4,0
1,N2,2,10.5,6,-2,4.5,1034
1,N2,2,10.5,6,-2,5,669
1,N2,2,10.5,6,-2,5.5,0
1,N2,2,10.5,6,-2,6,377
1,N2,2,10.5,6,-2,6.5,0
1,N2,2,10.5,6,-2,7,0
1,N2,2,10.5,6,-2,7.5,86
1,N2,2,10.5,6,-2,8,66
1,N2,2,10.5,6,-2,8.5,101
1,N2,2,10.5,6,-2,9,128
1,N2,2,10.5,6,-2,9.5,87
1,N2,2,10.5,6,-2,10,71
1,N2,2,10.5,6,-2,10.5,0
1,N2,2,10.5,6,-2,11,0
1,N2,2,10.5,6,-2,11.5,0
1,N2,2,10.5,6,-2,12,0
1,N2,2,10.5,6,-2,12.5,0
1,N2,2,10.5,6,-2,13,0
1,N2,2,10.5,6,-2,13.5,0
1,N2,2,10.5,6,-2,14.5,0
1,N2,2,10.5,6,-2,15,0
1,N2,2,10.5,6,-2,15.5,0
1,N2,2,10.5,6,-2,16,0
1,N2,2,10.5,6,-2,16.5,53
1,N2,2,10.5,6,-2,17,0
1,N2,2,10.5,6,-2,17.5,0
1,N2,2,10.5,6,-2,18,0
1,CB4856,1,15.5,10,-1,1.5,66
1,CB4856,1,15.5,10,-1,2,15
1,CB4856,1,15.5,10,-1,2.5,171
1,CB4856,1,15.5,10,-1,3,367
1,CB4856,1,15.5,10,-1,3.5,0
1,CB4856,1,15.5,10,-1,4,0
1,CB4856,1,15.5,10,-1,4.5,1015
1,CB4856,1,15.5,10,-1,5,951
1,CB4856,1,15.5,10,-1,5.5,0
1,CB4856,1,15.5,10,-1,6,561
1,CB4856,1,15.5,10,-1,6.5,0
1,CB4856,1,15.5,10,-1,7,0
1,CB4856,1,15.5,10,-1,7.5,499
1,CB4856,1,15.5,10,-1,8,288
1,CB4856,1,15.5,10,-1,8.5,481
1,CB4856,1,15.5,10,-1,9,472
1,CB4856,1,15.5,10,-1,9.5,290
1,CB4856,1,15.5,10,-1,10,276
1,CB4856,1,15.5,10,-1,10.5,324
1,CB4856,1,15.5,10,-1,11,57
1,CB4856,1,15.5,10,-1,11.5,153
1,CB4856,1,15.5,10,-1,12,4
1,CB4856,1,15.5,10,-1,12.5,76
1,CB4856,1,15.5,10,-1,13,47
1,CB4856,1,15.5,10,-1,13.5,34
1,CB4856,1,15.5,10,-1,14.5,37
1,CB4856,1,15.5,10,-1,15,19
1,CB4856,1,15.5,10,-1,15.5,41
1,CB4856,1,15.5,10,-1,16,0
1,CB4856,1,15.5,10,-1,16.5,30
1,CB4856,1,15.5,10,-1,17,0
1,CB4856,1,15.5,10,-1,17.5,0
1,CB4856,1,15.5,10,-1,18,0
1,CB4856,1,15.5,10,-2,1.5,0
1,CB4856,1,15.5,10,-2,2,0
1,CB4856,1,15.5,10,-2,2.5,98
1,CB4856,1,15.5,10,-2,3,572
1,CB4856,1,15.5,10,-2,3.5,0
1,CB4856,1,15.5,10,-2,4,0
1,CB4856,1,15.5,10,-2,4.5,337
1,CB4856,1,15.5,10,-2,5,402
1,CB4856,1,15.5,10,-2,5.5,0
1,CB4856,1,15.5,10,-2,6,452
1,CB4856,1,15.5,10,-2,6.5,0
1,CB4856,1,15.5,10,-2,7,0
1,CB4856,1,15.5,10,-2,7.5,258
1,CB4856,1,15.5,10,-2,8,304
1,CB4856,1,15.5,10,-2,8.5,265
1,CB4856,1,15.5,10,-2,9,209
1,CB4856,1,15.5,10,-2,9.5,89
1,CB4856,1,15.5,10,-2,10,116
1,CB4856,1,15.5,10,-2,10.5,181
1,CB4856,1,15.5,10,-2,11,20
1,CB4856,1,15.5,10,-2,11.5,10
1,CB4856,1,15.5,10,-2,12,0
1,CB4856,1,15.5,10,-2,12.5,0
1,CB4856,1,15.5,10,-2,13,0
1,CB4856,1,15.5,10,-2,13.5,0
1,CB4856,1,15.5,10,-2,14.5,0
1,CB4856,1,15.5,10,-2,15,0
1,CB4856,1,15.5,10,-2,15.5,0
1,CB4856,1,15.5,10,-2,16,0
1,CB4856,1,15.5,10,-2,16.5,17
1,CB4856,1,15.5,10,-2,17,12
1,CB4856,1,15.5,10,-2,17.5,0
1,CB4856,1,15.5,10,-2,18,1
1,CB4856,2,13.5,9.5,-1,1.5,0
1,CB4856,2,13.5,9.5,-1,2,433
1,CB4856,2,13.5,9.5,-1,2.5,1507
1,CB4856,2,13.5,9.5,-1,3,1057
1,CB4856,2,13.5,9.5,-1,3.5,0
1,CB4856,2,13.5,9.5,-1,4,0
1,CB4856,2,13.5,9.5,-1,4.5,866
1,CB4856,2,13.5,9.5,-1,5,1451
1,CB4856,2,13.5,9.5,-1,5.5,0
1,CB4856,2,13.5,9.5,-1,6,1670
1,CB4856,2,13.5,9.5,-1,6.5,0
1,CB4856,2,13.5,9.5,-1,7,0
1,CB4856,2,13.5,9.5,-1,7.5,1602
1,CB4856,2,13.5,9.5,-1,8,1413
1,CB4856,2,13.5,9.5,-1,8.5,1648
1,CB4856,2,13.5,9.5,-1,9,729
1,CB4856,2,13.5,9.5,-1,9.5,1054
1,CB4856,2,13.5,9.5,-1,10,766
1,CB4856,2,13.5,9.5,-1,10.5,321
1,CB4856,2,13.5,9.5,-1,11,498
1,CB4856,2,13.5,9.5,-1,11.5,157
1,CB4856,2,13.5,9.5,-1,12,110
1,CB4856,2,13.5,9.5,-1,12.5,28
1,CB4856,2,13.5,9.5,-1,13,268
1,CB4856,2,13.5,9.5,-1,13.5,42
1,CB4856,2,13.5,9.5,-1,14.5,74
1,CB4856,2,13.5,9.5,-1,15,3
1,CB4856,2,13.5,9.5,-1,15.5,28
1,CB4856,2,13.5,9.5,-1,16,0
1,CB4856,2,13.5,9.5,-1,16.5,43
1,CB4856,2,13.5,9.5,-1,17,0
1,CB4856,2,13.5,9.5,-1,17.5,0
1,CB4856,2,13.5,9.5,-1,18,0
1,CB4856,2,13.5,9.5,-2,1.5,79
1,CB4856,2,13.5,9.5,-2,2,217
1,CB4856,2,13.5,9.5,-2,2.5,332
1,CB4856,2,13.5,9.5,-2,3,501
1,CB4856,2,13.5,9.5,-2,3.5,0
1,CB4856,2,13.5,9.5,-2,4,0
1,CB4856,2,13.5,9.5,-2,4.5,545
1,CB4856,2,13.5,9.5,-2,5,1144
1,CB4856,2,13.5,9.5,-2,5.5,0
1,CB4856,2,13.5,9.5,-2,6,1102
1,CB4856,2,13.5,9.5,-2,6.5,0
1,CB4856,2,13.5,9.5,-2,7,0
1,CB4856,2,13.5,9.5,-2,7.5,971
1,CB4856,2,13.5,9.5,-2,8,959
1,CB4856,2,13.5,9.5,-2,8.5,1127
1,CB4856,2,13.5,9.5,-2,9,551
