"","strain","plate_num","worm_num","lifespan_days","status"
"278","LKC34","2",18,22,1
"279","LKC34","2",19,20.5,1
"280","LKC34","2",20,19.5,1
"281","EG4725","2",1,3,1
"282","EG4725","2",2,17,1
"283","EG4725","2",3,16.5,1
"284","EG4725","2",4,4.5,1
"285","EG4725","2",5,20.5,1
"286","EG4725","2",6,21.5,1
"287","EG4725","2",7,18.5,1
"288","EG4725","2",8,8,1
"289","EG4725","2",9,10,1
"290","EG4725","2",10,11,1
"291","EG4725","2",11,11.5,1
"292","EG4725","2",12,12,1
"293","EG4725","2",13,3,1
"294","EG4725","2",14,10.5,1
"295","EG4725","2",15,11.5,1
"296","EG4725","2",16,25.5,1
"297","EG4725","2",17,9.5,1
"298","EG4725","2",18,7,1
"299","EG4725","2",19,7.5,1
"300","EG4725","2",20,12,1
"301","CB4856","2",1,12,1
"302","CB4856","2",2,10.5,1
"303","CB4856","2",3,NA,0
"304","CB4856","2",4,13,1
"305","CB4856","2",5,16,1
"306","CB4856","2",6,8,1
"307","CB4856","2",7,12,1
"308","CB4856","2",8,7.5,1
"309","CB4856","2",9,9.5,1
"310","CB4856","2",10,15,1
"311","CB4856","2",11,7,1
"312","CB4856","2",12,18.5,1
"313","CB4856","2",13,13.5,1
"314","CB4856","2",14,8,1
"315","CB4856","2",15,17,1
"316","CB4856","2",16,9.5,1
"317","CB4856","2",17,6.5,1
"318","CB4856","2",18,10.5,1
"319","CB4856","2",19,9.5,1
"320","CB4856","2",20,11.5,1
"321","CX11314","2",1,5,1
"322","CX11314","2",2,9,1
"323","CX11314","2",3,11,1
"324","CX11314","2",4,16.5,1
"325","CX11314","2",5,8.5,1
"326","CX11314","2",6,10.5,1
"327","CX11314","2",7,14.5,1
"328","CX11314","2",8,7.5,1
"329","CX11314","2",9,10.5,1
"330","CX11314","2",10,10.5,1
"331","CX11314","2",11,12,1
"332","CX11314","2",12,13,1
"333","CX11314","2",13,16.5,1
"334","CX11314","2",14,12,1
"335","CX11314","2",15,16,1
"336","CX11314","2",16,13,1
"337","CX11314","2",17,12,1
"338","CX11314","2",18,15,1
"339","CX11314","2",19,20,1
"340","CX11314","2",20,11,1
"341","ED3017","2",1,12.5,1
"342","ED3017","2",2,NA,0
"343","ED3017","2",3,5,1
"344","ED3017","2",4,6,1
"345","ED3017","2",5,6,1
"346","ED3017","2",6,3,1
"347","ED3017","2",7,3,1
"348","ED3017","2",8,7,1
"349","ED3017","2",9,5,1
"350","ED3017","2",10,6.5,1
"351","ED3017","2",11,5,1
"352","ED3017","2",12,5.5,1
"353","ED3017","2",13,9,1
"354","ED3017","2",14,12.5,1
"355","ED3017","2",15,9.5,1
"356","ED3017","2",16,7.5,1
"357","ED3017","2",17,5,1
"358","ED3017","2",18,5.5,1
"359","ED3017","2",19,14,1
"360","ED3017","2",20,14.5,1
"361","MY23","2",1,NA,0
"362","MY23","2",2,3,1
"363","MY23","2",3,NA,0
"364","MY23","2",4,22.5,1
"365","MY23","2",5,21.5,1
"366","MY23","2",6,11,1
"367","MY23","2",7,9.5,1
"368","MY23","2",8,5.5,1
"369","MY23","2",9,5,1
"370","MY23","2",10,5.5,1
"371","MY23","2",11,13,1
"372","MY23","2",12,13,1
"373","MY23","2",13,6.5,1
"374","MY23","2",14,6.5,1
"375","MY23","2",15,20,1
"376","MY23","2",16,3.5,1
"377","MY23","2",17,13.5,1
"378","MY23","2",18,8.5,1
"379","MY23","2",19,16,1
"380","MY23","2",20,25,1
"381","JU775","2",1,19.5,1
"382","JU775","2",2,14.5,1
"383","JU775","2",3,16.5,1
"384","JU775","2",4,4.5,1
"385","JU775","2",5,18,1
"386","JU775","2",6,11.5,1
"387","JU775","2",7,15.5,1
"388","JU775","2",8,8,1
"389","JU775","2",9,3,1
"390","JU775","2",10,19,1
"391","JU775","2",11,11,1
"392","JU775","2",12,9,1
"393","JU775","2",13,19,1
"394","JU775","2",14,3,1
"395","JU775","2",15,13,1
"396","JU775","2",16,11.5,1
"397","JU775","2",17,6,1
"398","JU775","2",18,9,1
"399","JU775","2",19,17,1
"400","JU775","2",20,11.5,1
"401","N2","2",1,12,1
"402","N2","2",2,12,1
"403","N2","2",3,12.5,1
"404","N2","2",4,7,1
"405","N2","2",5,7.5,1
"406","N2","2",6,8.5,1
"407","N2","2",7,11,1
"408","N2","2",8,11.5,1
"409","N2","2",9,10,1
"410","N2","2",10,9.5,1
"411","N2","2",11,11.5,1
"412","N2","2",12,10,1
"413","N2","2",13,12,1
"414","N2","2",14,13,1
"415","N2","2",15,5.5,1
"416","N2","2",16,12.5,1
"417","N2","2",17,12.5,1
"418","N2","2",18,7.5,1
"419","N2","2",19,11,1
"420","N2","2",20,11,1
"421","JU258","2",1,11.5,1
"422","JU258","2",2,13.5,1
"423","JU258","2",3,12,1
"424","JU258","2",4,6,1
"425","JU258","2",5,10.5,1
"426","JU258","2",6,6,1
"427","JU258","2",7,16.5,1
"428","JU258","2",8,6.5,1
"429","JU258","2",9,12.5,1
"430","JU258","2",10,15.5,1
"431","JU258","2",11,9,1
"432","JU258","2",12,18.5,1
"433","JU258","2",13,13.5,1
"434","JU258","2",14,17.5,1
"435","JU258","2",15,17,1
"436","JU258","2",16,18,1
"437","JU258","2",17,6.5,1
"438","JU258","2",18,19.5,1
"439","JU258","2",19,18,1
"440","JU258","2",20,18,1
"441","MY16","2",1,7.5,1
"442","MY16","2",2,3.5,1
"443","MY16","2",3,18.5,1
"444","MY16","2",4,4.5,1
"445","MY16","2",5,8.5,1
"446","MY16","2",6,16,1
"447","MY16","2",7,10,1
"448","MY16","2",8,7.5,1
"449","MY16","2",9,4,1
"450","MY16","2",10,3.5,1
"451","MY16","2",11,19.5,1
"452","MY16","2",12,5,1
"453","MY16","2",13,17.5,1
"454","MY16","2",14,13,1
"455","MY16","2",15,17,1
"456","MY16","2",16,18,1
"457","MY16","2",17,12,1
"458","MY16","2",18,18.5,1
"459","MY16","2",19,5.5,1
"460","MY16","2",20,18.5,1
"461","DL238","2",1,26,1
"462","DL238","2",2,20.5,1
"463","DL238","2",3,25.5,1
"464","DL238","2",4,21.5,1
"465","DL238","2",5,13.5,1
"466","DL238","2",6,18,1
"467","DL238","2",7,21.5,1
"468","DL238","2",8,10,1
"469","DL238","2",9,10.5,1
"470","DL238","2",10,15.5,1
"471","DL238","2",11,5,1
"472","DL238","2",12,23.5,1
"473","DL238","2",13,4,1
"474","DL238","2",14,20,1
"475","DL238","2",15,6,1
"476","DL238","2",16,20.5,1
"477","DL238","2",17,18.5,1
"478","DL238","2",18,14.5,1
"479","DL238","2",19,23.5,1
"480","DL238","2",20,17.5,1
"481","JT11398","3",1,2.5,1
"482","JT11398","3",2,6,1
"483","JT11398","3",3,6.5,1
"484","JT11398","3",4,12,1
"485","JT11398","3",5,19,1
"486","JT11398","3",6,13,1
"487","JT11398","3",7,14.5,1
"488","JT11398","3",8,6.5,1
"489","JT11398","3",9,16,1
"490","JT11398","3",10,5.5,1
"491","JT11398","3",11,19,1
"492","JT11398","3",12,11.5,1
"493","JT11398","3",13,13,1
"494","JT11398","3",14,12,1
"495","JT11398","3",15,16,1
"496","JT11398","3",16,16,1
"497","JT11398","3",17,16,1
"498","JT11398","3",18,14,1
"499","JT11398","3",19,16,1
"500","JT11398","3",20,NA,0
"501","LKC34","3",1,5.5,1
"502","LKC34","3",2,3,1
"503","LKC34","3",3,10.5,1
"504","LKC34","3",4,14,1
"505","LKC34","3",5,19.5,1
"506","LKC34","3",6,18,1
"507","LKC34","3",7,4.5,1
"508","LKC34","3",8,4.5,1
"509","LKC34","3",9,5,1
"510","LKC34","3",10,6.5,1
"511","LKC34","3",11,19,1
"512","LKC34","3",12,6,1
"513","LKC34","3",13,4.5,1
"514","LKC34","3",14,9.5,1
"515","LKC34","3",15,17.5,1
"516","LKC34","3",16,19,1
"517","LKC34","3",17,22.5,1
"518","LKC34","3",18,8.5,1
"519","LKC34","3",19,23.5,1
"520","LKC34","3",20,21,1
"521","EG4725","3",1,13.5,1
"522","EG4725","3",2,9,1
"523","EG4725","3",3,14,1
"524","EG4725","3",4,4.5,1
"525","EG4725","3",5,5.5,1
"526","EG4725","3",6,NA,0
"527","EG4725","3",7,8,1
"528","EG4725","3",8,12.5,1
"529","EG4725","3",9,22.5,1
"530","EG4725","3",10,20,1
"531","EG4725","3",11,9.5,1
"532","EG4725","3",12,17,1
"533","EG4725","3",13,16,1
"534","EG4725","3",14,11.5,1
"535","EG4725","3",15,8.5,1
"536","EG4725","3",16,12,1
"537","EG4725","3",17,17.5,1
"538","EG4725","3",18,9,1
"539","EG4725","3",19,9,1
"540","EG4725","3",20,7.5,1
"541","CB4856","3",1,9.5,1
"542","CB4856","3",2,9.5,1
"543","CB4856","3",3,8,1
"544","CB4856","3",4,7.5,1
"545","CB4856","3",5,18,1
"546","CB4856","3",6,7,1
"547","CB4856","3",7,NA,0
"548","CB4856","3",8,11,1
"549","CB4856","3",9,6.5,1
"550","CB4856","3",10,9.5,1
"551","CB4856","3",11,11.5,1
"552","CB4856","3",12,9,1
"553","CB4856","3",13,7,1
"554","CB4856","3",14,7.5,1
"555","CB4856","3",15,6.5,1
"556","CB4856","3",16,9.5,1
"557","CB4856","3",17,7.5,1
"558","CB4856","3",18,13,1
"559","CB4856","3",19,9.5,1
"560","CB4856","3",20,6,1
"561","CX11314","3",1,6,1
"562","CX11314","3",2,10,1
"563","CX11314","3",3,7,1
"564","CX11314","3",4,10.5,1
"565","CX11314","3",5,15.5,1
"566","CX11314","3",6,6.5,1
"567","CX11314","3",7,17,1
"568","CX11314","3",8,11.5,1
"569","CX11314","3",9,6.5,1
"570","CX11314","3",10,21,1
"571","CX11314","3",11,11,1
"572","CX11314","3",12,7.5,1
"573","CX11314","3",13,9,1
"574","CX11314","3",14,10.5,1
"575","CX11314","3",15,8,1
"576","CX11314","3",16,10,1
"577","CX11314","3",17,8,1
"578","CX11314","3",18,24,1
"579","CX11314","3",19,18.5,1
"580","CX11314","3",20,20,1
"581","ED3017","3",1,8,1
"582","ED3017","3",2,5,1
"583","ED3017","3",3,4.5,1
"584","ED3017","3",4,4,1
"585","ED3017","3",5,12.5,1
"586","ED3017","3",6,4,1
"587","ED3017","3",7,3.5,1
"588","ED3017","3",8,3,1
"589","ED3017","3",9,3.5,1
"590","ED3017","3",10,5,1
"591","ED3017","3",11,5,1
"592","ED3017","3",12,6,1
"593","ED3017","3",13,3,1
"594","ED3017","3",14,5,1
"595","ED3017","3",15,5,1
"596","ED3017","3",16,4.5,1
"597","ED3017","3",17,5,1
"598","ED3017","3",18,9.5,1
"599","ED3017","3",19,13.5,1
"600","ED3017","3",20,5.5,1
"601","MY23","3",1,3,1
"602","MY23","3",2,5.5,1
"603","MY23","3",3,9,1
"604","MY23","3",4,21,1
"605","MY23","3",5,3,1
"606","MY23","3",6,4.5,1
"607","MY23","3",7,5,1
"608","MY23","3",8,5,1
"609","MY23","3",9,5,1
"610","MY23","3",10,14,1
"611","MY23","3",11,22.5,1
"612","MY23","3",12,15.5,1
"613","MY23","3",13,5,1
"614","MY23","3",14,19,1
"615","MY23","3",15,17,1
"616","MY23","3",16,22.5,1
"617","MY23","3",17,13,1
"618","MY23","3",18,26,1
"619","MY23","3",19,20,1
"620","MY23","3",20,18.5,1
"621","JU775","3",1,19.5,1
"622","JU775","3",2,11,1
"623","JU775","3",3,6.5,1
"624","JU775","3",4,20.5,1
"625","JU775","3",5,11.5,1
"626","JU775","3",6,14.5,1
"627","JU775","3",7,11,1
"628","JU775","3",8,4.5,1
"629","JU775","3",9,12,1
"630","JU775","3",10,18.5,1
"631","JU775","3",11,10,1
"632","JU775","3",12,15.5,1
"633","JU775","3",13,11.5,1
"634","JU775","3",14,19,1
"635","JU775","3",15,15.5,1
"636","JU775","3",16,8.5,1
"637","JU775","3",17,11.5,1
"638","JU775","3",18,24.5,1
"639","JU775","3",19,21.5,1
"640","JU775","3",20,21,1
"641","N2","3",1,11,1
"642","N2","3",2,9,1
"643","N2","3",3,11.5,1
"644","N2","3",4,12,1
"645","N2","3",5,11.5,1
"646","N2","3",6,9.5,1
"647","N2","3",7,11,1
"648","N2","3",8,11,1
"649","N2","3",9,12,1
"650","N2","3",10,10.5,1
"651","N2","3",11,25,1
"652","N2","3",12,11.5,1
"653","N2","3",13,12.5,1
"654","N2","3",14,14,1
"655","N2","3",15,12.5,1
"656","N2","3",16,NA,0
"657","N2","3",17,13,1
"658","N2","3",18,15.5,1
"659","N2","3",19,12.5,1
"660","N2","3",20,13,1
"661","JU258","3",1,11,1
"662","JU258","3",2,14.5,1
"663","JU258","3",3,8.5,1
"664","JU258","3",4,15,1
"665","JU258","3",5,20,1
"666","JU258","3",6,18,1
"667","JU258","3",7,17.5,1
"668","JU258","3",8,20,1
"669","JU258","3",9,NA,0
"670","JU258","3",10,20,1
"671","JU258","3",11,5,1
"672","JU258","3",12,18,1
"673","JU258","3",13,18,1
"674","JU258","3",14,21,1
"675","JU258","3",15,18,1
"676","JU258","3",16,16,1
"677","JU258","3",17,15.5,1
"678","JU258","3",18,18,1
"679","JU258","3",19,13.5,1
"680","JU258","3",20,19,1
"681","MY16","3",1,20.5,1
"682","MY16","3",2,20.5,1
"683","MY16","3",3,18.5,1
"684","MY16","3",4,24,1
"685","MY16","3",5,11.5,1
"686","MY16","3",6,19.5,1
"687","MY16","3",7,16,1
"688","MY16","3",8,9,1
"689","MY16","3",9,6,1
"690","MY16","3",10,15.5,1
"691","MY16","3",11,19,1
"692","MY16","3",12,25.5,1
"693","MY16","3",13,8,1
"694","MY16","3",14,21,1
"695","MY16","3",15,21,1
"696","MY16","3",16,22,1
"697","MY16","3",17,12.5,1
"698","MY16","3",18,9,1
"699","MY16","3",19,7.5,1
"700","MY16","3",20,21.5,1
"701","DL238","3",1,NA,0
"702","DL238","3",2,6.5,1
"703","DL238","3",3,6.5,1
"704","DL238","3",4,6.5,1
"705","DL238","3",5,15,1
"706","DL238","3",6,24,1
"707","DL238","3",7,16,1
"708","DL238","3",8,17.5,1
"709","DL238","3",9,21.5,1
"710","DL238","3",10,21.5,1
"711","DL238","3",11,23.5,1
"712","DL238","3",12,9.5,1
"713","DL238","3",13,24,1
"714","DL238","3",14,18.5,1
"715","DL238","3",15,17.5,1
"716","DL238","3",16,21.5,1
"717","DL238","3",17,20.5,1
"718","DL238","3",18,14,1
"719","DL238","3",19,9,1
"720","DL238","3",20,30,1
"721","JT11398","4",1,16.5,1
"722","JT11398","4",2,16.5,1
"723","JT11398","4",3,14,1
"724","JT11398","4",4,4.5,1
"725","JT11398","4",5,5,1
"726","JT11398","4",6,10.5,1
"727","JT11398","4",7,11,1
"728","JT11398","4",8,8.5,1
"729","JT11398","4",9,7.5,1
"730","JT11398","4",10,7,1
"731","JT11398","4",11,14.5,1
"732","JT11398","4",12,16.5,1
"733","JT11398","4",13,15,1
"734","JT11398","4",14,NA,0
"735","JT11398","4",15,6,1
"736","JT11398","4",16,5,1
"737","JT11398","4",17,7.5,1
"738","JT11398","4",18,6.5,1
"739","JT11398","4",19,6.5,1
"740","JT11398","4",20,8.5,1
"741","LKC34","4",1,16.5,1
"742","LKC34","4",2,16.5,1
"743","LKC34","4",3,17,1
"744","LKC34","4",4,18.5,1
"745","LKC34","4",5,18,1
"746","LKC34","4",6,17.5,1
"747","LKC34","4",7,15,1
"748","LKC34","4",8,13.5,1
"749","LKC34","4",9,15.5,1
"750","LKC34","4",10,8,1
"751","LKC34","4",11,5,1
"752","LKC34","4",12,14,1
"753","LKC34","4",13,14.5,1
"754","LKC34","4",14,8.5,1
"755","LKC34","4",15,9,1
"756","LKC34","4",16,7.5,1
"757","LKC34","4",17,6,1
"758","LKC34","4",18,6.5,1
"759","LKC34","4",19,8,1
"760","LKC34","4",20,14,1
"761","EG4725","4",1,16.5,1
"762","EG4725","4",2,16.5,1
"763","EG4725","4",3,3,1
"764","EG4725","4",4,8,1
"765","EG4725","4",5,11,1
"766","EG4725","4",6,5,1
"767","EG4725","4",7,3,1
"768","EG4725","4",8,3.5,1
"769","EG4725","4",9,9.5,1
"770","EG4725","4",10,10,1
"771","EG4725","4",11,8,1
"772","EG4725","4",12,5,1
"773","EG4725","4",13,5,1
"774","EG4725","4",14,6.5,1
"775","EG4725","4",15,5,1
"776","EG4725","4",16,6,1
"777","EG4725","4",17,6.5,1
"778","EG4725","4",18,4.5,1
"779","EG4725","4",19,10,1
"780","EG4725","4",20,7.5,1
"781","CB4856","4",1,4,1
"782","CB4856","4",2,16.5,1
"783","CB4856","4",3,14.5,1
"784","CB4856","4",4,8,1
"785","CB4856","4",5,8,1
"786","CB4856","4",6,10,1
"787","CB4856","4",7,7,1
"788","CB4856","4",8,15,1
"789","CB4856","4",9,9.5,1
"790","CB4856","4",10,15.5,1
"791","CB4856","4",11,16,1
"792","CB4856","4",12,11,1
"793","CB4856","4",13,6.5,1
"794","CB4856","4",14,9,1
"795","CB4856","4",15,3.5,1
"796","CB4856","4",16,7.5,1
"797","CB4856","4",17,9,1
"798","CB4856","4",18,7,1
"799","CB4856","4",19,12,1
"800","CB4856","4",20,12,1
"801","CX11314","4",1,5.5,1
"802","CX11314","4",2,16.5,1
"803","CX11314","4",3,15.5,1
"804","CX11314","4",4,9,1
"805","CX11314","4",5,11,1
"806","CX11314","4",6,8.5,1
"807","CX11314","4",7,11.5,1
"808","CX11314","4",8,15.5,1
"809","CX11314","4",9,8.5,1
"810","CX11314","4",10,13.5,1
"811","CX11314","4",11,14.5,1
"812","CX11314","4",12,11.5,1
"813","CX11314","4",13,7,1
"814","CX11314","4",14,8.5,1
"815","CX11314","4",15,5,1
"816","CX11314","4",16,9.5,1
"817","CX11314","4",17,6,1
"818","CX11314","4",18,7,1
"819","CX11314","4",19,18.5,1
"820","CX11314","4",20,11,1
"821","ED3017","4",1,7,1
"822","ED3017","4",2,16.5,1
"823","ED3017","4",3,14,1
"824","ED3017","4",4,6,1
"825","ED3017","4",5,14,1
"826","ED3017","4",6,NA,0
"827","ED3017","4",7,5,1
"828","ED3017","4",8,15,1
"829","ED3017","4",9,3,1
"830","ED3017","4",10,11,1
"831","ED3017","4",11,12,1
"832","ED3017","4",12,11,1
"833","ED3017","4",13,8,1
"834","ED3017","4",14,3.5,1
"835","ED3017","4",15,5,1
"836","ED3017","4",16,7.5,1
"837","ED3017","4",17,6,1
"838","ED3017","4",18,6,1
"839","ED3017","4",19,13.5,1
"840","ED3017","4",20,8.5,1
"841","MY23","4",1,4.5,1
"842","MY23","4",2,16.5,1
"843","MY23","4",3,17,1
"844","MY23","4",4,15.5,1
"845","MY23","4",5,17,1
"846","MY23","4",6,8.5,1
"847","MY23","4",7,17,1
