"","strain","plate_num","worm_num","lifespan_days","status"
"1","JT11398","1",1,NA,0
"2","JT11398","1",2,NA,0
"3","JT11398","1",3,13,1
"4","JT11398","1",4,16.5,1
"5","JT11398","1",5,12.5,1
"6","JT11398","1",6,12.5,1
"7","JT11398","1",7,15.5,1
"8","JT11398","1",8,16.5,1
"9","JT11398","1",9,4,1
"10","JT11398","1",10,19.5,1
"11","JT11398","1",11,11.5,1
"12","JT11398","1",12,18.5,1
"13","JT11398","1",13,18,1
"14","JT11398","1",14,26.5,1
"15","JT11398","1",15,16,1
"16","JT11398","1",16,14,1
"17","JT11398","1",17,9,1
"18","JT11398","1",18,9.5,1
"19","JT11398","1",19,14.5,1
"20","JT11398","1",20,13,1
"21","LKC34","1",1,NA,0
"22","LKC34","1",2,5,1
"23","LKC34","1",3,13,1
"24","LKC34","1",4,15,1
"25","LKC34","1",5,22.5,1
"26","LKC34","1",6,16.5,1
"27","LKC34","1",7,13.5,1
"28","LKC34","1",8,20,1
"29","LKC34","1",9,15,1
"30","LKC34","1",10,13.5,1
"31","LKC34","1",11,18.5,1
"32","LKC34","1",12,8,1
"33","LKC34","1",13,17,1
"34","LKC34","1",14,11.5,1
"35","LKC34","1",15,17,1
"36","LKC34","1",16,12,1
"37","LKC34","1",17,6,1
"38","LKC34","1",18,5.5,1
"39","LKC34","1",19,17.5,1
"40","LKC34","1",20,9.5,1
"41","EG4725","1",1,7.5,1
"42","EG4725","1",2,22.5,1
"43","EG4725","1",3,26,1
"44","EG4725","1",4,19,1
"45","EG4725","1",5,14,1
"46","EG4725","1",6,16.5,1
"47","EG4725","1",7,NA,0
"48","EG4725","1",8,14,1
"49","EG4725","1",9,14,1
"50","EG4725","1",10,13.5,1
"51","EG4725","1",11,7.5,1
"52","EG4725","1",12,11,1
"53","EG4725","1",13,12,1
"54","EG4725","1",14,9,1
"55","EG4725","1",15,10,1
"56","EG4725","1",16,12.5,1
"57","EG4725","1",17,12.5,1
"58","EG4725","1",18,20.5,1
"59","EG4725","1",19,24,1
"60","EG4725","1",20,26,1
"61","CB4856","1",1,8,1
"62","CB4856","1",2,3,1
"63","CB4856","1",3,8,1
"64","CB4856","1",4,11,1
"65","CB4856","1",5,8,1
"66","CB4856","1",6,8,1
"67","CB4856","1",7,12.5,1
"68","CB4856","1",8,9,1
"69","CB4856","1",9,10,1
"70","CB4856","1",10,14,1
"71","CB4856","1",11,7.5,1
"72","CB4856","1",12,7,1
"73","CB4856","1",13,7.5,1
"74","CB4856","1",14,13,1
"75","CB4856","1",15,13,1
"76","CB4856","1",16,15,1
"77","CB4856","1",17,10,1
"78","CB4856","1",18,11,1
"79","CB4856","1",19,14,1
"80","CB4856","1",20,9.5,1
"81","CX11314","1",1,8.5,1
"82","CX11314","1",2,8.5,1
"83","CX11314","1",3,8.5,1
"84","CX11314","1",4,7,1
"85","CX11314","1",5,8.5,1
"86","CX11314","1",6,9,1
"87","CX11314","1",7,16,1
"88","CX11314","1",8,9.5,1
"89","CX11314","1",9,17.5,1
"90","CX11314","1",10,17.5,1
"91","CX11314","1",11,19,1
"92","CX11314","1",12,13,1
"93","CX11314","1",13,19,1
"94","CX11314","1",14,17,1
"95","CX11314","1",15,18.5,1
"96","CX11314","1",16,14.5,1
"97","CX11314","1",17,13.5,1
"98","CX11314","1",18,18.5,1
"99","CX11314","1",19,19,1
"100","CX11314","1",20,10.5,1
"101","ED3017","1",1,11,1
"102","ED3017","1",2,16,1
"103","ED3017","1",3,5.5,1
"104","ED3017","1",4,5,1
"105","ED3017","1",5,6.5,1
"106","ED3017","1",6,6.5,1
"107","ED3017","1",7,4,1
"108","ED3017","1",8,5,1
"109","ED3017","1",9,7.5,1
"110","ED3017","1",10,17.5,1
"111","ED3017","1",11,15,1
"112","ED3017","1",12,11.5,1
"113","ED3017","1",13,3,1
"114","ED3017","1",14,18.5,1
"115","ED3017","1",15,13,1
"116","ED3017","1",16,20,1
"117","ED3017","1",17,22.5,1
"118","ED3017","1",18,5,1
"119","ED3017","1",19,6,1
"120","ED3017","1",20,6,1
"121","MY23","1",1,NA,0
"122","MY23","1",2,7,1
"123","MY23","1",3,6.5,1
"124","MY23","1",4,8,1
"125","MY23","1",5,6.5,1
"126","MY23","1",6,6.5,1
"127","MY23","1",7,15,1
"128","MY23","1",8,18.5,1
"129","MY23","1",9,21.5,1
"130","MY23","1",10,11.5,1
"131","MY23","1",11,8,1
"132","MY23","1",12,20.5,1
"133","MY23","1",13,16.5,1
"134","MY23","1",14,NA,0
"135","MY23","1",15,19,1
"136","MY23","1",16,9.5,1
"137","MY23","1",17,6,1
"138","MY23","1",18,12,1
"139","MY23","1",19,6.5,1
"140","MY23","1",20,20,1
"141","JU775","1",1,9,1
"142","JU775","1",2,5,1
"143","JU775","1",3,17,1
"144","JU775","1",4,6,1
"145","JU775","1",5,5,1
"146","JU775","1",6,17,1
"147","JU775","1",7,5.5,1
"148","JU775","1",8,17,1
"149","JU775","1",9,12.5,1
"150","JU775","1",10,14.5,1
"151","JU775","1",11,9.5,1
"152","JU775","1",12,16.5,1
"153","JU775","1",13,23.5,1
"154","JU775","1",14,17,1
"155","JU775","1",15,13.5,1
"156","JU775","1",16,9.5,1
"157","JU775","1",17,9,1
"158","JU775","1",18,23,1
"159","JU775","1",19,10,1
"160","JU775","1",20,10.5,1
"161","N2","1",1,11.5,1
"162","N2","1",2,11,1
"163","N2","1",3,11.5,1
"164","N2","1",4,5.5,1
"165","N2","1",5,11.5,1
"166","N2","1",6,8,1
"167","N2","1",7,8,1
"168","N2","1",8,11,1
"169","N2","1",9,12,1
"170","N2","1",10,7.5,1
"171","N2","1",11,11,1
"172","N2","1",12,12,1
"173","N2","1",13,12,1
"174","N2","1",14,12,1
"175","N2","1",15,8,1
"176","N2","1",16,9.5,1
"177","N2","1",17,9,1
"178","N2","1",18,10,1
"179","N2","1",19,12,1
"180","N2","1",20,6.5,1
"181","JU258","1",1,8,1
"182","JU258","1",2,14,1
"183","JU258","1",3,11,1
"184","JU258","1",4,13.5,1
"185","JU258","1",5,10.5,1
"186","JU258","1",6,7.5,1
"187","JU258","1",7,8.5,1
"188","JU258","1",8,3,1
"189","JU258","1",9,18.5,1
"190","JU258","1",10,15,1
"191","JU258","1",11,18.5,1
"192","JU258","1",12,4.5,1
"193","JU258","1",13,17.5,1
"194","JU258","1",14,3,1
"195","JU258","1",15,3.5,1
"196","JU258","1",16,7.5,1
"197","JU258","1",17,14.5,1
"198","JU258","1",18,15,1
"199","JU258","1",19,20,1
"200","JU258","1",20,17.5,1
"201","MY16","1",1,11,1
"202","MY16","1",2,7.5,1
"203","MY16","1",3,13,1
"204","MY16","1",4,5.5,1
"205","MY16","1",5,10.5,1
"206","MY16","1",6,8.5,1
"207","MY16","1",7,23.5,1
"208","MY16","1",8,7,1
"209","MY16","1",9,7,1
"210","MY16","1",10,4,1
"211","MY16","1",11,5.5,1
"212","MY16","1",12,3,1
"213","MY16","1",13,3,1
"214","MY16","1",14,5,1
"215","MY16","1",15,15.5,1
"216","MY16","1",16,6,1
"217","MY16","1",17,3.5,1
"218","MY16","1",18,6,1
"219","MY16","1",19,3,1
"220","MY16","1",20,8.5,1
"221","DL238","1",1,5.5,1
"222","DL238","1",2,6.5,1
"223","DL238","1",3,20,1
"224","DL238","1",4,14.5,1
"225","DL238","1",5,6.5,1
"226","DL238","1",6,5.5,1
"227","DL238","1",7,10,1
"228","DL238","1",8,9,1
"229","DL238","1",9,7,1
"230","DL238","1",10,23,1
"231","DL238","1",11,9.5,1
"232","DL238","1",12,5.5,1
"233","DL238","1",13,5,1
"234","DL238","1",14,6,1
"235","DL238","1",15,3.5,1
"236","DL238","1",16,6,1
"237","DL238","1",17,4,1
"238","DL238","1",18,6,1
"239","DL238","1",19,22,1
"240","DL238","1",20,7,1
"241","JT11398","2",1,NA,0
"242","JT11398","2",2,NA,0
"243","JT11398","2",3,19,1
"244","JT11398","2",4,16,1
"245","JT11398","2",5,8.5,1
"246","JT11398","2",6,16,1
"247","JT11398","2",7,18.5,1
"248","JT11398","2",8,10,1
"249","JT11398","2",9,10.5,1
"250","JT11398","2",10,17.5,1
"251","JT11398","2",11,7.5,1
"252","JT11398","2",12,9,1
"253","JT11398","2",13,15,1
"254","JT11398","2",14,15,1
"255","JT11398","2",15,14.5,1
"256","JT11398","2",16,14.5,1
"257","JT11398","2",17,17.5,1
"258","JT11398","2",18,5,1
"259","JT11398","2",19,11.5,1
"260","JT11398","2",20,9,1
"261","LKC34","2",1,NA,0
"262","LKC34","2",2,8.5,1
"263","LKC34","2",3,16,1
"264","LKC34","2",4,16.5,1
"265","LKC34","2",5,8,1
"266","LKC34","2",6,10.5,1
"267","LKC34","2",7,15.5,1
"268","LKC34","2",8,6,1
"269","LKC34","2",9,12,1
"270","LKC34","2",10,14.5,1
"271","LKC34","2",11,15,1
"272","LKC34","2",12,14.5,1
"273","LKC34","2",13,15,1
"274","LKC34","2",14,5,1
"275","LKC34","2",15,16,1
"276","LKC34","2",16,19.5,1
"277","LKC34","2",17,20,1
